Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,average,abs_trade_size,avg_trade_size
2020-01-02,69.235,68.72,68.02,68.8,12299,1315723,68.69375,90381946.83125,7348.723215810228
2020-01-03,68.68,67.28,67.1,67.62,11921,1128483,67.67,76364444.61,6405.875732740542
2020-01-06,70.495,70.32,65.8116,66.63,24950,3152028,68.31415,215328113.5962,8630.385314476953
2020-01-07,72.8391,71.9,69.37,70.29,53846,7004619,71.099775,498026834.860725,9249.096216259797
2020-01-08,73.29,72.55,71.03,71.81,19690,2483510,72.17,179234916.70000002,9102.839852717116
2020-01-09,74.0,72.62,71.35,73.99,24263,2776328,72.99000000000001,202644180.72000003,8351.983708527388
2020-01-10,73.8,73.09,72.25,73.08,16014,1656235,73.055,120996247.92500001,7555.654297801924
2020-01-13,75.58,74.03,73.8,73.89,26035,3348152,74.32499999999999,248851397.39999998,9558.340595352409
2020-01-14,75.115,73.16,72.26,74.32,16097,1910801,73.71375,140852307.21375,8750.220986130957
2020-01-15,77.78,76.94,73.2,73.28,32398,3963465,75.3,298448914.5,9211.95488919069
2020-01-16,78.79,76.11,75.11,78.0,26528,2999426,77.00250000000001,230963300.56500003,8706.397035773523
2020-01-17,76.9,75.56,75.49,76.66,13008,1357419,76.1525,103370850.39750001,7946.713591443728
2020-01-21,77.12,76.73,74.32,75.56,16672,1606683,75.9325,121999456.89750001,7317.625773602448
2020-01-22,77.1056,75.61,75.46,77.07,15890,1501614,76.31139999999999,114590266.59959999,7211.470522315921
2020-01-23,75.97,74.47,74.21,75.67,14684,1279050,75.07999999999998,96031073.99999999,6539.844320348678
2020-01-24,76.185,73.0,72.3746,74.97,17344,1660195,74.1324,123074239.818,7096.070100207565
2020-01-27,72.1317,70.44,70.32,71.33,18423,1750696,71.055425,124396448.3258,6752.236244140477
2020-01-28,72.48,71.51,70.26,71.0,15778,1598234,71.3125,113974062.125,7223.606421916593
2020-01-29,74.14,73.58,71.213,72.51,15267,1374490,72.86075,100146372.2675,6559.662819643676
2020-01-30,74.8,74.54,72.55,73.1,15004,1425377,73.7475,105117990.3075,7005.997754432152
2020-01-31,76.67,76.3,73.3,74.27,26576,2521702,75.135,189468079.77,7129.292586167971
2020-02-03,88.94,87.66,77.51,77.69,96464,13023449,82.94999999999999,1080295094.55,11198.945664185603
2020-02-04,93.3,85.79,83.5,91.04,86998,10611018,88.40750000000001,938093573.8350002,10782.93264023311
2020-02-05,90.97,86.99,83.755,85.77,44817,5126835,86.87125,445374564.99375004,9937.625566051945
2020-02-06,89.44,87.26,85.26,87.0,26825,2410793,87.24,210317581.32,7840.357178751165
2020-02-07,90.6,88.64,86.81,87.23,25652,2636910,88.32,232891891.2,9078.897988460938
2020-02-10,89.98,89.67,86.91,89.09,21124,2071618,88.91250000000001,184192735.425,8719.59550392918
2020-02-11,90.5,88.68,87.93,90.0,25683,2731896,89.2775,243896845.14000002,9496.431302417943
2020-02-12,89.5,88.28,86.52,88.66,18198,1671131,88.24000000000001,147460599.44000003,8103.121191339709
2020-02-13,91.93,89.86,87.0,87.61,35154,3406429,89.10000000000001,303512823.90000004,8633.806221198158
2020-02-14,91.71,90.95,89.81,90.88,25251,2295039,90.83749999999999,208475605.1625,8256.132634846144
2020-02-18,98.14,96.39,92.4,93.02,58203,5669685,94.9875,538549203.9375,9252.945792098346
