Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,average,abs_trade_size,avg_trade_size
2020-12-10,165.0,144.71,141.25,146.0,1002004,70447537,149.24,10513590421.880001,10492.563324976747
2020-12-11,151.5,139.25,135.1,146.55,402248,26980830,143.1,3860956773.0,9598.448651080926
2020-12-14,135.3,130.0,125.1601,135.0,267807,16966089,131.365025,2228750705.637225,8322.227221981595
2020-12-15,127.6,124.8,121.5,126.69,148983,10914432,125.1475,1365913878.72,9168.253282052316
2020-12-16,142.0,137.99,124.91,125.83,192650,20409551,132.6825,2707990250.5575,14056.528681845315
2020-12-17,152.4499,147.05,142.67,143.0,164251,15054725,146.29247500000002,2202392980.6943755,13408.703634646825
2020-12-18,159.0,157.3,150.3,150.4497,156572,15954235,154.262425,2461138980.119875,15718.895971948208
2020-12-21,172.0,163.02,145.11,155.31,198953,17788120,158.86,2825820743.2000003,14203.458822938082
2020-12-22,174.97,163.19,161.05,170.0,120960,9886633,167.3025,1654058417.4825,13674.424747705854
2020-12-23,168.25,158.01,155.5,162.8137,76174,5852486,161.143425,943089638.80455,12380.728841921786
2020-12-24,162.79,154.84,154.1124,159.16,43246,3621360,157.72560000000001,571181178.8160001,13207.722767793555
2020-12-28,163.64,149.0,147.52,158.6,88153,6229179,154.69,963591699.51,10930.900814606423
2020-12-29,151.6511,150.0,143.12,150.0,69580,5402266,148.692775,803277922.82815,11544.666898938633
2020-12-30,152.813,148.43,145.6,151.34,56238,3462445,149.54575,517793934.35875,9207.189700180483
2020-12-31,147.89,146.8,144.51,146.9,44429,2795813,146.52499999999998,409656499.8249999,9220.475361250534
2021-01-04,151.005,139.15,137.0,150.99,106335,6409884,144.53625,926460596.295,8712.65901438849
2021-01-05,149.0,148.3,137.25,138.28,83478,5974246,143.20749999999998,855556834.0449998,10248.889935611776
2021-01-06,148.35,142.77,141.11,145.75,63744,4213936,144.495,608892682.32,9552.156788403616
2021-01-07,154.42,151.27,145.2614,146.37,65540,4482769,149.33034999999998,669413463.7391499,10213.815436972078
2021-01-08,155.54,149.77,147.2501,153.45,62953,4615625,151.502525,699278841.953125,11107.951042096882
2021-01-11,150.5,148.13,144.02,147.99,46787,2801867,147.66,413723681.21999997,8842.705905914036
2021-01-12,163.88,160.8,143.61,148.08,98415,8145892,154.09250000000003,1255220863.0100002,12754.365320428798
2021-01-13,178.6199,169.99,159.35,160.81,150812,12529711,167.192475,2094873393.124725,13890.62802114371
2021-01-14,187.42,180.5,174.9754,175.54,121718,9926539,179.60885,1782894254.27015,14647.745232998817
2021-01-15,185.995,169.27,164.8601,184.58,125209,8575682,176.176275,1510831710.3445501,12066.478530653148
2021-01-19,178.6,173.69,166.6001,173.0,64795,4685415,172.97252500000002,810448063.2228751,12507.879670080642
2021-01-20,176.31,161.83,161.0,176.01,122101,8517416,168.7875,1437633353.1,11774.132505876281
2021-01-21,183.47,180.4,155.33,164.99,217224,17618431,171.0475,3013588576.4725003,13873.184254375668
2021-01-22,185.3066,181.87,175.19,178.09,104037,7136811,180.11415000000002,1285440646.97565,12355.610474885378
2021-01-25,192.47,177.53,170.03,186.05,120026,7472859,181.51999999999998,1356473365.6799998,11301.496056521086
2021-01-26,193.0,192.74,177.3,180.0,91975,6460904,185.76,1200177527.04,13048.953813971188
2021-01-27,216.0,201.25,185.5,187.64,163813,11019787,197.5975,2177482361.7325,13292.488152542839
2021-01-28,212.84,187.37,187.05,202.6,139284,7077661,197.465,1397590329.365,10034.105348532496
2021-01-29,193.4999,183.63,179.31,190.71,92378,4529815,186.787475,846112706.067125,9159.24469102086
2021-02-01,188.82,180.44,179.74,187.4803,74532,3877389,184.12007499999999,713905153.484175,9578.505252565004
2021-02-02,186.4794,179.17,177.11,183.22,77436,4413624,181.49484999999999,801050025.8363999,10344.672062560048
2021-02-03,190.9,185.72,180.0,181.98,62295,4168965,184.65,769799387.25,12357.322212858175
2021-02-04,195.99,195.8,186.19,187.07,61378,3637039,191.2625,695629171.7375,11333.526210327804
2021-02-05,197.25,195.31,190.2501,197.0,54463,2869659,194.95252499999998,559447267.938975,10272.061178028662
2021-02-08,201.96,200.43,191.5001,199.93,58711,3492593,198.45502499999998,693122631.1298249,11805.668973954198
2021-02-09,209.22,199.88,196.16,199.2033,78190,4725841,201.115825,950441411.533825,12155.5366611309
2021-02-10,214.7163,211.66,202.097,205.48,85671,5257239,208.48832499999997,1096072953.234675,12793.978747005112
2021-02-11,219.94,216.84,207.0,213.5,67481,3595183,214.32000000000002,770519620.5600001,11418.319535276598
2021-02-12,216.94,212.68,209.0,214.4578,57367,3041744,213.26945,648711069.9208,11308.08774941691
2021-02-16,218.78,209.86,209.09,216.24,67022,3487929,213.4925,744646682.0325,11110.481364813048
2021-02-17,208.765,201.96,196.02,207.05,90976,4090619,203.44875000000002,832231322.2762501,9147.81175558664
2021-02-18,200.36,198.04,192.17,199.01,66844,2791419,197.39499999999998,551012153.505,8243.255243626953
2021-02-19,205.55,201.07,200.18,203.95,47198,2605751,202.6875,528153155.8125,11190.159663809907
2021-02-22,205.0,195.34,193.5,200.7,73296,3674223,198.63500000000002,729829285.605,9957.286695112967
2021-02-23,191.67,187.59,175.0,189.0,129224,5902404,185.815,1096755199.26,8487.240754503808
2021-02-24,208.145,200.2,189.0,190.98,100741,5983538,197.08125,1179243148.4625,11705.692304647562
2021-02-25,199.8,182.06,180.0,197.41,230781,11568492,189.8175,2195902230.21,9515.091061265875
2021-02-26,214.1,206.35,185.75,194.18,259834,19368608,200.095,3875561617.7599998,14915.529213882708
2021-03-01,199.69,196.42,192.62,195.82,183785,15798527,196.1375,3098683589.4624996,16860.3726607857
2021-03-02,200.0,189.9,188.5,195.63,125661,9144947,193.5075,1769615831.6025,14082.458611681428
2021-03-03,188.48,180.4,178.8001,186.97,186156,10592934,183.662525,1945525005.5983498,10451.046464246921
2021-03-04,183.8999,180.23,170.87,178.64,166880,9993671,178.409975,1782970593.268225,10684.147850360889
2021-03-05,183.5,179.81,161.9,182.52,163585,8788544,176.9325,1554979061.28,9505.633531680778
2021-03-08,186.4,180.81,177.0301,179.9924,80455,4988473,181.05812500000002,903203567.9931251,11226.195612368716
2021-03-09,189.46,183.11,180.72,184.99,96104,6079925,184.57000000000002,1122171757.2500002,11676.63944528844
2021-03-10,191.0,183.79,181.55,184.57,83722,6145645,185.2275,1138342459.2375,13596.694527573398
2021-03-11,201.0,197.87,188.5,189.9,95179,6031244,194.3175,1171976255.97,12313.391146891647
2021-03-12,208.7,206.74,192.2,196.27,90004,5556463,200.97750000000002,1116724042.5825002,12407.493473428962
2021-03-15,213.7399,209.99,203.8101,209.5384,76913,4337470,209.2696,907700611.912,11801.65397152627
2021-03-16,215.49,200.01,198.18,209.11,85678,4605572,205.6975,947354646.4699999,11057.151736385069
2021-03-17,203.46,201.36,194.44,195.63,68022,3781866,198.7225,751541866.185,11048.511748919467
2021-03-18,199.8999,191.45,190.68,196.8,80297,3729507,194.707475,726162890.9648249,9043.462283333436
2021-03-19,196.49,194.39,187.81,193.01,61623,4444583,192.92499999999998,857471175.275,13914.79115387112
2021-03-22,203.3,195.0,194.71,196.85,70045,3740448,197.465,738607564.32,10544.757860232708
2021-03-23,196.7496,187.14,185.7401,195.5,78420,3460590,191.282425,661950047.13075,8441.08705854055
2021-03-24,189.78,178.85,178.51,189.0,94008,3756097,184.035,691253311.395,7353.132833322696
2021-03-25,179.54,176.16,170.5,173.1,107415,5264100,174.825,920296282.4999999,8567.670087976538
2021-03-26,181.0,174.4,168.0,178.4161,85493,3562912,175.454025,625127251.1208,7312.028483276994
2021-03-29,185.46,182.5,173.5,175.36,77565,4508821,179.205,808003267.3050001,10417.11167801199
2021-03-30,185.23,183.1,178.38,182.35,45167,2903262,182.26500000000001,529163048.43000007,11715.70058737574
2021-03-31,192.275,187.94,185.1301,185.43,59580,3079510,187.69377500000002,578004857.05025,9701.323549013932
2021-04-01,193.99,188.24,185.37,192.5,57235,2921447,190.025,555147966.1750001,9699.44904647506
2021-04-05,192.1,186.69,185.81,191.66,49302,2591425,189.065,489947767.625,9937.68544125999
2021-04-06,194.48,190.03,187.52,188.7,54862,3565634,190.18249999999998,678121188.2049999,12360.489741624438
2021-04-07,190.62,179.94,179.47,189.38,117701,6663462,184.85250000000002,1231757609.355,10465.141412180015
2021-04-08,183.9,180.18,179.3,181.6479,53560,2625274,181.256975,475849223.78615004,8884.414185701084
2021-04-09,182.46,179.5,177.25,179.62,59180,2910167,179.7075,522978836.15250003,8837.087464557284
2021-04-12,181.49,176.49,176.25,179.68,57436,2619833,178.47750000000002,467581244.25750005,8140.908911788774
2021-04-13,178.61,177.95,172.14,175.265,72459,3573584,175.99124999999998,628919515.14,8679.660430588332
2021-04-14,181.4665,176.43,175.31,179.5,57254,2938566,178.176625,523583772.21975,9144.929126694204
2021-04-15,178.24,175.35,174.25,177.0,57248,2894865,176.21,510104161.65000004,8910.427642013696
2021-04-16,179.51,178.69,172.94,176.0119,59338,3058294,176.78797500000002,540669603.21465,9111.692392980047
2021-04-19,178.72,174.58,171.5,177.32,64769,3125736,175.53,548660440.08,8471.034601120908
2021-04-20,175.0,169.57,165.52,173.1838,101047,4574999,170.81844999999998,781494237.9315499,7733.967737107979
2021-04-21,170.32,167.07,164.12,168.09,80490,3878608,167.39999999999998,649278979.1999999,8066.579440924337
2021-04-22,176.92,170.71,168.43,168.49,70930,3856499,171.1375,659991597.6125,9304.83008053715
2021-04-23,178.25,174.25,172.0,172.9192,62002,3335128,174.3548,581495575.4144,9378.65835641431
2021-04-26,176.0305,174.88,171.07,175.21,54816,2549403,174.297625,444354888.067875,8106.299038015817
2021-04-27,179.61,177.94,174.8,176.1653,54359,2882972,177.128825,510657442.8679,9394.165508340846
2021-04-28,181.67,180.0,173.351,174.4371,49535,2409708,177.364525,427396714.80869997,8628.176336099727
2021-04-29,183.22,177.68,173.35,182.75,63549,3116021,179.25,558546764.25,8789.229795118727
