Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,average,abs_trade_size,avg_trade_size
2020-01-02,50.64,50.5,49.9,50.64,225,38104,50.42,1921203.6800000002,8538.683022222223
2020-01-03,50.43,50.13,49.74,49.74,190,31516,50.01,1576115.16,8295.342947368421
2020-01-06,50.56,50.52,49.52,49.52,144,28661,50.03000000000001,1433909.8300000003,9957.70715277778
2020-01-07,51.28,51.14,50.55,50.75,246,29304,50.92999999999999,1492452.7199999997,6066.880975609755
2020-01-08,52.51,52.29,51.11,51.11,313,37555,51.755,1943659.0250000001,6209.773242811502
2020-01-09,52.81,52.35,52.06,52.73,466,62627,52.4875,3287134.6624999996,7053.9370439914155
2020-01-10,52.53,51.97,51.92,52.53,218,31121,52.237500000000004,1625683.2375,7457.26255733945
2020-01-13,53.085,53.04,52.31,52.53,352,47664,52.74125,2513858.94,7141.64471590909
2020-01-14,53.639,53.26,52.64,53.18,498,61824,53.17975,3287784.864,6601.977638554217
2020-01-15,53.96,53.43,53.15,53.2,538,56912,53.435,3041092.72,5652.588698884759
2020-01-16,54.01,54.01,53.37,53.65,313,47316,53.76,2543708.1599999997,8126.863130990414
2020-01-17,54.17,53.67,53.52,54.17,353,44278,53.88250000000001,2385809.3350000004,6758.666671388103
2020-01-21,54.0,53.59,53.52,53.8,338,43237,53.7275,2323015.9175,6872.828158284024
2020-01-22,54.39,53.84,53.759,54.09,233,52922,54.01975,2858833.2095,12269.670427038625
2020-01-23,53.989,53.8,53.07,53.77,302,36503,53.657250000000005,1958650.5967500003,6485.598002483444
2020-01-24,54.16,52.8,52.44,53.96,294,41895,53.34,2234679.3000000003,7600.950000000001
2020-01-27,52.19,51.85,51.0,51.2,680,103770,51.559999999999995,5350381.199999999,7868.207647058823
2020-01-28,52.879,52.82,52.14,52.3,296,40442,52.53475,2124610.3595000003,7177.737701013514
2020-01-29,53.24,52.85,52.68,53.04,187,23630,52.9525,1251267.575,6691.270454545454
