Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,average,abs_trade_size,avg_trade_size
2020-01-02,219.98,219.77,216.725,216.88,15084,2537948,218.33875,554132393.885,36736.43555323521
2020-01-03,218.16,217.0,216.4,217.25,10670,1927296,217.2025,418613509.44,39232.75627366448
2020-01-06,217.15,216.64,214.1,215.0,10451,3137312,215.7225,676788787.92,64758.28034829203
2020-01-07,218.93,217.63,216.7,218.0,9838,1991039,217.815,433678159.78499997,44081.94346259402
2020-01-08,220.65,218.0,216.44,216.5,14355,3562357,217.89749999999998,776228684.4074999,54073.750219958194
2020-01-09,223.07,221.78,220.84,221.5,15379,2810512,221.79749999999999,623364535.3199999,40533.489519474606
2020-01-10,225.955,223.83,222.1,223.64,17586,2303251,223.88125000000002,515654712.94375,29321.88746410497
2020-01-13,231.12,230.48,227.05,228.95,16903,3202429,229.4,734637212.6,43461.94241258948
2020-01-14,230.1,226.49,224.93,230.09,22436,3603308,227.9025,821202901.47,36602.01914200393
2020-01-15,227.81,225.06,224.4,226.31,13046,2138079,225.89499999999998,482981355.705,37021.4131308447
2020-01-16,226.33,223.94,222.74,226.18,15542,2495460,224.7975,560973169.35,36094.01424205379
2020-01-17,227.5,227.43,225.4,225.91,12116,2211361,226.56,501005948.16,41350.77155496864
2020-01-21,222.52,222.26,220.745,222.11,17460,3579558,221.90875,794335241.3325,45494.57281400343
2020-01-22,225.58,222.37,222.01,224.75,13418,1779130,223.6775,397951350.575,29658.022848039946
2020-01-23,220.11,219.13,216.77,217.8,21636,3315591,218.45250000000001,724299142.9275,33476.5734390599
2020-01-24,219.79,213.75,211.33,218.27,24623,3708052,215.785,800142000.8199999,32495.715421354016
2020-01-27,208.0,205.47,199.5,201.0,36250,5008852,203.4925,1019263815.61,28117.622499586207
2020-01-28,210.91,210.23,207.2,209.85,20095,4186850,209.5475,877343950.375,43659.81340507589
2020-01-29,213.97,212.02,209.57,212.5,16646,2562188,212.015,543222288.8199999,32633.803245224073
2020-01-30,209.8,208.58,205.04,208.54,24336,2853388,207.99,593476170.12,24386.759127218935
2020-01-31,207.92,206.59,204.75,206.26,26320,3507559,206.38,723890026.42,27503.42045668693
2020-02-03,215.01,213.1,209.44,209.57,20210,3170618,211.78,671473480.04,33224.813460663034
2020-02-04,224.38,222.88,220.5,221.5,22538,3408322,222.315,757721105.43,33619.71361389653
2020-02-05,226.49,220.22,217.55,226.2,27046,3945421,222.615,878309895.9150001,32474.668931265256
2020-02-06,223.65,220.9,219.8,222.9,21422,3459519,221.8125,767364558.1875,35821.331257002144
2020-02-07,217.75,216.53,214.88,217.28,20716,3536195,216.60999999999999,765975198.9499999,36975.053048368405
2020-02-10,215.77,215.77,212.36,213.5,24215,5125354,214.35,1098619629.8999999,45369.38384885401
2020-02-11,220.01,217.21,215.3,219.84,28259,3880287,218.09000000000003,846251791.8300002,29946.275233730852
2020-02-12,225.52,224.31,220.22,220.95,21365,3856768,222.75,859095072.0,40210.39419611514
2020-02-13,225.0,220.36,219.0,220.37,29171,4031018,221.1825,891590638.785,30564.28092232011
2020-02-14,221.61,219.63,218.23,221.1,14153,2322130,220.1425,511199503.52500004,36119.515546173956
2020-02-18,220.84,220.52,217.52,218.0,14645,2274843,219.22,498691082.46,34051.96875793786
2020-02-19,223.56,222.14,220.75,221.63,14611,2221016,222.02,493109972.32000005,33749.22813770447
2020-02-20,222.5,218.04,214.26,222.5,23125,3225240,219.325,707375763.0,30589.222183783782
2020-02-21,217.57,212.59,211.56,217.54,23869,3483583,214.81500000000003,748325882.1450001,31351.37132452135
2020-02-24,207.28,206.16,202.51,203.0,30403,4118675,204.73749999999998,843247222.8124999,27735.658415699105
2020-02-25,209.95,205.61,204.1,208.67,28592,3558818,207.0825,736968928.485,25775.354241920817
2020-02-26,213.08,208.74,207.21,207.21,32182,5772680,209.06,1206836480.8,37500.356746007084
2020-02-27,209.95,205.03,201.86,205.0,42442,6368192,205.45999999999998,1308408728.32,30828.15909523585
2020-02-28,208.92,208.0,198.58,200.0,53436,10303101,203.875,2100544716.375,39309.542562598246
2020-03-02,211.11,210.98,203.78,208.56,38499,4937633,208.60750000000002,1030027276.0475001,26754.650147990862
2020-03-03,211.37,207.41,202.25,210.78,47295,5712437,207.9525,1187915555.2424998,25117.148858071676
2020-03-04,212.7,211.96,208.88,210.0,23509,3288455,210.885,693485832.675,29498.738043940615
2020-03-05,215.13,211.46,209.195,210.0,26441,3539445,211.44625000000002,748402372.3312501,28304.616781939036
2020-03-06,206.99,204.64,201.1,206.69,42138,5925852,204.855,1213940411.46,28808.686018795386
2020-03-09,199.88,197.66,193.94,195.65,32867,6185848,196.7825,1217266634.06,37036.13454407156
2020-03-10,207.44,206.39,200.8,205.34,31053,4967430,204.99249999999998,1018285894.2749999,32791.868556178146
2020-03-11,203.1,198.91,196.16,200.71,26235,4510697,199.72,900876404.84,34338.72326434153
2020-03-12,190.45,185.1,183.93,185.0,48426,7497328,186.12,1395402687.3600001,28815.154820963948
2020-03-13,195.95,194.0,187.87,195.15,36464,6164716,193.2425,1191285131.63,32670.1714466323
2020-03-16,188.0,178.85,175.1,176.15,35012,7306926,179.525,1311775890.15,37466.465501827945
2020-03-17,189.388,184.81,179.75,180.64,27117,4363258,183.647,801299241.926,29549.700996644173
2020-03-18,182.35,180.0,170.0,176.0,28556,4548130,177.0875,805416971.375,28204.82460341084
2020-03-19,187.25,180.88,177.4,179.35,30386,4230987,181.22,766739464.14,25233.313504245376
2020-03-20,188.26,181.3,180.0,186.76,26647,5784434,184.07999999999998,1064798610.7199999,39959.417972754905
2020-03-23,178.5,176.34,169.95,175.0,29525,4997519,174.94750000000002,874303455.2525,29612.31008475868
2020-03-24,188.8,185.75,181.22,182.52,32792,5285351,184.57250000000002,975530447.4475001,29749.037797252382
2020-03-25,195.18,188.56,185.56,185.82,30247,4346827,188.77999999999997,820594001.0599998,27129.764970410284
2020-03-26,195.84,195.32,187.7,188.0,21423,3987000,191.71499999999997,764367704.9999999,35679.769640106424
2020-03-27,192.72,188.59,188.01,190.0,16359,3258232,189.83,618510180.5600001,37808.55679197995
2020-03-30,191.46,191.27,187.01,187.48,18259,2573617,189.305,487198566.185,26682.653277014077
2020-03-31,196.78,194.48,190.79,192.0,24371,3745920,193.5125,724882344.0,29743.643838988963
2020-04-01,192.81,187.56,185.05,189.5,24473,3260576,188.73000000000002,615368508.48,25144.79256650186
2020-04-02,191.23,188.9,185.74,186.08,18114,2344357,187.98749999999998,440709811.53749996,24329.789750331234
2020-04-03,190.5,187.11,185.47,190.0,14629,2557955,188.27,481586187.85,32919.966357919206
2020-04-06,196.88,196.45,192.7,194.74,18104,2685901,195.1925,524267730.9425,28958.66830217079
2020-04-07,201.45,198.0,197.07,200.0,20992,3166016,199.13,630448766.08,30032.810884146344
2020-04-08,198.73,195.98,193.9,198.34,20731,2970315,196.7375,584372347.3125,28188.333766460855
2020-04-09,200.32,196.37,193.42,198.75,29226,3741349,197.215,737850143.035,25246.360878498595
2020-04-13,200.32,199.44,195.56,197.4,18726,5740513,198.18,1137654866.3400002,60752.68964754887
2020-04-14,207.97,204.78,204.26,205.0,23345,4041967,205.5025,830634323.4175,35580.82344902549
2020-04-15,209.15,208.17,201.31,204.77,17522,2481672,205.85,510852181.2,29154.901335463986
2020-04-16,213.22,212.66,209.15,210.53,20944,3715750,211.39,785472392.5,37503.45647918258
2020-04-17,214.7,209.5,208.89,214.5,19100,2945895,211.89749999999998,624227785.7624999,32682.083024214655
2020-04-20,216.1,212.13,209.4,209.6,26149,3892174,211.8075,824391644.505,31526.69870759876
2020-04-21,212.13,207.34,205.05,209.9,15570,2259078,208.605,471254966.19,30266.857173410404
2020-04-22,212.0,209.96,209.28,212.0,13592,2375792,210.81,500840711.52,36848.19831665685
2020-04-23,210.545,205.24,203.46,210.1,28901,4518306,207.33625,936808622.3925,32414.40166058268
2020-04-24,206.49,204.36,202.82,205.89,12696,2205607,204.89000000000001,451906818.23,35594.424876339006
2020-04-27,207.74,203.69,202.11,207.74,16618,3324050,205.32,682493946.0,41069.559874834515
