Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,average,abs_trade_size,avg_trade_size
2020-01-02,8.525,8.45,8.38,8.44,2985,1460630,8.44875,12340497.7125,4134.1700879396985
2020-01-03,8.5,8.4,8.33,8.35,2914,1371174,8.395,11511005.729999999,3950.2421859986266
2020-01-06,8.75,8.67,8.32,8.33,4483,2408145,8.5175,20511375.0375,4575.368065469552
2020-01-07,8.89,8.68,8.595,8.78,4319,2113850,8.73625,18467122.0625,4275.786539129428
2020-01-08,8.73,8.68,8.58,8.66,4148,1840965,8.6625,15947359.3125,3844.5899981918997
2020-01-09,8.8,8.66,8.65,8.74,2565,1439667,8.712499999999999,12543098.737499999,4890.09697368421
2020-01-10,8.69,8.57,8.5,8.68,2252,1081714,8.61,9313557.54,4135.682744227353
2020-01-13,8.71,8.7,8.49,8.6,1675,929391,8.625,8015997.375,4785.670074626865
2020-01-14,8.79,8.65,8.625,8.72,2441,1216348,8.69625,10577666.294999998,4333.33318107333
2020-01-15,8.88,8.79,8.65,8.65,2947,1509014,8.7425,13192554.895,4476.604986426874
2020-01-16,8.99,8.89,8.84,8.85,2494,1243950,8.8925,11061825.375,4435.3750501202885
2020-01-17,8.96,8.78,8.74,8.95,2442,1055155,8.8575,9346035.4125,3827.2053286240784
2020-01-20,8.77,8.77,8.68,8.75,917,255063,8.7425,2229888.2775,2431.721131406761
2020-01-21,8.75,8.61,8.6,8.71,2143,1025379,8.6675,8887472.4825,4147.210677788147
2020-01-22,8.79,8.7,8.62,8.64,1747,727118,8.6875,6316837.625,3615.8200486548367
2020-01-23,8.76,8.76,8.58,8.68,2244,896223,8.694999999999999,7792658.9849999985,3472.664431818181
2020-01-24,8.87,8.68,8.61,8.78,2360,1162560,8.735,10154961.6,4302.949830508474
2020-01-27,8.45,8.26,8.08,8.45,5499,2651473,8.309999999999999,22033740.629999995,4006.863180578286
2020-01-28,8.46,8.44,8.3,8.3,2014,869037,8.375,7278184.875,3613.7958664349553
2020-01-29,8.52,8.38,8.36,8.5,3093,1207108,8.44,10187991.52,3293.886686065309
2020-01-30,8.34,8.24,8.15,8.31,2974,1330819,8.26,10992564.94,3696.222239408204
2020-01-31,8.27,8.06,8.02,8.22,4064,1526495,8.1425,12429485.5375,3058.4364019438976
2020-02-03,8.28,8.26,8.06,8.1,2613,1175997,8.174999999999999,9613775.475,3679.2099024110216
2020-02-04,8.44,8.17,8.16,8.39,4304,1656852,8.29,13735303.079999998,3191.2878903345722
2020-02-05,8.36,8.25,8.2,8.23,2833,1201921,8.26,9927867.459999999,3504.3654994705257
2020-02-06,8.3,8.18,8.15,8.26,2402,1353585,8.2225,11129852.6625,4633.577294962531
2020-02-07,8.18,8.01,8.01,8.12,2641,1750254,8.079999999999998,14142052.319999997,5354.809663006436
2020-02-10,8.14,8.08,7.94,8.0,2488,870862,8.040000000000001,7001730.48,2814.2003536977495
2020-02-11,8.25,8.24,8.07,8.11,3216,1224024,8.1675,9997216.020000001,3108.5870708955226
2020-02-12,8.32,8.06,8.05,8.3,3125,1448475,8.182500000000001,11852146.687500002,3792.6869400000005
2020-02-13,8.03,7.96,7.89,8.02,2437,1116055,7.975,8900538.625,3652.252205580632
2020-02-14,7.96,7.73,7.67,7.94,3477,1620536,7.825,12680694.200000001,3647.021627840092
2020-02-18,8.28,8.09,7.75,7.8,7319,3158764,7.9799999999999995,25206936.72,3444.0410875802704
2020-02-19,8.25,8.14,8.06,8.16,3170,1172082,8.1525,9555398.504999999,3014.321294952681
2020-02-20,8.25,8.16,8.04,8.14,3434,1367273,8.1475,11139856.767500002,3243.988575276646
2020-02-21,8.16,7.94,7.89,8.13,2935,1750563,8.03,14057020.889999999,4789.444936967631
2020-02-24,7.67,7.64,7.5,7.5,3248,1289193,7.577500000000001,9768859.957500001,3007.6539278017244
2020-02-25,7.75,7.3,7.21,7.73,5974,2533967,7.4975000000000005,18998417.5825,3180.1837265651156
