Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,average,abs_trade_size,avg_trade_size
2021-10-19,42.15,41.94,40.08,40.88,48199,5785381,41.2625,238719283.51250002,4952.784985425009
2021-10-20,43.94,43.28,42.1,42.16,40581,5939917,42.87,254644241.79,6274.962218525911
2021-10-21,42.79,40.83,40.42,42.6,35939,4137633,41.66,172373790.77999997,4796.287898383371
2021-10-22,41.3,39.51,38.9,41.23,22645,2367752,40.235,95266501.72,4206.955253698388
2021-10-25,41.3,40.58,40.55,40.93,9953,1407494,40.839999999999996,57482054.95999999,5775.349639304732
2021-10-26,40.64,40.06,39.99,40.45,9883,1383576,40.285000000000004,55737359.160000004,5639.720647576647
2021-10-27,38.33,38.06,37.501,38.07,12893,1290312,37.99025,49019275.458000004,3802.0069384937565
2021-10-28,39.879,39.57,37.34,39.69,10850,1714006,39.119749999999996,67051486.218499996,6179.860480967742
2021-10-29,40.72,40.39,39.35,39.44,7053,1227857,39.974999999999994,49083583.574999996,6959.249053594214
2021-11-01,40.04,39.53,38.63,39.9,7926,1144883,39.525,45251500.574999996,5709.24811695685
2021-11-02,41.42,40.98,40.57,40.75,7074,1475279,40.93,60383169.47,8535.930091885779
2021-11-03,40.76,40.4,39.13,40.17,6940,1163241,40.115,46663412.715,6723.834685158502
2021-11-04,40.19,39.3,38.97,39.82,7189,931274,39.56999999999999,36850512.17999999,5125.958016413964
2021-11-05,39.849,39.26,39.03,39.61,4139,615298,39.43725,24265661.050499998,5862.686893090118
2021-11-08,42.915,42.56,41.97,42.17,11583,2012617,42.40375,85342508.11375001,7367.910568397652
2021-11-09,43.84,43.32,42.56,43.69,8602,1365507,43.3525,59198142.2175,6881.904466112532
2021-11-10,44.29,42.31,41.86,43.92,12439,2442068,43.095,105240920.46,8460.561175335637
2021-11-11,42.13,41.62,41.48,41.57,3960,735410,41.7,30666597.000000004,7744.090151515153
2021-11-12,41.29,41.12,39.96,40.88,8271,1286827,40.8125,52518626.9375,6349.731222040866
2021-11-15,41.85,40.89,40.73,41.79,7012,1340314,41.315,55375072.91,7897.186667142042
2021-11-16,39.34,38.22,37.92,38.95,14154,1725651,38.6075,66623070.9825,4707.013634484952
2021-11-17,38.885,38.69,38.03,38.68,8178,1530452,38.57125,59031446.705,7218.323148080215
2021-11-18,37.99,37.11,36.26,37.81,16831,2485930,37.292500000000004,92706544.525,5508.082973382449
2021-11-19,37.39,37.01,36.91,37.04,7148,1331480,37.0875,49381264.5,6908.402979854504
2021-11-22,37.46,35.69,35.62,37.38,10603,2256961,36.5375,82463712.53750001,7777.394373054796
2021-11-23,37.05,37.01,36.22,36.5,5332,1238383,36.695,45442464.185,8522.592682858214
2021-11-24,36.69,36.69,35.72,35.83,5341,1233445,36.2325,44690795.9625,8367.495967515446
2021-11-26,34.88,34.44,34.32,34.8,7573,1001794,34.61,34672090.339999996,4578.3824560940175
2021-11-29,37.585,37.07,36.22,36.5,5929,1221103,36.84375,44990013.65625,7588.128462852083
2021-11-30,37.85,36.59,35.98,37.27,6635,1452931,36.9225,53645844.8475,8085.281815749811
2021-12-01,37.71,36.08,36.03,37.34,5491,1165014,36.790000000000006,42860865.06000001,7805.65745037334
2021-12-02,36.56,36.29,35.62,35.97,4160,793901,36.11,28667765.11,6891.289689903846
2021-12-03,36.1,33.89,32.7,36.06,12189,2328040,34.6875,80753887.5,6625.144597587989
2021-12-06,31.42,31.05,30.35,30.71,9719,1927681,30.8825,59531608.4825,6125.2812514147545
2021-12-07,33.08,32.13,31.92,32.44,5162,915499,32.3925,29655301.357499998,5744.92471086788
2021-12-08,32.54,32.25,31.7,31.95,4626,1071434,32.11,34403745.74,7437.03971897968
2021-12-09,31.18,30.21,30.01,31.16,6489,1073911,30.64,32904633.04,5070.832646016335
2021-12-10,31.57,30.75,30.01,31.47,7158,1433091,30.95,44354166.449999996,6196.446835708298
2021-12-13,30.41,29.56,28.97,30.35,9494,1238399,29.8225,36932154.1775,3890.0520515588796
2021-12-14,30.35,30.32,29.44,29.74,6822,1143457,29.9625,34260830.3625,5022.109405233069
2021-12-15,31.41,31.25,29.51,30.24,11680,1841650,30.6025,56359094.125,4825.264907962329
2021-12-16,31.02,30.36,30.15,30.89,6669,1107898,30.605,33907218.29,5084.303237366921
2021-12-17,30.02,29.29,28.78,29.53,10497,1464978,29.405,43077678.09,4103.808525292941
2021-12-20,29.93,29.78,28.84,28.98,5727,755477,29.3825,22197802.9525,3875.991435742972
2021-12-21,31.02,30.84,30.65,30.85,2626,494192,30.840000000000003,15240881.280000001,5803.839025133283
2021-12-22,31.22,31.09,30.73,30.91,2689,542251,30.9875,16803002.8625,6248.792436779472
2021-12-23,32.59,32.34,30.73,30.78,4692,783547,31.610000000000003,24767920.67,5278.755471014493
2021-12-27,33.03,32.46,32.28,32.49,3860,661659,32.565000000000005,21546925.335000005,5582.105009067359
2021-12-28,31.15,30.24,29.94,31.06,6487,1149675,30.597499999999997,35177180.81249999,5422.719409973793
2021-12-29,30.4,29.89,29.72,29.99,3951,842956,30.0,25288680.0,6400.577069096431
2021-12-30,30.28,29.81,29.75,29.83,3602,777562,29.9175,23262711.135,6458.276272903942
2021-12-31,30.46,28.9,28.85,30.3,5993,798335,29.627500000000005,23652670.212500002,3946.716204321709
2022-01-03,29.86,28.95,28.83,29.75,5766,894714,29.3475,26257619.115,4553.870814255983
2022-01-04,30.07,29.22,28.71,29.67,6437,1009016,29.4175,29682728.18,4611.267388535031
2022-01-05,29.57,27.64,27.515,29.26,10721,1984251,28.49625,56543712.558749996,5274.1080644296235
2022-01-06,27.47,27.28,26.8,27.01,7826,1202949,27.14,32648035.86,4171.739823664708
2022-01-07,26.6,26.41,25.56,26.34,10064,1637226,26.2275,42940344.915,4266.727435910175
2022-01-10,26.52,26.31,24.88,25.06,11613,2160644,25.6925,55512345.97,4780.189956944803
2022-01-11,27.21,27.01,26.0,26.1,7108,1290710,26.580000000000002,34307071.800000004,4826.543584693304
2022-01-12,27.765,27.62,27.32,27.63,5978,1234126,27.583750000000002,34041823.0525,5694.5170713449315
2022-01-13,28.02,26.96,26.65,27.92,6165,978351,27.387500000000003,26794588.012500003,4346.2429866180055
2022-01-14,27.37,27.17,26.54,26.62,6538,1319336,26.925,35523121.800000004,5433.331569287245
2022-01-18,26.33,26.28,25.97,26.14,5401,885939,26.18,23193883.02,4294.368268839104
2022-01-19,26.85,26.2,26.13,26.59,3929,714472,26.4425,18892425.86,4808.456569101552
2022-01-20,27.425,26.9,26.72,26.72,6263,1278123,26.941249999999997,34434231.27374999,5498.041078357016
2022-01-21,24.58,24.1,23.64,24.26,13966,2724424,24.145000000000003,65781217.48000001,4710.097198911643
2022-01-24,23.64,23.48,20.92,21.17,15115,3315664,22.302500000000002,73947596.36,4892.331879589811
2022-01-25,23.66,23.22,22.66,23.1,9779,2263766,23.16,52428820.56,5361.368295326721
2022-01-26,24.47,23.25,23.09,24.2,10773,2174205,23.7525,51642804.2625,4793.725449039265
2022-01-27,23.41,22.31,22.31,23.22,8104,1736704,22.8125,39618560.0,4888.766041461007
2022-01-28,23.81,23.77,23.01,23.33,6039,1157608,23.48,27180635.84,4500.850445437986
2022-01-31,24.39,24.16,23.39,23.48,3227,650941,23.855,15528197.555,4811.960816547878
2022-02-01,24.7,24.2,24.01,24.48,3126,810421,24.3475,19731725.2975,6312.132212891875
2022-02-02,24.12,23.58,23.27,24.12,3083,648324,23.7725,15412282.290000001,4999.118485241648
2022-02-03,23.31,22.84,22.78,22.96,2681,589743,22.9725,13547871.0675,5053.2902154047
2022-02-04,25.73,25.56,23.58,23.76,9942,2252634,24.6575,55544322.855,5586.835933916716
2022-02-07,28.05,27.83,26.89,27.01,7365,1650269,27.445,45291632.705,6149.576742023082
2022-02-08,27.92,27.92,26.89,27.44,4251,769510,27.5425,21194229.175,4985.7043460362265
2022-02-09,28.23,28.23,27.5,27.69,3411,628099,27.9125,17531813.337500002,5139.786964966286
2022-02-10,28.83,27.74,27.38,27.38,5489,1185408,27.832499999999996,32992868.159999996,6010.724751320823
2022-02-11,27.66,26.65,26.43,27.42,7435,1616537,27.04,43711160.48,5879.106991257565
2022-02-14,26.97,26.53,26.28,26.86,3905,1002497,26.66,26726570.02,6844.192066581306
2022-02-15,28.04,27.8,27.59,27.88,2721,687447,27.8275,19129931.392500002,7030.4782772877625
2022-02-16,27.92,27.76,27.25,27.46,3482,609379,27.5975,16817336.9525,4829.792347070649
2022-02-17,26.58,25.7,25.64,26.47,6992,1182047,26.0975,30848471.5825,4411.966759510869
2022-02-18,25.62,25.11,24.79,25.37,5839,1402975,25.2225,35386536.9375,6060.376252354855
2022-02-22,24.07,23.79,23.475,23.55,6000,986124,23.721249999999998,23392093.935,3898.6823225
2022-02-23,24.5,23.61,23.425,24.43,3211,1003790,23.99125,24082176.837500002,7499.899357676737
2022-02-24,24.94,24.06,22.09,22.11,7824,2320264,23.3,54062151.2,6909.784151329243
2022-02-25,24.85,24.53,24.17,24.66,4405,1091810,24.552500000000002,26806665.025000002,6085.508518728718
2022-02-28,26.38,26.38,24.49,24.49,8843,2490900,25.435,63356041.5,7164.541614836594
2022-03-01,28.01,27.78,27.15,27.95,7631,1840348,27.7225,51019047.43,6685.761686541738
2022-03-02,28.5,27.58,27.31,27.55,4446,1046794,27.735,29032831.59,6530.10157219973
2022-03-03,27.61,26.41,26.26,27.59,6415,2602113,26.9675,70172482.3275,10938.812521823851
2022-03-04,26.07,24.78,24.52,25.94,6881,1098135,25.3275,27813014.212500002,4042.0017748147075
2022-03-07,24.79,23.56,23.32,24.57,6474,1538156,24.060000000000002,37008033.36000001,5716.409230769232
2022-03-08,24.71,24.15,23.93,24.3,7140,1479470,24.2725,35910435.575,5029.4727696078435
2022-03-09,26.78,26.32,26.23,26.47,6675,1620675,26.450000000000003,42866853.75000001,6422.000561797754
2022-03-10,24.95,24.86,24.35,24.56,4712,858030,24.68,21176180.4,4494.096010186757
2022-03-11,24.87,24.02,23.99,24.71,4731,851642,24.397499999999997,20777935.694999997,4391.86973050095
2022-03-14,24.59,24.32,24.1,24.32,4250,672918,24.332499999999996,16373777.234999998,3852.653467058823
2022-03-15,25.0,24.95,24.14,24.35,3839,953882,24.610000000000003,23475036.020000003,6114.883047668664
2022-03-16,25.86,25.66,24.72,25.39,5903,1381488,25.4075,35100156.36,5946.155575131289
2022-03-17,25.86,25.65,25.5,25.7,2201,385200,25.677500000000002,9890973.0,4493.854157201272
2022-03-18,26.43,26.43,25.31,25.4,4619,841360,25.8925,21784913.799999997,4716.370166702749
2022-03-21,26.06,25.85,25.53,25.91,3733,805965,25.8375,20824120.6875,5578.387540182159
2022-03-22,27.17,26.58,26.54,26.93,3908,1032125,26.805,27666110.625,7079.352769959059
2022-03-23,26.87,26.5,26.31,26.54,3134,796878,26.555,21161095.29,6752.104432035737
2022-03-24,27.845,27.63,26.78,26.91,5811,1144600,27.291249999999998,31237564.749999996,5375.591937704353
2022-03-25,28.375,27.94,27.64,28.2,7722,1551486,28.03875,43501728.0825,5633.47942016317
2022-03-28,30.285,30.13,29.71,29.76,6446,1109586,29.971249999999998,33255679.402499996,5159.118740691902
2022-03-29,30.21,29.98,29.615,30.05,4282,641068,29.96375,19208801.285,4485.94144908921
2022-03-30,29.999,29.5,29.37,29.61,3682,600893,29.61975,17798300.43675,4833.8675819527425
2022-03-31,29.65,28.56,28.54,29.65,4069,846226,29.1,24625176.6,6051.89889407717
2022-04-01,29.328,29.11,28.37,28.44,5231,1322004,28.812,38089579.248,7281.5100837316
2022-04-04,29.04,28.78,28.25,28.83,3979,664284,28.725,19081557.900000002,4795.56619753707
2022-04-05,29.2,28.84,28.46,29.13,3959,770089,28.9075,22261347.7675,5622.972409067946
2022-04-06,28.13,27.34,26.96,28.11,6829,1290044,27.634999999999998,35650365.94,5220.437244106018
2022-04-07,27.4,27.07,26.9,27.12,4887,953531,27.122499999999995,25862144.547499996,5292.028759463883
2022-04-08,27.54,26.68,26.515,26.77,5592,958104,26.87625,25750242.63,4604.8359495708155
2022-04-11,25.75,24.91,24.84,25.57,4495,772365,25.2675,19515732.6375,4341.653534482758
2022-04-12,25.31,24.49,24.49,25.3,3572,787384,24.897499999999997,19603893.139999997,5488.211965285554
2022-04-13,25.96,25.67,24.81,24.83,3461,745467,25.3175,18873360.7725,5453.152491331985
2022-04-14,25.81,24.88,24.735,25.73,4241,863201,25.28875,21829274.28875,5147.1997851332235
2022-04-18,25.67,25.39,24.38,24.62,4026,1001538,25.015,25053473.07,6222.919292101341
2022-04-19,26.1,25.93,25.54,25.59,2506,583282,25.79,15042842.78,6002.730558659217
2022-04-20,26.31,25.74,25.515,26.3,3258,1064627,25.96625,27644370.838749997,8485.073922268262
2022-04-21,26.87,25.74,25.73,26.8,3032,798206,26.285,20980844.71,6919.803664248021
2022-04-22,25.35,24.63,24.445,25.25,4559,912653,24.91875,22742171.943749998,4988.412358795788
2022-04-25,25.22,25.1,24.11,24.2,4082,1053888,24.6575,25986243.36,6366.056678098971
2022-04-26,25.1,23.86,23.595,25.1,4835,888414,24.41375,21689517.2925,4485.939460703205
2022-04-27,24.64,24.23,23.97,24.32,3174,639399,24.290000000000003,15531001.71,4893.195245746692
2022-04-28,25.24,24.94,24.25,24.62,5902,1089671,24.7625,26982978.1375,4571.836349966113
2022-04-29,24.56,23.84,23.76,24.33,4034,930127,24.122500000000002,22436988.5575,5561.970391051066
2022-05-02,24.38,24.0,23.685,24.18,5605,910415,24.06125,21905722.91875,3908.2467294826047
2022-05-03,23.96,23.43,23.32,23.9,4671,949266,23.652500000000003,22452514.065000005,4806.78956647399
2022-05-04,24.97,24.87,24.04,24.34,5838,1278071,24.555,31383033.405,5375.648065262077
2022-05-05,24.57,22.61,22.14,24.57,11803,2047019,23.4725,48048653.4775,4070.884815513005
2022-05-06,22.63,22.39,21.94,22.36,5933,858721,22.33,19175239.93,3231.963581661891
2022-05-09,20.79,19.23,18.87,20.36,13264,2034825,19.8125,40314970.3125,3039.4277979870326
2022-05-10,20.14,19.44,19.18,19.98,7597,1375558,19.685000000000002,27077859.230000004,3564.2831683559307
2022-05-11,19.87,18.18,18.1,18.55,15772,2775450,18.675,51831528.75,3286.3003265280245
2022-05-12,18.53,17.71,17.23,17.7,13145,2595842,17.792500000000004,46186518.78500001,3513.6187740585783
2022-05-13,19.28,18.68,18.26,19.01,7053,1149376,18.807500000000005,21616889.120000005,3064.9211853112156
2022-05-16,18.62,18.32,18.07,18.56,4335,668382,18.3925,12293215.934999999,2835.805290657439
2022-05-17,19.12,18.67,18.31,19.0,4963,1084562,18.775000000000002,20362651.55,4102.891708643965
2022-05-18,18.38,18.13,17.82,18.3,5078,945535,18.1575,17168551.7625,3380.9672631941708
2022-05-19,18.98,18.62,18.23,18.42,4932,906850,18.562500000000004,16833403.125000004,3413.098768248176
2022-05-20,18.89,18.19,17.82,18.83,4624,804286,18.4325,14825001.695,3206.098982482699
2022-05-23,19.0,18.04,18.04,18.92,4641,906593,18.5,16771970.5,3613.8699633699634
2022-05-24,18.4,18.22,17.77,18.17,7196,1712534,18.14,31065366.76,4317.032623679823
2022-05-25,18.66,18.35,18.25,18.29,4388,966611,18.387500000000003,17773559.762500003,4050.4921974703743
2022-05-26,18.52,18.23,17.49,17.49,7645,1948060,17.9325,34933585.95,4569.468404185743
2022-05-27,18.24,17.89,17.485,18.12,8506,2329915,17.93375,41784113.13125,4912.310502145545
2022-05-31,20.16,19.63,19.39,19.78,7531,1840798,19.74,36337352.519999996,4825.0368503518785
2022-06-01,19.83,18.65,18.565,19.8,4468,956563,19.21125,18376770.93375,4112.974694214414
2022-06-02,18.9,18.81,18.44,18.51,3692,1032337,18.665,19268570.105,5219.005987269773
2022-06-03,18.46,18.34,18.13,18.34,3255,718161,18.3175,13154914.1175,4041.4482695852535
2022-06-06,19.75,19.56,19.29,19.53,3950,989826,19.5325,19333776.345,4894.62692278481
2022-06-07,19.5,19.29,18.24,18.34,4066,1156051,18.8425,21782890.9675,5357.326848868667
2022-06-08,19.15,18.68,18.545,18.83,3121,891481,18.80125,16760957.15125,5370.380375280359
2022-06-09,18.895,18.59,18.56,18.71,1556,475282,18.688750000000002,8882426.477500001,5708.500306876607
2022-06-10,18.38,17.95,17.845,18.21,4125,784960,18.09625,14204832.4,3443.5957333333336
2022-06-13,15.02,14.32,14.0,14.5,16450,4049717,14.459999999999999,58558907.81999999,3559.8120255319145
2022-06-14,14.13,13.73,13.64,13.94,10086,2642283,13.86,36622042.379999995,3630.977828673408
2022-06-15,13.89,13.4,12.55,13.25,14855,3726550,13.272499999999999,49460634.875,3329.561418714238
2022-06-16,13.295,12.92,12.84,13.18,5705,2029779,13.05875,26506376.51625,4646.165909947415
2022-06-17,12.95,12.72,12.6,12.78,5940,1703200,12.7625,21737090.0,3659.4427609427607
2022-06-21,13.465,12.95,12.935,13.12,5521,1727238,13.1175,22657044.465,4103.793599891324
2022-06-22,12.94,12.47,12.265,12.74,4803,1411667,12.60375,17792297.951249998,3704.4134814178633
2022-06-23,12.965,12.95,12.46,12.72,3828,1282857,12.77375,16386894.60375,4280.797963362069
2022-06-24,13.255,13.16,12.88,13.16,3582,1092422,13.11375,14325749.0025,3999.3715808207703
2022-06-27,13.15,12.87,12.635,13.15,4069,1225766,12.95125,15875201.9075,3901.499608626198
2022-06-28,13.055,12.47,12.46,13.0,3253,973518,12.74625,12408703.8075,3814.541594681832
2022-06-29,12.525,12.48,12.265,12.42,2612,972677,12.4225,12083080.032499999,4625.987761294027
2022-06-30,11.88,11.61,11.56,11.87,3618,1157085,11.73,13572607.05,3751.4115671641794
2022-07-01,12.14,11.96,11.86,11.89,3826,1216942,11.9625,14557668.675,3804.9316975954002
2022-07-05,12.665,12.63,11.91,11.95,3917,1491233,12.28875,18325389.52875,4678.42469460046
