Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,average,abs_trade_size,avg_trade_size
2020-01-02,77.2,75.64,75.26,76.23,21193,2223755,76.0825,169188839.7875,7983.241626362478
2020-01-03,76.2,75.41,74.3136,75.12,17230,1629314,75.26089999999999,122623638.02259998,7116.868138282065
2020-01-06,75.75,74.59,73.83,74.97,22498,2328628,74.785,174146444.98,7740.53004622633
2020-01-07,84.88,83.89,75.0,75.0,100600,12172435,79.6925,970051776.2375,9642.661791625247
2020-01-08,88.27,81.48,81.16,86.0,149718,18235633,84.22749999999999,1535941778.5075,10258.898586058456
2020-01-09,90.3994,90.25,81.35,82.98,134944,17130348,86.24485,1477404293.7078,10948.277016449785
2020-01-10,97.9,96.07,90.25,91.8235,181089,22571699,94.010875,2121985173.226625,11717.913143408075
2020-01-13,115.5,114.34,98.8,99.71,252415,29836220,107.0875,3195086209.25,12658.06790107561
2020-01-14,135.23,117.05,114.28,124.73,414541,50768044,122.8225,6235458084.190001,15041.836836862942
2020-01-15,115.2499,107.08,106.11,110.79,188835,23034968,109.807475,2529411672.7858,13394.824438191014
2020-01-16,114.4,110.4,107.25,111.27,110152,15080519,110.83000000000001,1671373920.7700002,15173.341571374103
2020-01-17,113.11,109.12,107.43,110.84,79644,10445474,110.125,1150307824.25,14443.119685726482
2020-01-21,129.55,129.18,111.1201,113.0,248649,29423969,120.712525,3551841593.511725,14284.560137027396
2020-01-22,134.7,122.4,119.01,126.93,213973,25189110,125.75999999999999,3167782473.6,14804.589708047277
2020-01-23,120.99,118.64,112.88,119.75,98268,12073827,118.065,1425496384.7549999,14506.211429509096
2020-01-24,126.74,119.49,116.42,123.81,103852,13241545,121.61500000000001,1610370495.1750002,15506.398482215078
2020-01-27,129.83,124.75,119.6,119.8,153005,18454187,123.495,2278999823.565,14894.936920786902
2020-01-28,127.885,120.12,117.26,124.43,103746,12237584,122.42375,1498170924.22,14440.75843136121
2020-01-29,123.8,114.88,113.63,123.74,107871,13028726,119.01249999999999,1550581253.0749998,14374.403250873727
2020-01-30,118.47,117.29,114.49,115.4,57036,6708374,116.41250000000001,780938588.2750001,13692.029389771375
2020-01-31,118.15,110.42,108.03,117.43,75059,8055241,113.50750000000001,914330267.8075,12181.487467292396
2020-02-03,112.7,106.0,102.43,111.81,95134,11109948,108.235,1202485221.78,12639.910250593899
2020-02-04,114.15,110.43,106.5,106.77,70091,8532855,109.4625,934027640.4375,13325.928299460702
2020-02-05,113.99,110.17,108.96,113.5,48695,5428389,111.655,606106773.795,12447.002234212958
2020-02-06,113.005,111.89,109.5501,111.9965,36400,4170432,111.6104,465463583.6928,12787.461090461538
2020-02-07,120.52,116.44,111.3,111.98,97209,12762168,115.06,1468415050.08,15105.752040243187
2020-02-10,122.5,119.73,116.1,118.49,81734,10574178,119.20500000000001,1260494888.4900002,15421.916075195148
2020-02-11,123.1,117.14,116.1,120.46,65000,7971117,119.19999999999999,950157146.3999999,14617.80225230769
2020-02-12,119.5,114.73,113.77,117.28,49202,6242452,116.32000000000001,726122016.6400001,14757.97765619284
2020-02-13,117.0,112.01,111.0,114.79,63036,7911186,113.7,899501848.2,14269.653026841805
2020-02-14,117.47,116.22,112.31,113.0,56378,6969187,114.75,799714208.25,14184.863036113378
2020-02-18,123.7,122.03,117.5765,118.0,69884,8660971,120.326625,1042145409.6528751,14912.503715483874
2020-02-19,129.0,126.1,122.1,124.07,78535,8705669,125.3175,1090972674.9075,13891.547398070925
2020-02-20,126.1,120.58,115.14,126.08,72320,8376536,121.975,1021727978.5999999,14127.875810287609
2020-02-21,122.0,117.45,116.03,120.62,46568,5578304,119.02499999999999,663957633.5999999,14257.80865830613
2020-02-24,114.8,113.96,109.05,110.0,54646,5926473,111.9525,663483468.5325,12141.482789819933
2020-02-25,116.8,109.92,108.14,115.12,53912,5461206,112.495,614358368.97,11395.577403361034
2020-02-26,118.2,112.51,111.55,115.33,64414,7260913,114.3975,830630294.9174999,12895.182645348836
2020-02-27,111.5,106.14,103.5,110.34,79694,7833633,107.87,845013991.71,10603.232259768616
2020-02-28,91.77,89.65,85.0,88.0,139308,13231154,88.60499999999999,1172346400.1699998,8415.499470023256
2020-03-02,96.8,96.1,90.3,95.0,67791,7240451,94.55000000000001,684584642.0500001,10098.459117729493
2020-03-03,101.6688,95.43,94.63,101.6,83786,9611924,98.3322,945161633.1528,11280.663036220847
2020-03-04,101.93,101.89,97.7,99.02,57509,6576845,100.13499999999999,658572374.0749999,11451.640161974647
2020-03-05,100.25,95.87,95.07,99.24,47702,4337393,97.6075,423362087.2475,8875.143332512263
2020-03-06,96.44,96.09,91.6,92.9,44026,4210292,94.2575,396851598.19,9014.02803320765
2020-03-09,91.65,87.96,82.22,85.5,52418,5221223,86.8325,453371846.1475,8649.163381805867
2020-03-10,92.8899,90.98,85.61,92.05,45516,4388306,90.382475,396625957.33735,8713.989747283373
2020-03-11,89.52,82.64,81.3255,87.87,45999,4215048,85.338875,359707454.39100003,7819.897267136243
2020-03-12,76.11,74.0,68.85,72.5,64961,7098971,72.86500000000001,517266521.9150001,7962.724125475286
2020-03-13,79.4466,73.06,68.61,76.01,55442,5493986,74.28165,408102345.1569,7360.887867625626
2020-03-16,66.19,61.55,60.14,63.82,55243,5988728,62.925,376840709.4,6821.510587766776
2020-03-17,65.89,60.32,57.76,61.56,55446,5631525,61.3825,345677083.3125,6234.481897927713
2020-03-18,58.308,54.02,51.0,56.15,47466,4744602,54.8695,260333939.439,5484.640362343573
2020-03-19,58.8,57.33,48.18,52.05,51974,5759843,54.09,311549907.87,5994.34155289183
2020-03-20,63.4777,57.99,54.1495,59.61,47618,5121461,58.8068,301176732.73480004,6324.850534142552
2020-03-23,60.8699,57.55,55.11,57.51,37663,3675470,57.759975,212295055.31324998,5636.700616340971
2020-03-24,69.75,67.43,62.0,62.35,55484,5678798,65.3825,371294010.23499995,6691.911366069497
2020-03-25,78.6,73.0,70.5638,73.13,66123,6706071,73.82345,495065297.16494995,7487.036237995099
2020-03-26,72.96,71.1,66.42,69.5,73688,7964573,69.995,557480287.135,7565.41481835577
2020-03-27,68.215,66.12,64.22,68.17,43685,4075686,66.68125,271771837.08750004,6221.170586871925
2020-03-30,68.5,66.09,63.82,67.0,31142,3106673,66.35249999999999,206135520.2325,6619.212646345771
2020-03-31,69.0,66.6,65.34,67.2,24044,2564594,67.035,171917558.79,7150.123057311595
2020-04-01,65.68,64.18,63.19,64.2,22336,2368512,64.3125,152324928.0,6819.704871060172
2020-04-02,63.9695,57.95,57.0,63.86,53583,4847367,60.694874999999996,294210334.144125,5490.740237465707
2020-04-03,60.85,59.91,57.12,59.01,33576,3221564,59.2225,190789073.98999998,5682.305039015963
2020-04-06,66.66,65.92,62.05,62.75,38023,3839079,64.345,247025538.255,6496.739822081372
2020-04-07,71.8,67.43,65.2939,70.01,37935,4450326,68.633475,305441338.26285005,8051.702603475684
2020-04-08,71.4,69.47,67.39,68.35,24492,2386970,69.1525,165064942.925,6739.545277029235
2020-04-09,74.72,72.3,70.6,71.68,34744,3338273,72.325,241440594.72500002,6949.1306333467655
2020-04-13,77.16,76.67,71.23,73.01,32192,3299214,74.51750000000001,245849179.24500003,7636.965061040011
2020-04-14,82.63,78.05,77.2,79.99,47368,4982573,79.4675,395952619.8775,8359.07405584994
2020-04-15,77.0,74.7,72.62,76.71,32078,2968548,75.2575,223405501.10999998,6964.446072386058
2020-04-16,76.07,74.82,72.9,75.42,21927,2040483,74.80250000000001,152633229.60750002,6960.971843275414
2020-04-17,78.0,76.91,75.33,77.78,21682,2131077,77.005,164103584.385,7568.655307859053
2020-04-20,83.62,79.12,76.0,76.24,43427,4607036,78.745,362781049.82,8353.81329173095
2020-04-21,92.0,84.96,82.103,87.51,123932,13184856,86.64325,1142378774.622,9217.78696883775
2020-04-22,90.39,88.46,85.14,87.0,57976,6128850,87.74749999999999,537791265.3749999,9276.101582982612
2020-04-23,101.5599,99.78,89.295,89.87,112518,11319859,95.126225,1076815454.202275,9570.161700370385
2020-04-24,113.48,108.78,103.0,105.0,197981,21206159,107.565,2281040492.835,11521.512129118451
2020-04-27,116.64,99.63,97.5,111.92,201125,20131494,106.4225,2142443920.215,10652.300411261653
2020-04-28,104.48,99.52,97.25,101.97,71699,7076457,100.80499999999999,713342247.885,9949.12408659814
2020-04-29,103.0,100.1,97.92,100.56,48180,4531257,100.39500000000001,454915546.51500005,9441.99972011208
2020-04-30,107.0,98.99,96.13,98.19,70767,6718848,100.0775,672405510.72,9501.681726228328
2020-05-01,98.72,91.53,89.9,94.4,72373,6558425,93.63749999999999,614114520.9374999,8485.409212517097
2020-05-04,95.4708,95.16,88.51,89.0,45697,4267757,92.0352,392783869.0464,8595.397269982712
2020-05-05,102.5,100.16,96.6628,100.5,120894,11915162,99.95570000000001,1190988358.3234,9851.509242174136
2020-05-06,126.5,126.21,110.0,110.26,363797,38572424,118.24249999999999,4560899844.82,12536.936381608424
2020-05-07,127.84,122.66,117.12,126.72,217165,22970954,123.58500000000001,2838865350.09,13072.38896732899
2020-05-08,136.0,133.51,119.1011,123.47,214732,22524851,128.020275,2883637619.354025,13429.00741088438
2020-05-11,139.29,130.82,129.0,129.51,151818,15832017,132.15499999999997,2092280206.6349995,13781.502895802865
2020-05-12,145.5,136.93,131.89,133.97,192743,21441859,137.0725,2939089217.7774997,15248.746869030261
2020-05-13,147.55,134.51,127.21,140.58,212692,22508226,137.46249999999998,3094037016.5249996,14547.030525478154
2020-05-14,141.0,135.41,131.2103,133.49,119452,12681816,135.27757499999998,1715565315.0761998,14361.963927570905
2020-05-15,140.2,134.16,132.63,134.98,80548,8232888,135.49249999999998,1115494577.34,13848.817814719172
2020-05-18,137.95,130.03,128.81,137.49,91146,8031608,133.57,1072781880.56,11769.928253132337
2020-05-19,142.0,136.2,132.67,132.73,129361,13729717,135.89999999999998,1865868540.2999997,14423.733121265293
2020-05-20,144.92,140.5,137.04,142.07,96159,9777919,141.1325,1379982153.2675,14351.045177960461
2020-05-21,141.915,138.11,134.45,141.03,69042,5531806,138.87625,768236473.0075,11127.088916999797
2020-05-22,139.38,136.8,135.07,137.26,41927,3318570,137.1275,455067207.675,10853.798451475182
2020-05-26,139.88,132.87,131.5,139.83,63081,4639144,136.02,631016366.88,10003.271458600846
2020-05-27,131.98,123.15,116.0,130.71,131487,10083678,125.46000000000001,1265098241.88,9621.470121608982
2020-05-28,126.5993,120.82,120.0,121.55,65885,5003373,122.242325,611623948.3622249,9283.204801733702
2020-05-29,129.0,128.29,121.5,122.15,84590,7684516,125.23499999999999,962370361.2599999,11376.880970091026
2020-06-01,139.2,138.69,133.28,134.31,118649,11557778,136.37,1576134185.8600001,13284.007331372368
2020-06-02,136.7499,135.19,132.14,136.13,73256,6732949,135.05247500000002,909301426.4987751,12412.654615304891
2020-06-03,138.45,134.23,133.22,135.0,51211,4649008,135.225,628662106.8,12275.91936888559
2020-06-04,142.21,136.44,133.16,133.86,95057,7779604,136.41750000000002,1061274128.6700002,11164.60785286723
2020-06-05,137.89,133.53,132.77,136.05,64507,4611995,135.06,622896044.7,9656.255052939992
2020-06-08,163.22,162.46,135.75,137.02,214689,20318886,149.6125,3039959331.675,14159.828084694605
2020-06-09,161.54,153.95,148.56,156.71,148844,13834052,155.19,2146906529.8799999,14423.870158555264
2020-06-10,163.08,156.16,153.65,155.0,99184,8852260,156.9725,1389561382.85,14009.934897261654
2020-06-11,155.24,143.51,140.25,147.21,114356,9487201,146.5525,1390373024.5525,12158.286618563958
2020-06-12,151.9412,144.74,141.65,151.33,74950,5704968,147.4153,840999569.2104,11220.80812822415
2020-06-15,154.4,154.0,141.01,142.6,75651,6470464,148.0025,957644848.16,12658.720283406696
2020-06-16,157.35,151.94,147.5405,156.5,63189,4806318,153.332625,736965355.52475,11662.874163616294
2020-06-17,167.16,156.34,154.37,155.98,167920,16144354,158.4625,2558274695.725,15235.080369967842
2020-06-18,160.97,158.2,154.88,157.26,69313,6264252,157.8275,988671232.53,14263.864390951192
2020-06-19,165.46,158.28,156.87,160.2,82488,7732060,160.2025,1238695342.1499999,15016.673239137812
2020-06-22,164.96,159.63,158.6,161.39,56032,5035031,161.145,811370070.495,14480.476700724586
2020-06-23,160.137,152.79,151.56,159.42,94586,7571077,155.97675,1180911984.4597502,12485.061049835602
2020-06-24,156.5799,151.38,148.5,150.0935,65731,5063373,151.63835,767801527.15455,11680.965254667508
2020-06-25,151.75,145.35,136.0,149.0,158454,13608756,145.525,1980414216.9,12498.354203112576
2020-06-26,146.0,141.68,140.25,143.78,46877,4284353,142.9275,612351863.4075,13062.94906686648
2020-06-29,134.21,131.55,125.0,133.65,139812,10411256,131.10250000000002,1364941689.7400002,9762.693400709526
2020-06-30,136.606,133.98,130.5501,132.79,64673,4915787,133.48152499999998,656166745.3351749,10145.914760953952
2020-07-01,151.53,141.64,138.77,146.67,168804,14713359,144.6525,2128324162.7475,12608.25669265835
2020-07-02,146.95,140.72,140.3,146.66,64242,4938832,143.6575,709500258.04,11044.180723514211
2020-07-06,144.72,143.0,140.15,143.0,56177,4625862,142.7175,660191459.985,11751.988535966677
2020-07-07,146.45,143.11,138.5,142.59,59729,4844598,142.6625,691142462.175,11571.304762761807
2020-07-08,145.95,144.98,140.75,143.41,42963,3049115,143.7725,438378886.33750004,10203.63769609897
2020-07-09,145.5,141.22,136.5,145.0,64656,4505223,142.055,639989453.265,9898.376844608389
2020-07-10,136.65,135.03,130.75,135.21,77892,5998305,134.41,806232175.05,10350.641594130333
2020-07-13,136.17,125.98,125.88,135.1,100599,6980858,130.7825,912974061.385,9075.379093082436
