Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,average,abs_trade_size,avg_trade_size
2021-04-14,429.54,328.28,310.0,381.0,2495695,81065746,362.205,29362418529.93,11765.22713309519
2021-04-15,349.2,322.75,317.2701,348.9,1172872,39777858,334.53002499999997,13306887831.18645,11345.558450697476
2021-04-16,345.99,342.0,321.03,327.5,609540,22654542,334.13,7569562118.46,12418.482984644157
2021-04-19,341.01,333.0,326.79,337.26,320841,11405556,334.515,3815329565.3399997,11891.65214339813
2021-04-20,334.83,320.82,312.0201,333.425,353003,18082257,325.273775,5881683994.910175,16661.85271771111
2021-04-21,327.47,311.92,302.1,312.52,287618,10103896,313.5025,3167596655.74,11013.207294884185
2021-04-22,313.5,293.45,287.2033,305.7595,429537,14991941,299.9782,4497255475.6862,10470.00718374948
2021-04-23,303.0,291.6,282.07,282.75,257538,9891146,289.855,2866998123.8300004,11132.330467076705
2021-04-26,306.1,304.54,296.9,304.29,167463,6330230,302.95750000000004,1917790655.2250001,11452.026150403373
2021-04-27,306.7,302.0,299.5,306.7,114908,3901957,303.725,1185121889.825,10313.658664540328
2021-04-28,302.8999,298.05,298.05,301.01,102720,2746079,300.002475,823830496.545525,8020.15670313011
2021-04-29,300.0,294.77,292.1,298.4494,110547,2845798,296.32984999999996,843294894.4703,7628.3833525134105
2021-04-30,302.7399,297.64,291.0,293.0,110751,3997384,296.094975,1183605315.5454,10687.08468136089
2021-05-03,305.03,294.21,293.94,304.0,110059,3333846,299.295,997803438.57,9066.07763626782
2021-05-04,292.19,280.66,275.61,292.0622,208998,5707704,285.13055,1627440780.7572002,7786.872509579997
2021-05-05,289.15,273.0,269.0,284.9521,152431,5074631,279.025525,1415951578.956275,9289.131337826788
2021-05-06,272.14,256.76,250.51,271.15,260707,8342002,262.64,2190943405.2799997,8403.85338820975
2021-05-07,267.072,263.7,258.3801,261.1519,117425,4243741,262.576,1114304536.816,9489.499994175005
2021-05-10,297.5,293.45,259.37,266.4,235502,10268641,279.18,2866799194.38,12173.141605506535
2021-05-11,303.32,303.0,276.51,281.05,180658,7456019,290.97,2169477848.4300003,12008.756038647613
2021-05-12,306.98,283.61,280.79,299.5428,173224,7214195,292.73069999999996,2111816352.2864997,12191.245741274302
2021-05-13,285.0,265.1,252.26,276.46,266966,11226843,269.70500000000004,3027935691.3150005,11342.027416656056
2021-05-14,280.64,258.37,256.351,280.37,284094,11751752,268.93275,3160430982.678,11124.596023421826
2021-05-17,250.25,248.24,238.25,250.0,241191,8828143,246.685,2177770455.955,9029.235982913955
2021-05-18,252.165,239.0,238.5,238.83,168959,7852101,242.12375,1901180139.49875,11252.316476179132
2021-05-19,229.0,224.8,208.0,212.9256,344623,16765954,218.6814,3666402293.0556,10638.878696591928
2021-05-20,238.8,233.4,226.2601,236.1,203873,10386891,233.64002499999998,2426793472.912275,11903.456921280773
2021-05-21,238.97,224.35,223.9,235.97,162803,7554937,230.7975,1743660572.2575002,10710.24841223749
2021-05-24,231.0,225.3,224.04,227.28,182977,10185621,226.90499999999997,2311168333.0049996,12630.922646042944
2021-05-25,243.99,242.41,228.0,230.0,214013,11827823,236.1,2792549010.2999997,13048.501774658547
2021-05-26,249.39,241.52,239.3727,247.5,136828,6602815,244.445675,1614029569.575125,11796.047370239461
2021-05-27,247.24,247.09,240.32,245.21,101443,5083274,244.965,1245224215.41,12275.11228384413
