Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,average,abs_trade_size,avg_trade_size
2020-01-02,10.38,9.55,9.39,10.38,6775,1538106,9.925,15265702.05,2253.24015498155
2020-01-03,9.82,9.3,9.16,9.38,4274,919650,9.415000000000001,8658504.75,2025.8551123069724
2020-01-06,9.36,8.82,8.76,9.11,4131,1011309,9.0125,9114422.362499999,2206.347703340595
2020-01-07,9.05,8.65,8.62,8.87,4051,867318,8.7975,7630230.1049999995,1883.5423611453962
2020-01-08,8.97,8.64,8.31,8.63,5447,1388138,8.637500000000001,11990041.975000001,2201.21938222875
2020-01-09,9.36,9.21,8.61,8.7,6462,1602928,8.969999999999999,14378264.159999998,2225.0486165273905
2020-01-10,9.14,8.88,8.76,9.09,4624,1088971,8.967500000000001,9765347.4425,2111.8830974264706
2020-01-13,9.91,9.8,8.65,8.83,6991,1902117,9.2975,17684932.807499997,2529.6714071663564
2020-01-14,10.34,10.33,9.21,9.55,11248,2740106,9.8575,27010594.895,2401.368678431721
2020-01-15,11.49,10.92,10.03,10.41,12106,3161174,10.7125,33864076.475,2797.2969168181066
2020-01-16,11.41,10.6,10.44,11.1,8900,2040994,10.8875,22221322.174999997,2496.77777247191
2020-01-17,11.35,11.18,10.43,10.65,7934,2113335,10.9025,23040634.8375,2904.037665427275
2020-01-20,11.58,11.27,10.97,11.13,2777,780144,11.2375,8766868.200000001,3156.95649981995
2020-01-21,11.74,10.7,10.57,11.38,8639,1992036,11.0975,22106619.51,2558.932690126172
2020-01-22,11.39,10.95,10.67,10.8,7311,1589275,10.9525,17406534.4375,2380.8691611954587
2020-01-23,11.26,10.95,10.72,10.85,5029,1258475,10.945,13774008.875,2738.9160618413202
2020-01-24,11.21,9.99,9.89,11.14,8524,1653607,10.557500000000001,17457955.9025,2048.0943104763023
2020-01-27,10.08,9.57,9.43,9.44,5941,1218328,9.629999999999999,11732498.639999999,1974.8356572967512
2020-01-28,10.14,10.13,9.62,9.94,6720,1554118,9.9575,15475129.985,2302.8467239583333
2020-01-29,10.36,9.91,9.9,10.23,4154,965002,10.100000000000001,9746520.200000001,2346.2975926817526
2020-01-30,10.03,9.79,9.6,9.87,3832,955555,9.8225,9385938.987499999,2449.3577733559496
2020-01-31,9.83,9.53,9.3,9.75,4308,838749,9.6025,8054087.272499999,1869.5652907381614
2020-02-03,9.67,9.49,9.37,9.53,2978,593519,9.515,5647333.285,1896.351002350571
2020-02-04,10.12,9.89,9.54,9.54,3913,880558,9.772499999999999,8605253.055,2199.1446601073344
2020-02-05,10.05,9.68,9.56,9.98,3050,693308,9.8175,6806551.290000001,2231.656160655738
2020-02-06,9.82,9.34,9.3,9.71,3729,710118,9.5425,6776301.015000001,1817.1898672566374
2020-02-07,9.39,9.13,8.94,9.12,4253,966431,9.145,8838011.495,2078.065246884552
2020-02-10,9.23,8.9,8.79,9.11,2646,554746,9.0075,4996874.595,1888.463565759637
2020-02-11,9.4,9.09,8.74,8.87,3340,723229,9.024999999999999,6527141.724999999,1954.2340494011971
2020-02-12,9.19,8.9,8.9,9.15,3021,546124,9.035,4934230.34,1633.3102747434623
2020-02-13,9.21,9.12,8.84,8.91,3081,602036,9.02,5430364.72,1762.5331775397597
2020-02-14,9.92,9.69,9.4,9.9,5948,1281244,9.7275,12463301.01,2095.3767669804975
2020-02-18,9.82,9.58,9.42,9.6,3159,514175,9.605,4938650.875,1563.3589347894904
2020-02-19,9.71,9.62,9.46,9.57,3172,596647,9.59,5721844.7299999995,1803.8602553593946
2020-02-20,10.16,9.72,9.59,9.6,6113,1254566,9.7675,12253973.405,2004.5760518566988
2020-02-21,9.76,9.44,9.44,9.76,4207,987287,9.6,9477955.2,2252.9011647254574
2020-02-24,8.95,8.49,8.45,8.94,6553,1535460,8.7075,13370017.95,2040.2896307034944
2020-02-25,8.65,7.99,7.98,8.53,6347,1299062,8.2875,10765976.325,1696.2307113596974
