Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,average,abs_trade_size,avg_trade_size
2020-01-02,10.8,10.68,10.65,10.79,1706,1194114,10.73,12812843.22,7510.459097303635
2020-01-03,10.75,10.68,10.61,10.66,1141,467593,10.674999999999999,4991555.274999999,4374.719785276073
2020-01-06,10.9,10.8,10.6917,10.75,5791,2184115,10.785425,23556608.523875,4067.7963260015545
2020-01-07,10.95,10.9,10.87,10.89,6560,1986202,10.9025,21654567.305,3301.001113567073
2020-01-08,11.35,11.26,10.8844,10.94,5345,2955924,11.1086,32836177.346399996,6143.344685949485
2020-01-09,12.39,12.25,11.34,11.43,13160,8280190,11.8525,98140951.975,7457.519147036473
2020-01-10,12.63,12.39,11.9823,12.41,8426,2374859,12.353075,29336811.341425,3481.7008475462853
2020-01-13,12.64,12.0,11.55,12.61,4990,1674051,12.2,20423422.2,4092.8701803607214
2020-01-14,12.28,11.94,11.82,12.14,2495,594889,12.045,7165438.005,2871.9190400801604
2020-01-15,13.0,12.7,11.99,12.0,8755,3258229,12.4225,40475349.7525,4623.112478869218
2020-01-16,13.44,12.99,12.94,13.11,15591,5473097,13.12,71807032.64,4605.672031300109
2020-01-17,13.67,13.57,12.76,13.23,9291,3487880,13.3075,46414963.099999994,4995.690786782908
2020-01-21,14.5,13.83,13.32,13.83,12233,3281904,13.87,45520008.48,3721.0830115261992
2020-01-22,14.39,14.27,13.72,14.0,6973,2341783,14.094999999999999,33007431.384999998,4733.605533486304
2020-01-23,14.6,14.44,14.11,14.47,9711,2901059,14.405,41789754.894999996,4303.342075481412
2020-01-24,14.7173,14.36,14.16,14.6,5556,1823347,14.459325,26364366.860775,4745.206418426026
2020-01-27,15.14,15.0,14.35,14.59,15906,4655284,14.77,68758544.67999999,4322.805524959134
2020-01-28,15.75,15.08,14.3,15.35,20668,5870289,15.120000000000001,88758769.68,4294.502113412038
2020-01-29,14.9699,14.5,14.0,14.93,13036,3479566,14.599975,50801576.61085,3897.021832682571
2020-01-30,14.89,14.67,14.36,14.77,9079,1940634,14.6725,28473952.365,3136.2432387928184
2020-01-31,15.0,14.53,14.4,14.79,6289,1098551,14.68,16126728.68,2564.275509619971
2020-02-03,14.87,14.51,14.04,14.84,6938,1459340,14.565,21255287.099999998,3063.6043672528103
2020-02-04,15.0255,14.57,14.45,14.64,6542,1404000,14.671375,20598610.5,3148.671736472027
2020-02-05,14.9,14.25,13.85,14.81,6908,1270135,14.4525,18356626.087500002,2657.2996652431966
2020-02-06,14.48,13.61,13.26,14.35,12093,2912844,13.924999999999999,40561352.699999996,3354.1183081121308
2020-02-07,14.74,14.5,13.5,13.64,6280,1249391,14.095,17610166.145,2804.166583598726
2020-02-10,16.74,16.02,14.5,14.52,14089,3305684,15.445,51056289.38,3623.84054084747
2020-02-11,17.36,16.82,16.3,16.39,10146,2388105,16.7175,39923145.337500006,3934.865497486695
2020-02-12,18.69,18.35,16.9,17.07,20098,3997289,17.7525,70961872.97250001,3530.7927640810035
2020-02-13,18.65,17.91,17.25,18.48,7867,1543042,18.072499999999998,27886626.544999998,3544.759952332528
2020-02-14,18.3,17.33,16.86,17.96,7216,1285363,17.6125,22638455.837500002,3137.258292336475
2020-02-18,17.77,17.29,16.6501,17.55,8238,1367427,17.315025,23677032.690674998,2874.1239003004366
2020-02-19,18.36,17.97,17.65,17.96,9412,1684366,17.985,30293322.509999998,3218.5850520611984
2020-02-20,18.14,17.65,16.75,18.13,7429,1379750,17.667499999999997,24376733.124999996,3281.293999865392
2020-02-21,17.6167,16.95,16.85,17.57,3975,579204,17.246675,9989343.1467,2513.0423010566037
2020-02-24,16.8208,16.64,15.8,16.44,5481,1203699,16.4252,19770996.8148,3607.1878881226057
