Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,average,abs_trade_size,avg_trade_size
2020-01-02,43.04,42.39,42.07,42.89,9115,7246136,42.5975,308667278.26,33863.66190455294
2020-01-03,43.21,41.91,41.77,43.16,14433,6000358,42.5125,255090219.47500002,17674.095439271117
2020-01-06,42.9,41.95,41.61,42.9,13047,5954231,42.34,252102140.54000002,19322.613669042694
2020-01-07,42.69,42.65,41.76,42.01,11298,6356664,42.277499999999996,268743862.26,23786.85274030802
2020-01-08,42.49,40.84,40.56,42.41,26975,13805915,41.575,573980916.125,21278.254536607972
2020-01-09,40.935,40.23,40.21,40.46,11143,5385312,40.45875,217882991.88000003,19553.351151395498
2020-01-10,41.18,40.9,40.43,40.5,10289,5189783,40.752500000000005,211496631.7075,20555.606152930315
2020-01-13,40.63,39.66,39.63,40.63,11745,7398567,40.1375,296959982.96250004,25283.94916666667
2020-01-14,40.65,40.61,39.6,39.64,13885,7610346,40.125,305365133.25,21992.447479294202
2020-01-15,41.56,41.44,40.47,40.83,12745,6594411,41.075,270865431.82500005,21252.681979207537
2020-01-16,41.26,41.01,40.64,41.15,8843,3914174,41.015,160539846.61,18154.45511817257
2020-01-17,41.435,40.85,40.58,41.26,9960,2907318,41.03125,119290891.6875,11976.997157379517
2020-01-21,41.55,41.54,40.42,40.6,12699,7503302,41.0275,307841722.805,24241.414505472872
2020-01-22,41.65,41.56,41.13,41.48,6131,2796399,41.455,115924720.545,18907.962900831837
2020-01-23,41.81,40.99,40.87,41.13,10575,4640009,41.2,191168370.8,18077.387309692673
2020-01-24,41.89,41.79,40.99,40.99,13370,7696863,41.415,318765581.145,23841.853488780853
2020-01-27,42.3,41.31,40.95,42.3,12316,7104169,41.715,296350409.83500004,24062.22879465736
2020-01-28,41.22,40.23,40.085,40.88,14189,7166971,40.60375,291005898.74125,20509.260606191416
2020-01-29,41.34,41.29,40.13,40.24,11140,7429392,40.75,302747724.0,27176.63590664273
2020-01-30,41.63,41.12,40.93,41.44,12363,4955859,41.28,204577859.52,16547.590351856346
2020-01-31,41.92,41.54,41.22,41.27,14494,6278582,41.4875,260482670.725,17971.758708776044
2020-02-03,41.32,40.72,40.61,41.1,10412,7562563,40.9375,309592422.8125,29734.193508691893
2020-02-04,40.62,40.41,39.81,40.38,13448,6824738,40.305,275071065.09,20454.421853807256
2020-02-05,40.81,40.4,40.11,40.38,7805,3690854,40.425,149202772.95,19116.30659192825
2020-02-06,41.07,40.95,40.46,40.66,9124,5237303,40.785,213603402.855,23411.15770002192
2020-02-07,41.4,40.25,40.24,41.22,11287,4789040,40.7775,195285078.60000002,17301.77005404448
2020-02-10,41.14,40.95,40.355,40.64,11385,5886137,40.771249999999995,239985163.16124997,21079.065714646462
2020-02-11,41.02,40.81,40.38,40.75,7475,2060836,40.74,83958458.64,11231.900821404683
2020-02-12,40.91,40.51,40.46,40.77,7702,2777832,40.6625,112953593.7,14665.488665281746
2020-02-13,41.33,41.06,40.7,40.92,8239,4028032,41.0025,165159382.07999998,20046.047102803735
2020-02-14,41.58,40.97,40.95,41.24,9279,3687493,41.185,151869399.205,16367.000668714303
2020-02-18,42.695,42.66,41.26,41.56,19724,9613299,42.043749999999996,404179139.83124995,20491.743045591662
2020-02-19,44.05,44.04,42.8,43.22,15051,12461832,43.527499999999996,542432392.38,36039.624767789515
2020-02-20,44.4,43.76,43.29,43.8,13173,6645723,43.81249999999999,291165738.93749994,22103.221660783416
2020-02-21,45.07,44.97,44.31,44.53,20292,9626339,44.72,430489880.08,21214.758529469742
2020-02-24,46.41,44.91,44.29,46.4,29807,11432721,45.5025,520217387.30249995,17452.859640436807
2020-02-25,44.9,42.65,42.41,44.16,28888,14533922,43.53,632661624.66,21900.49933051786
2020-02-26,43.39,42.7,42.35,42.67,19724,6570562,42.7775,281072215.95500004,14250.264447120262
2020-02-27,43.33,39.76,39.76,43.26,33452,20449760,41.527499999999996,849227408.4,25386.446502451272
2020-02-28,38.01,36.05,35.26,37.8,55215,27684936,36.78,1018251946.08,18441.581926650368
2020-03-02,38.17,38.1,36.96,37.42,18703,17585866,37.6625,662327678.225,35412.911202748226
2020-03-03,41.29,39.71,38.065,38.85,52151,15893137,39.47875,627441182.33875,12031.239714267223
2020-03-04,40.5,40.19,39.12,40.29,17232,6050495,40.025,242171062.375,14053.566758066389
2020-03-05,41.15,40.91,39.75,40.59,14762,5391411,40.6,218891286.6,14828.023750169354
2020-03-06,41.14,40.12,38.84,41.06,27728,9811391,40.29,395300943.39,14256.381397504327
2020-03-09,38.87,37.06,36.55,38.04,17919,11593989,37.629999999999995,436281806.06999993,24347.44160220994
2020-03-10,38.11,37.4,35.8,37.57,17479,6990362,37.22,260181273.64,14885.363787402024
2020-03-11,36.8,33.46,33.03,36.49,28240,17346897,34.945,606187315.665,21465.55650371813
2020-03-12,32.12,24.67,24.67,29.9,50270,48426283,27.84,1348187718.72,26818.932140839468
2020-03-13,29.66,22.17,19.52,29.3,38240,23996785,25.1625,603819102.5625,15790.248497973327
2020-03-16,27.84,26.68,19.79,19.8,49452,45935025,23.527500000000003,1080736300.6875002,21854.248578166713
2020-03-17,33.11,32.99,27.01,27.01,35984,26134138,30.03,784808164.14,21809.92007947977
2020-03-18,32.68,24.85,24.85,30.62,46834,32380230,28.25,914741497.5,19531.56889225776
2020-03-19,31.79,25.82,24.06,25.07,40662,20991808,26.685000000000002,560166396.48,13776.164391323595
2020-03-20,28.67,24.66,24.56,28.57,46825,13408132,26.615,356857433.18,7621.087734757074
2020-03-23,28.68,27.07,25.67,26.49,58015,13451967,26.9775,362900439.7425,6255.28638701198
2020-03-24,32.47,32.13,29.95,31.84,73281,21478259,31.597500000000004,678659288.7525,9261.05387143325
2020-03-25,35.39,33.47,30.74,31.49,64889,17353367,32.772499999999994,568713220.0074999,8764.401054223365
