Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,average,abs_trade_size,avg_trade_size
2020-01-02,29.719,29.35,29.11,29.62,10007,13908541,29.44975,409603055.31475,40931.65337411312
2020-01-03,29.87,29.17,29.01,29.85,14598,13511334,29.475,398246569.65000004,27280.89941430333
2020-01-06,29.78,29.22,29.02,29.75,13595,14092084,29.4425,414906183.16999996,30519.027816844424
2020-01-07,29.52,29.5,29.025,29.21,11320,12885465,29.31375,377721299.64375,33367.60597559629
2020-01-08,29.43,28.35,28.125,29.37,21981,31037054,28.81875,894449099.9625001,40691.92029309404
2020-01-09,28.41,28.04,28.0,28.11,13067,17791018,28.14,500639246.52,38313.25067115635
2020-01-10,28.555,28.45,28.12,28.15,8849,12779935,28.31875,361911784.28125,40898.608236100124
2020-01-13,28.32,27.77,27.755,28.32,10150,16222357,28.041249999999998,454895168.22625,44817.25795332512
2020-01-14,28.31,28.26,27.68,27.71,11432,16906162,27.99,473203474.38,41392.886142407275
2020-01-15,28.865,28.79,28.18,28.39,11266,17117691,28.55625,488817063.61875,43388.69728552725
2020-01-16,28.705,28.67,28.36,28.6,8173,10504871,28.58375,300268606.44624996,36739.0929213569
2020-01-17,28.775,28.42,28.3,28.75,11044,14576301,28.56125,416317376.93625003,37696.249269852415
2020-01-21,28.965,28.95,28.21,28.26,10754,15260618,28.59625,436396447.4825,40579.91886577088
2020-01-22,28.99,28.84,28.66,28.9,5497,5626736,28.8475,162317266.76,29528.336685464797
2020-01-23,29.09,28.66,28.6,28.66,11941,11370805,28.752499999999998,326939070.7625,27379.53862846495
2020-01-24,29.29,29.22,28.61,28.61,12143,13191228,28.932499999999997,381655204.10999995,31430.058808366957
2020-01-27,29.66,29.08,28.92,29.64,12850,9880308,29.325,289740032.09999996,22547.86242023346
2020-01-28,28.96,28.31,28.281,28.8,13185,20092457,28.58775,574398137.60175,43564.51555568828
2020-01-29,28.895,28.86,28.231,28.3,10053,14418412,28.5715,411955658.458,40978.380429523524
2020-01-30,29.075,28.73,28.6,28.9,13470,10781039,28.826249999999998,310776925.47375,23071.783628340756
2020-01-31,29.23,28.99,28.76,28.81,12023,11130902,28.947499999999998,322211785.645,26799.61620602179
2020-02-03,28.89,28.56,28.4,28.75,10439,16745946,28.65,479771352.9,45959.5126832072
2020-02-04,28.27,28.05,27.775,28.2,15035,23865985,28.07375,670007696.39375,44563.19896200532
2020-02-05,28.34,28.05,27.91,28.02,8994,12990478,28.08,364772622.23999995,40557.32957971981
2020-02-06,28.505,28.4,28.12,28.27,9057,11592435,28.323749999999997,328341230.83124995,36252.75817944683
2020-02-07,28.67,27.93,27.92,28.57,9029,12969618,28.2725,366683524.90500003,40611.75378281095
2020-02-10,28.51,28.39,28.02,28.19,9448,12082916,28.2775,341674657.19,36163.7020734547
2020-02-11,28.52,28.43,28.08,28.32,6478,6033221,28.3375,170966400.0875,26391.84934972214
2020-02-12,28.405,28.12,28.085,28.34,7914,12007856,28.237500000000004,339071833.8000001,42844.55822592874
2020-02-13,28.58,28.32,28.21,28.34,8197,7963149,28.362499999999997,225854813.5125,27553.350434610224
2020-02-14,28.46,28.31,28.19,28.34,7507,8763509,28.325,248226392.42499998,33065.99073198348
2020-02-18,29.25,29.23,28.39,28.59,15110,23834847,28.865000000000002,687992858.6550001,45532.287137988096
2020-02-19,29.78,29.75,29.2,29.37,13168,14126940,29.525000000000002,417097903.50000006,31675.11417831106
2020-02-20,30.095,29.75,29.505,29.65,14610,18512986,29.75,550761333.5,37697.55876112252
2020-02-21,30.705,30.65,30.18,30.27,24784,23362023,30.45125,711402802.8787501,28704.11567457836
2020-02-24,31.83,31.05,30.66,31.76,35637,23056066,31.325,722231267.4499999,20266.331830681593
2020-02-25,31.155,29.97,29.91,30.48,27656,29149776,30.37875,885533757.66,32019.589154613826
2020-02-26,30.28,29.87,29.675,29.9,20804,15018722,29.931250000000002,449529122.8625,21607.8217103682
2020-02-27,30.37,28.15,28.14,30.32,40146,42421278,29.244999999999997,1240610275.11,30902.46288820804
2020-02-28,27.03,26.22,25.43,26.8,79264,61631708,26.369999999999997,1625228139.9599998,20503.98844317723
2020-03-02,27.46,27.29,26.71,27.09,34504,29052855,27.137499999999996,788421852.5624999,22850.158026967885
2020-03-03,29.61,28.68,27.46,27.8,68508,36408656,28.387500000000003,1033550722.2,15086.569775792608
2020-03-04,29.17,29.13,28.285,29.03,23131,15542466,28.90375,449235551.6475,19421.36317701353
2020-03-05,29.84,29.82,28.965,29.47,23776,19792856,29.52375,584359332.33,24577.69735573688
2020-03-06,29.96,29.41,28.46,29.91,33007,24088414,29.435000000000002,709042466.09,21481.57863756173
2020-03-09,28.71,27.31,27.26,28.38,35147,35840877,27.915000000000003,1000498081.455,28466.101842404758
2020-03-10,28.02,27.49,26.5,27.74,33560,23894184,27.437499999999996,655596673.4999999,19535.06178486293
2020-03-11,27.25,25.17,25.04,27.05,38406,48074063,26.1275,1256055081.0325,32704.657632466282
2020-03-12,24.89,22.31,22.0,22.9,56216,44066764,23.025,1014637241.0999999,18048.904957663297
2020-03-13,23.38,19.0,16.5,23.29,64200,79172490,20.5425,1626400875.825,25333.34697546729
2020-03-16,22.95,22.49,16.18,16.75,79579,94707350,19.5925,1855553754.875,23317.128323741188
2020-03-17,25.5,25.5,22.11,22.11,65032,52934256,23.805,1260099964.08,19376.614037396972
2020-03-18,25.04,19.68,19.68,24.19,81895,95180676,22.1475,2108014021.71,25740.448399902314
2020-03-19,24.98,21.27,19.3,20.57,79184,35415646,21.529999999999998,762498858.3799999,9629.456182814709
2020-03-20,22.85,20.55,20.34,22.85,54331,16477295,21.6475,356692243.5125,6565.169857217795
2020-03-23,23.29,21.93,21.145,21.63,68074,30277074,21.99875,666057781.6575,9784.319735251345
2020-03-24,26.07,25.15,23.8,24.75,80804,38812090,24.942500000000003,968070554.825,11980.478130104946
2020-03-25,26.96,26.31,24.55,25.39,72796,27885043,25.802500000000002,719503822.0075,9883.837326329744
2020-03-26,27.21,25.85,25.22,26.69,38441,12038776,26.2425,315927579.18,8218.505740745559
2020-03-27,25.65,24.37,23.73,25.15,57987,24157707,24.725,597299305.575,10300.57263826375
2020-03-30,25.32,23.93,23.15,24.39,44010,20363323,24.197499999999998,492741508.29249996,11196.126068904794
2020-03-31,24.42,23.04,23.03,23.6,33784,12708490,23.5225,298935456.02500004,8848.432868369644
2020-04-01,24.26,24.03,23.0,23.0,24966,8969522,23.5725,211434057.34500003,8468.879970559963
2020-04-02,25.72,25.04,24.37,24.59,32571,12452425,24.93,310438955.25,9531.145965736392
2020-04-03,25.86,24.95,24.74,25.16,28066,6596164,25.1775,166074919.10999998,5917.299191548493
2020-04-06,26.695,26.34,25.54,26.01,36503,21237694,26.146250000000002,555286056.7475001,15212.066316398654
2020-04-07,26.75,26.09,25.79,26.61,24043,9482042,26.310000000000002,249472525.02,10376.09803352327
2020-04-08,26.53,26.2,25.835,26.17,14554,4289201,26.18375,112307366.68375,7716.597958207366
2020-04-09,28.96,28.95,27.09,27.22,49491,19938546,28.055,559375908.03,11302.578408801599
2020-04-13,31.06,30.78,27.91,28.66,44271,16903100,29.6025,500374017.75,11302.523497323304
2020-04-14,32.27,30.75,30.025,31.13,50985,14656887,31.043750000000003,455004735.80625004,8924.286276478377
2020-04-15,30.85,30.15,29.37,29.66,25400,9850434,30.0075,295586898.255,11637.279458858267
2020-04-16,31.12,30.92,30.05,30.43,24759,9295105,30.63,284709066.15,11499.215079365078
2020-04-17,30.42,29.94,29.67,29.76,23622,8788366,29.9475,263189590.78500003,11141.71495999492
2020-04-20,31.125,30.74,29.98,29.98,22904,6663069,30.45625,202932095.23125002,8860.115928713327
2020-04-21,30.86,30.56,29.55,29.7,24484,5573272,30.1675,168131683.06,6867.002248815553
2020-04-22,32.64,32.51,31.505,31.53,33645,11695438,32.04625,374794930.0075,11139.691782062713
2020-04-23,34.74,33.42,33.02,33.21,54012,13720382,33.5975,460970534.24499995,8534.594798285565
2020-04-24,34.3,33.93,32.96,34.0,30331,7571264,33.7975,255889795.04,8436.576276416867
2020-04-27,34.2,33.79,32.93,33.95,22045,5823419,33.7175,196351130.1325,8906.8328479247
