Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,average,abs_trade_size,avg_trade_size
2020-01-02,144.21,143.95,143.41,143.86,5651,1477804,143.85750000000002,212593188.93000004,37620.45459741639
2020-01-03,146.32,145.86,145.4,145.75,8664,2370814,145.8325,345741732.65500003,39905.555477262234
2020-01-06,148.47,147.39,146.95,148.44,10992,3053565,147.8125,451355076.5625,41062.143064274016
2020-01-07,148.13,147.97,147.43,147.55,7012,1751487,147.77,258817233.99,36910.61522960639
2020-01-08,148.61,146.86,146.14,148.5,19048,4658525,147.5275,687260546.9375,36080.457105076646
2020-01-09,146.41,146.03,145.45,146.07,9347,2326626,145.99,339664129.74,36339.37410292072
2020-01-10,146.98,146.91,146.17,146.22,5011,1520299,146.57,222830224.42999998,44468.214813410494
2020-01-13,146.38,145.82,145.79,146.33,6522,2567109,146.07999999999998,375003282.71999997,57498.203422263105
2020-01-14,145.81,145.69,145.09,145.4,5301,1524115,145.4975,221754922.2125,41832.65840643275
2020-01-15,146.73,146.54,145.83,146.21,6111,1738948,146.3275,254455913.46999997,41638.997458681064
2020-01-16,146.46,146.31,145.77,146.27,4499,1559164,146.2025,227953674.70999998,50667.631631473654
2020-01-17,146.98,146.58,146.31,146.51,6666,2220723,146.595,325546888.185,48836.916919441945
2020-01-21,146.86,146.74,145.58,145.77,5081,1440750,146.2375,210691678.12500003,41466.577076362926
2020-01-22,146.81,146.79,146.39,146.69,3439,1040896,146.67,152668216.32,44393.20044198895
2020-01-23,147.62,147.12,146.62,147.0,5740,1881977,147.09,276819996.93,48226.48030139373
2020-01-24,148.37,147.98,146.9,146.9,7480,1734606,147.5375,255919432.725,34213.827904411766
2020-01-27,149.31,148.99,148.46,149.24,7896,3149591,149.0,469289059.0,59433.77140324215
2020-01-28,148.55,147.66,147.54,148.37,6105,2020951,148.03,299161376.53000003,49002.68247829648
2020-01-29,148.56,148.46,147.62,147.7,5152,1381120,148.085,204523155.20000002,39697.81739130435
2020-01-30,149.3,148.47,148.05,148.69,9653,2389686,148.6275,355173055.965,36794.059459753444
2020-01-31,149.68,149.33,148.82,148.88,10022,2591184,149.1775,386546351.16,38569.78159648773
2020-02-03,148.78,148.36,147.7,148.67,7294,2019679,148.3775,299674920.8225,41085.1276148204
2020-02-04,147.03,146.43,145.81,146.97,8532,2415509,146.56,354016999.04,41492.85033286451
2020-02-05,146.81,146.61,146.17,146.38,4708,1316524,146.4925,192860892.07000002,40964.505537383186
2020-02-06,147.62,147.4,147.01,147.27,3957,998478,147.325,147100771.35,37174.822175890826
2020-02-07,148.18,147.79,147.34,147.83,4884,1430945,147.785,211472206.825,43298.97764639639
2020-02-10,148.44,148.17,147.91,148.2,3892,1738063,148.17999999999998,257546175.33999997,66173.22079650564
2020-02-11,148.16,147.66,147.02,148.03,5244,1329415,147.7175,196377860.2625,37448.10455043859
2020-02-12,147.81,147.54,147.16,147.42,4107,1271390,147.4825,187507775.67499998,45655.65514365717
2020-02-13,148.58,148.38,147.96,148.24,3629,1025419,148.29000000000002,152059383.51000002,41901.180355469834
2020-02-14,149.12,149.0,148.63,148.74,3818,1181089,148.8725,175831672.1525,46053.345246856996
2020-02-18,151.089,150.91,149.47,149.88,7122,2294986,150.33724999999998,345021884.02849996,48444.52176755125
2020-02-19,151.82,151.79,150.82,151.0,5616,1904528,151.3575,288264596.76,51329.16608974359
2020-02-20,152.82,152.41,151.96,152.0,6996,1685766,152.29749999999999,256737947.38499996,36697.81980917667
2020-02-21,155.22,154.7,154.19,154.43,12614,2717220,154.635,420177314.7,33310.39437926114
2020-02-24,158.53,156.09,155.37,158.5,21943,5552552,157.1225,872430851.62,39758.959650913734
2020-02-25,156.08,153.3,152.91,155.12,25419,7480840,154.35250000000002,1154686356.1000001,45426.11259687636
2020-02-26,155.27,153.97,152.92,153.82,17496,4836102,153.995,744735527.49,42566.04523834019
2020-02-27,156.27,154.0,153.9,155.58,25042,6173957,154.9375,956577462.6875,38198.92431465138
2020-02-28,152.77,148.38,147.07,152.74,38105,8056131,150.24,1210353121.44,31763.63000761055
2020-03-02,150.73,149.2,149.04,150.0,16983,4114997,149.7425,616189938.2725,36282.7497069128
2020-03-03,155.24,153.89,150.74,150.78,30288,6019368,152.6625,918931767.3,30339.79686014263
2020-03-04,154.96,154.16,153.7,154.4,11661,2767783,154.305,427082755.815,36624.88258425521
2020-03-05,157.62,157.49,155.74,156.06,13163,3170309,156.72750000000002,496874603.7975001,37747.8237330016
2020-03-06,159.25,157.55,154.54,158.41,27167,5657967,157.4375,890776179.5625,32788.90490530791
2020-03-09,159.37,157.81,156.35,158.6,30614,6205684,158.03250000000003,980699756.7300001,32034.355416802773
2020-03-10,156.41,154.48,154.39,156.18,17854,4543786,155.365,705945311.89,39539.89648762182
2020-03-11,156.5,153.93,153.62,156.25,21060,4722314,155.075,732312843.55,34772.68962725546
2020-03-12,151.53,147.79,146.85,151.52,32431,6392464,149.42249999999999,955177952.04,29452.621011994695
2020-03-13,149.6,143.28,141.58,149.4,30923,6868162,145.965,1002511266.33,32419.599208679625
2020-03-16,142.96,141.64,136.12,137.47,14601,4199242,139.5475,585993722.995,40133.80747859736
2020-03-17,146.2,143.56,139.94,140.18,23827,4460234,142.47,635449537.98,26669.305325051413
2020-03-18,142.83,140.7,138.51,141.75,27029,4316956,140.9475,608464155.81,22511.5304232491
2020-03-19,140.49,138.04,137.865,139.0,25249,4727215,138.84875,656367893.7312499,25995.79760510317
2020-03-20,141.17,140.11,139.15,140.71,16315,2997808,140.285,420547495.28,25776.7389077536
2020-03-23,146.93,146.3,142.29,142.75,22759,4188765,144.5675,605559284.1374999,26607.464481633637
2020-03-24,155.66,153.4,152.05,153.35,34725,4953417,153.615,760919152.455,21912.718573218142
2020-03-25,152.84,151.3,151.02,152.5,20959,3436922,151.91500000000002,522120005.63000005,24911.49413760199
2020-03-26,154.74,153.24,152.08,153.4,14074,2000262,153.365,306770181.63,21796.943415517977
2020-03-27,153.52,152.25,152.0,153.0,11842,2023040,152.6925,308903035.2,26085.377064685017
2020-03-30,153.01,152.92,151.58,152.3,10463,2086749,152.4525,318130101.92249995,30405.24724481506
2020-03-31,151.78,148.05,148.0,151.36,11901,2053356,149.7975,307587595.41,25845.52520040333
2020-04-01,150.07,149.45,147.85,148.2,8709,1414709,148.89249999999998,210639559.78249997,24186.42321535193
2020-04-02,152.49,151.9,150.74,151.2,11942,1498951,151.5825,227214739.9575,19026.523191885783
2020-04-03,153.07,152.65,151.68,152.23,9257,1247566,152.4075,190138415.145,20539.960586042995
2020-04-06,157.22,156.88,153.97,154.18,15869,2203256,155.5625,342744011.5,21598.337103787257
2020-04-07,156.135,156.04,154.4,155.22,13259,1822380,155.44875,283286693.025,21365.61528207255
2020-04-08,155.93,154.65,154.59,155.91,11754,1457180,155.27,226256338.60000002,19249.30564914072
2020-04-09,159.08,158.69,157.21,158.08,24328,3323310,158.265,525963657.15,21619.683375123313
2020-04-13,162.36,161.41,158.63,159.17,22579,3504095,160.39249999999998,562030557.2874999,24891.738220802512
2020-04-14,164.41,162.68,161.78,162.85,25666,3106640,162.93,506164855.20000005,19721.220883659316
2020-04-15,162.52,161.85,160.82,161.8,13548,2258385,161.7475,365288127.7875,26962.513122785655
2020-04-16,163.135,161.71,160.65,161.88,15497,1682338,161.84375,272275890.6875,17569.587061205395
2020-04-17,160.07,158.57,158.14,159.64,17766,2367339,159.105,376655471.59499997,21200.915883991893
2020-04-20,160.22,159.7,158.46,158.63,11274,1799769,159.2525,286617712.6725,25422.894507051624
2020-04-21,159.21,158.61,157.04,157.6,13682,1918569,158.115,303354537.435,22171.797795278468
2020-04-22,161.74,161.73,160.43,160.5,15405,2152335,161.1,346741168.5,22508.352385589096
2020-04-23,163.6,163.34,161.85,162.33,18594,2533245,162.78,412361621.1,22177.133543078413
2020-04-24,163.28,162.64,160.9,163.13,13597,1988169,162.48749999999998,323052610.3875,23759.109390858277
2020-04-27,162.0,161.56,160.41,161.88,10089,1564792,161.46249999999998,252655228.29999995,25042.643304589154
2020-04-28,160.98,160.84,159.16,160.89,11292,1635978,160.4675,262521299.715,23248.43249335813
2020-04-29,161.84,161.73,159.765,160.1,11776,1669500,160.85875,268553683.125,22805.170102326767
2020-04-30,160.8,158.8,158.13,160.22,20496,3409366,159.4875,543751259.9250001,26529.62821648127
2020-05-01,160.39,159.78,157.8,158.0,15472,2156200,158.9925,342819628.5,22157.421697259564
2020-05-04,160.95,160.34,159.92,160.33,8778,1301805,160.385,208789994.92499998,23785.599786397812
2020-05-05,161.1,161.02,159.35,160.16,9315,1241823,160.4075,199197722.8725,21384.618665861515
2020-05-06,159.8,158.95,158.11,158.99,14105,2302472,158.9625,366006705.3,25948.7206876994
2020-05-07,161.96,161.39,159.37,159.5,17111,2523735,160.555,405198272.925,23680.57231751505
2020-05-08,161.97,160.42,160.0,161.0,13254,1927904,160.8475,310098538.64,23396.600169005582
2020-05-11,160.71,159.42,159.07,160.34,10160,1523320,159.885,243556018.2,23972.04903543307
2020-05-12,160.95,160.04,159.735,160.32,10666,2063503,160.26125,330699570.15875,31005.02251629008
2020-05-13,161.62,161.58,160.54,161.0,12891,2063371,161.185,332584454.635,25799.740488325187
2020-05-14,163.34,163.01,161.53,161.53,21996,3189630,162.3525,517844404.575,23542.662510229133
2020-05-15,164.76,163.93,163.09,164.0,18136,2465441,163.945,404196724.745,22286.983058281872
2020-05-18,164.49,162.69,162.43,164.33,20472,2955737,163.485,483218663.44500005,23603.881567262604
2020-05-19,164.43,164.26,163.05,163.6,10658,1611367,163.83499999999998,263998312.44499996,24769.967390223304
2020-05-20,164.95,164.65,163.89,164.43,12047,1994910,164.48,328122796.79999995,27236.888586370045
2020-05-21,163.57,162.25,161.37,163.46,15816,2388968,162.6625,388595507.3,24569.771579413253
2020-05-22,163.47,163.21,162.74,162.85,9990,1451936,163.0675,236763573.68,23700.057425425428
2020-05-26,162.58,160.89,160.69,162.52,16437,2858053,161.67000000000002,462061428.51000005,28111.056063150212
2020-05-27,161.33,161.18,159.2,159.42,14424,2398493,160.2825,384436454.2725,26652.555066035773
2020-05-28,162.45,161.72,160.9,162.17,9963,1824677,161.81,295250985.37,29634.747101274716
2020-05-29,163.4,162.91,162.33,162.66,10900,1752335,162.825,285323946.375,26176.508841743118
2020-06-01,163.73,163.66,162.39,163.01,9746,1537397,163.1975,250899346.9075,25743.827919915864
2020-06-02,164.07,162.6,161.86,163.89,11626,1867179,163.105,304546230.79499996,26195.27187295716
2020-06-03,160.9,159.6,158.83,160.34,20696,2957204,159.91750000000002,472908670.6700001,22850.24500724778
2020-06-04,161.87,161.28,159.84,161.09,10597,1776539,161.02,286058309.78000003,26994.27288666604
2020-06-05,158.72,158.01,157.05,158.72,21173,4217406,158.125,666877323.75,31496.591118405515
2020-06-08,159.85,159.72,158.47,158.9,9125,1683585,159.235,268085657.47500002,29379.250134246577
2020-06-09,161.77,161.26,160.88,161.1,9929,1888907,161.2525,304590976.0175,30676.903617433778
2020-06-10,163.63,163.57,160.53,162.1,15506,2403419,162.45749999999998,390453442.19249994,25180.797252192697
2020-06-11,164.06,162.39,161.98,163.35,14379,2118389,162.945,345180895.60499996,24005.904138326725
2020-06-12,163.88,162.62,162.57,163.44,10188,1465127,163.1275,239002504.6925,23459.217186150374
2020-06-15,162.55,162.33,160.17,160.52,10493,1806850,161.3925,291612038.625,27791.102508815402
2020-06-16,162.68,162.25,161.36,161.85,10960,1467046,162.035,237712798.60999998,21689.12396076642
2020-06-17,162.615,162.56,161.77,162.0,6261,1067456,162.23624999999998,173180058.48,27660.127532343075
2020-06-18,162.32,162.24,161.44,162.21,7556,1389195,162.0525,225122522.7375,29793.875428467443
2020-06-19,164.08,164.03,162.78,162.87,15604,2286324,163.44,373676794.56,23947.500292232762
2020-06-22,165.72,165.09,164.43,165.06,15413,2226289,165.075,367504656.67499995,23843.810852851486
2020-06-23,166.52,166.48,165.53,165.68,14348,2220956,166.0525,368795296.19,25703.60302411486
2020-06-24,166.99,165.9,165.46,166.0,17683,2394449,166.0875,397688048.2875,22489.85173825143
2020-06-25,165.91,165.8,165.17,165.89,8036,1115841,165.6925,184886484.89249998,23007.277861187154
2020-06-26,166.56,166.54,164.23,164.9,14241,1871950,165.5575,309915362.125,21762.19100660066
2020-06-29,166.79,166.63,166.19,166.56,8407,1339983,166.54250000000002,223164118.77750003,26545.036133876536
2020-06-30,167.99,167.37,166.19,166.31,13708,2038896,166.965,340424270.64,24833.985310767435
2020-07-01,167.06,166.62,165.35,167.0,18688,2233332,166.5075,371866527.99,19898.679793985444
2020-07-02,167.24,166.98,166.02,166.2,11189,1837593,166.61,306161369.73,27362.71067387613
2020-07-06,168.0,167.98,167.2,167.75,9201,1765902,167.7325,296199157.215,32192.061429735895
2020-07-07,169.04,169.04,167.38,167.41,15286,2573421,168.2175,432894447.0675,28319.66813211435
2020-07-08,170.85,170.09,169.79,170.3,14977,2117740,170.2575,360561118.05,24074.321830139546
2020-07-09,170.63,169.63,168.78,170.48,17743,2630487,169.88,446867131.56,25185.54537338669
2020-07-10,170.14,169.19,168.58,169.95,14145,1797863,169.46499999999997,304674853.29499996,21539.40284870979
2020-07-13,170.42,169.4,169.16,170.35,15398,2448555,169.83249999999998,415844217.03749996,27006.378558091958
2020-07-14,170.195,170.19,168.84,168.97,13974,2497839,169.54874999999998,423505480.15124995,30306.67526486689
2020-07-15,170.43,170.34,169.39,169.66,12172,1828673,169.955,310792119.71500003,25533.365076815644
2020-07-16,169.99,168.73,168.65,169.8,17342,2361395,169.29250000000002,399766463.0375,23051.923828710645
2020-07-17,170.265,170.12,169.61,169.94,11614,1621260,169.98375,275587854.525,23728.93529576373
2020-07-20,171.07,170.94,170.27,170.76,12204,2145569,170.76,366377362.44,30021.088367748278
2020-07-21,173.25,173.0,172.31,172.46,15744,2512690,172.755,434079760.95,27571.123027820122
2020-07-22,175.76,175.63,173.76,174.05,22362,3311365,174.79999999999998,578826602.0,25884.384312673286
2020-07-23,178.405,177.18,175.65,176.17,28345,4576805,176.85125,809413685.25625,28555.783568751103
2020-07-24,179.14,178.7,178.27,179.12,18664,3131411,178.8075,559919772.3825,29999.98780446314
2020-07-27,182.83,182.23,181.54,181.85,28600,4006032,182.1125,729548502.6,25508.688902097903
2020-07-28,184.259,183.75,181.44,182.02,27673,4452751,182.86725,814262330.3047501,29424.43285168757
2020-07-29,186.14,185.13,182.39,184.05,34509,4947327,184.42749999999998,912423150.2924999,26440.150404025033
2020-07-30,184.32,183.76,182.13,183.45,21251,3278399,183.415,601307552.5849999,28295.494451319933
2020-07-31,185.75,185.43,184.17,184.51,19228,3333021,184.96499999999997,616492229.2649999,32062.212880434774
2020-08-03,185.81,185.64,184.2,185.06,15051,2381874,185.17749999999998,441069472.63499993,29304.994527606133
2020-08-04,189.59,189.59,185.21,185.56,22824,3743366,187.4875,701834332.9250001,30749.83933250088
2020-08-05,193.13,191.35,190.62,191.79,33043,5857349,191.7225,1122985593.6525,33985.58223080531
2020-08-06,194.44,193.89,192.53,193.68,23243,3929806,193.635,760947984.81,32738.802426967257
2020-08-07,192.95,190.81,189.33,192.79,29376,5099760,191.47000000000003,976451047.2000002,33239.75514705883
2020-08-10,192.6,190.15,189.685,191.2,20456,3396067,190.90874999999997,648338905.8862499,31694.314914267205
2020-08-11,183.98,179.94,179.43,183.54,59379,9487204,181.72250000000003,1724038428.8900003,29034.480689974574
2020-08-12,183.09,179.1,179.06,182.61,31526,6614797,180.965,1197046739.105,37970.143345334014
2020-08-13,184.69,183.33,181.36,181.6,23907,3865515,182.745,706403538.6750001,29547.979197515375
2020-08-14,183.72,182.54,181.49,183.43,13448,2129936,182.795,389341651.11999995,28951.639732302196
2020-08-17,187.0,186.5,184.68,184.68,19836,3033987,185.715,563456895.705,28405.77211660617
2020-08-18,189.4,188.18,185.64,189.13,25409,3175572,188.08749999999998,597285398.55,23506.843974575935
2020-08-19,187.46,182.24,181.72,187.26,37785,4910723,184.67000000000002,906863216.4100001,24000.614434563984
2020-08-20,183.7,183.5,180.93,181.23,20434,3090004,182.33999999999997,563431329.3599999,27573.227432710184
2020-08-21,182.81,182.03,180.48,182.16,17247,2698020,181.87,490688897.40000004,28450.68112715255
2020-08-24,182.92,181.0,180.69,182.85,16897,2610696,181.865,474794228.04,28099.32106527786
