Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,average,abs_trade_size,avg_trade_size
2020-01-02,1.6175,1.5775,1.5175,1.535,1984,3681632,1.561875,5750248.9799999995,2898.3109778225803
2020-01-03,1.5525,1.47,1.46,1.5525,2119,2990612,1.5087499999999998,4512085.8549999995,2129.3467932987255
2020-01-06,1.4775,1.4625,1.4,1.45,2066,2799800,1.4475000000000002,4052710.5000000005,1961.621732817038
2020-01-07,1.455,1.38,1.36125,1.4425,2205,3721020,1.4096875,5245475.38125,2378.900399659864
2020-01-08,1.46125,1.43,1.35375,1.3725,1937,3175628,1.404375,4459772.5725,2302.412272844605
2020-01-09,1.4525,1.3875,1.37,1.4525,1383,2402004,1.4156250000000001,3400336.9125,2458.667326464208
2020-01-10,1.3975,1.3575,1.3475,1.39,1142,2631176,1.373125,3612933.545,3163.689619089317
2020-01-13,1.40125,1.3575,1.3325,1.3575,1654,2733292,1.3621875,3723256.1962500005,2251.061787333737
2020-01-14,1.25,1.1775,1.135,1.19,3365,7224692,1.188125,8583837.182500001,2550.917439078752
2020-01-15,1.18,1.1525,1.1375,1.165,1237,3708728,1.15875,4297488.569999999,3474.121721907841
2020-01-16,1.175,1.155,1.13125,1.1525,1333,3480884,1.1534375000000001,4014982.1387500004,3011.989601462866
2020-01-17,1.1875,1.1875,1.13,1.145,1616,3157280,1.1625,3670338.0000000005,2271.248762376238
2020-01-21,1.1875,1.1475,1.13975,1.1875,1613,3436272,1.1655625,4005189.7830000003,2483.06868133912
2020-01-22,1.15875,1.14,1.115,1.1375,1069,2078608,1.1378125,2365066.1649999996,2212.409883068288
2020-01-23,1.15875,1.155,1.115,1.1375,1052,2216360,1.1415625,2530113.4625,2405.05081986692
2020-01-24,1.16,1.08,1.065,1.16,1698,2939368,1.11625,3281069.53,1932.3142108362779
2020-01-27,1.0875,1.07,1.04,1.05,1229,2014700,1.0618750000000001,2139359.5625000005,1740.7319467046384
2020-01-28,1.075,1.0525,1.04525,1.075,872,1941244,1.0619375,2061479.8002499999,2364.0823397362383
2020-01-29,1.0775,1.0325,1.0325,1.055,1135,1707848,1.049375,1792172.9949999999,1579.0070440528634
2020-01-30,1.03,0.9825,0.97125,1.025,1290,2306772,1.0021875,2311818.06375,1792.1070261627908
2020-01-31,0.985,0.96,0.96,0.9775,1226,2911260,0.970625,2825741.7375,2304.846441680261
2020-02-03,0.9925,0.9875,0.9625,0.97,1168,2727456,0.9781249999999999,2667792.9,2284.06926369863
2020-02-04,1.06125,1.0175,0.995,1.0075,2081,3942460,1.0203125000000002,4022541.218750001,1932.9847278952432
2020-02-05,1.10125,1.045,1.0375,1.0375,1742,2920112,1.0553124999999999,3081630.695,1769.0187686567162
2020-02-06,1.07375,1.035,1.035,1.05,962,1434196,1.0484375000000001,1503664.8687500001,1563.0611941268194
2020-02-07,1.0275,0.9525,0.9425,1.0275,1216,2266172,0.9875,2237844.85,1840.3329358552633
2020-02-10,1.02375,0.985,0.935,0.9625,1439,2228408,0.9765625,2176179.6875,1512.2860927727588
2020-02-11,1.06,1.005,0.98875,0.995,1655,4334788,1.0121875,4387618.22875,2651.128839123867
2020-02-12,1.12625,1.0475,1.0175,1.0325,2421,3726804,1.0559375,3935272.09875,1625.4738119578685
2020-02-13,1.0625,1.0275,1.02,1.03,1046,2236832,1.0350000000000001,2315121.12,2213.3089101338433
2020-02-14,1.0475,1.005,1.005,1.0275,1018,1544024,1.02125,1576834.51,1548.9533497053046
2020-02-18,1.01875,1.015,0.99125,1.0025,913,1582796,1.006875,1593677.7225,1745.53967415115
2020-02-19,1.0675,1.0375,0.98,1.015,1526,2139356,1.025,2192839.9,1436.9855176933158
2020-02-20,1.07375,1.035,1.0275,1.04,1214,1258812,1.0440625000000001,1314278.40375,1082.60165053542
2020-02-21,1.0425,1.01,0.9975,1.03,1045,2009944,1.02,2050142.8800000001,1961.8592153110048
2020-02-24,0.98125,0.925,0.925,0.975,1623,3273612,0.9515624999999999,3115046.4187499997,1919.3138747689463
2020-02-25,0.9475,0.89,0.8875,0.9425,2249,4142176,0.916875,3797857.62,1688.6872476656292
2020-02-26,0.905,0.8475,0.84,0.895,1489,3415336,0.8718750000000001,2977746.075,1999.8294660846207
2020-02-27,0.905,0.8675,0.7975,0.8075,1968,3570912,0.844375,3015188.82,1532.1081402439024
2020-02-28,0.9275,0.9,0.875,0.88,2099,4299156,0.895625,3850431.5925,1834.4123832777511
2020-03-02,0.9625,0.9575,0.85,0.9,1545,2084856,0.9175,1912855.38,1238.0940970873785
2020-03-03,0.9725,0.9075,0.8775,0.97,2687,3574096,0.931875,3330610.71,1239.5276181615184
2020-03-04,0.95,0.9425,0.8675,0.9275,1603,2796568,0.921875,2578086.125,1608.2882875857767
2020-03-05,0.9975,0.99,0.9,0.925,1552,2658816,0.953125,2534184.0,1632.8505154639174
2020-03-06,1.0175,0.98,0.94,0.945,1321,1755572,0.970625,1704002.0725,1289.9334386828161
2020-03-09,0.99025,0.925,0.875,0.8875,2086,2779128,0.9194374999999999,2555234.5004999996,1224.9446311121762
2020-03-10,1.065,1.0575,0.95,0.985,2046,3559768,1.014375,3610939.665,1764.877646627566
2020-03-11,1.0625,1.035,1.0025,1.035,2040,3412916,1.03375,3528101.915,1729.4617230392157
2020-03-12,1.01,0.995,0.87,0.875,2427,4125424,0.9375,3867585.0,1593.566131025958
2020-03-13,1.1625,1.1475,0.9625,1.0325,3193,4789676,1.07625,5154888.795,1614.4343235202005
2020-03-16,1.14,1.0925,0.98,0.9825,4305,6723556,1.04875,7051329.355,1637.9394552845529
2020-03-17,1.1625,1.0575,1.0275,1.1,2990,4096424,1.086875,4452300.835,1489.0638244147158
2020-03-18,1.0625,0.9425,0.875,1.025,3567,4213324,0.97625,4113257.5549999997,1153.1420114942528
2020-03-19,1.05,1.0475,0.8875,0.9275,2553,3524548,0.9781250000000001,3447448.5125000007,1350.351943791618
2020-03-20,1.02,0.94,0.9125,1.02,2988,13359336,0.973125,13000303.845,4350.83796686747
2020-03-23,0.96375,0.9525,0.875,0.895,2660,3753492,0.9215625000000001,3459077.4712500004,1300.4050643796993
