Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,average,abs_trade_size,avg_trade_size
2021-07-29,40.25,34.82,33.35,38.0,736578,102474737,36.605,3751087747.8849998,5092.587272339114
2021-07-30,36.9795,35.15,33.25,34.93,310979,40632228,35.077375,1425271898.6415002,4583.177316286631
2021-08-02,37.98,37.68,35.3,35.97,163505,19948534,36.732499999999995,732759525.1549999,4481.572582826212
2021-08-03,48.59,46.8,37.1594,37.911,610900,93819198,42.6151,3998114504.6898,6544.6300616955305
2021-08-04,85.0,70.39,54.4,54.45,1523753,175790537,66.06,11612722874.220001,7621.132082575064
2021-08-05,66.5,50.97,50.46,62.9,764294,82470402,57.7075,4759160723.415,6226.871758008044
2021-08-06,60.88,55.01,53.1,57.77,579911,70131720,56.69,3975767206.7999997,6855.823060435136
2021-08-09,59.96,56.83,56.0,59.0835,258252,27495240,57.968374999999995,1593854383.0349998,6171.701992762883
2021-08-10,58.49,53.94,53.5,56.4852,172592,17066352,55.6038,948954023.3376,5498.250343802725
2021-08-11,54.6058,51.19,49.0,54.5683,179426,15893137,52.341025,831863081.045425,4636.246034830097
2021-08-12,50.39,48.1,47.52,50.125,156296,13426242,49.03375,658338993.6675,4212.1295085446845
2021-08-13,53.2,50.63,48.22,48.45,214666,25659808,50.125,1286197876.0,5991.62361994913
2021-08-16,49.79,47.19,47.0,49.4,132978,12052503,48.345,582678257.535,4381.764333461174
2021-08-17,48.85,46.67,46.01,47.3,88912,9160299,47.207499999999996,432434815.04249996,4863.627126175319
2021-08-18,52.06,49.8,47.2,47.9651,191639,24407995,49.256275,1202246913.918625,6273.498160179426
2021-08-19,46.88,44.69,44.135,45.06,204356,18517574,45.19125,836832316.0274999,4094.9730667438193
2021-08-20,45.56,42.64,42.44,45.2,132716,11764299,43.959999999999994,517158584.0399999,3896.731245968835
2021-08-23,46.85,45.29,43.32,44.16,135277,15664716,44.904999999999994,703424071.9799999,5199.879299363527
2021-08-24,50.24,49.38,46.0,46.46,135026,17122747,48.019999999999996,822234310.9399999,6089.451742182987
2021-08-25,50.99,48.98,47.5,48.425,96583,10837516,48.973749999999995,530753799.2049999,5495.312831502438
2021-08-26,49.8499,46.86,46.4,48.0,64036,7187728,47.777474999999995,343411494.8268,5362.7880383971515
2021-08-27,48.1,46.87,46.14,46.7986,57942,6058053,46.97715,284590064.48895,4911.636886696179
2021-08-30,46.6,43.64,42.56,46.3,129755,12363840,44.775000000000006,553590936.0000001,4266.432399522178
2021-08-31,44.5,44.32,41.51,42.03,94629,8847512,43.089999999999996,381239292.08,4028.7786205074553
2021-09-01,47.12,44.57,43.7,43.76,94630,11012953,44.787499999999994,493242632.48749995,5212.328357682552
2021-09-02,45.7999,44.49,44.2,45.202,45354,4099172,44.92297500000001,184147001.27670002,4060.2152241632493
2021-09-03,44.88,43.35,43.15,44.6928,57379,4676645,44.0182,205857494.939,3587.680073528643
2021-09-07,43.39,42.13,41.75,43.33,77056,6179176,42.65,263541856.4,3420.1341414036547
2021-09-08,42.21,40.05,39.81,42.0,92986,7834862,41.0175,321366452.085,3456.0735173574512
2021-09-09,42.54,41.28,40.3813,40.5,58395,6981918,41.175325,287482742.77335,4923.071200845106
2021-09-10,42.52,41.17,40.72,41.5,48937,5521802,41.477500000000006,229030542.45500004,4680.109987432823
2021-09-13,41.3899,40.6,39.8,41.22,53416,4309173,40.752475,175609464.95317498,3287.5817162119024
2021-09-14,41.0,40.02,39.23,41.0,52552,4298047,40.3125,173265019.6875,3297.0204690116457
2021-09-15,41.94,41.87,39.83,40.2,56080,5835873,40.96,239037358.08,4262.435058487875
2021-09-16,42.43,41.95,40.91,41.62,41016,4206706,41.7275,175535324.615,4279.679262117223
2021-09-17,42.9012,42.38,41.9,41.92,44225,5000840,42.2753,211412011.252,4780.373346568683
2021-09-20,41.56,40.7,40.0301,40.62,52097,4437794,40.727525,180740366.07985,3469.304683184252
2021-09-21,42.69,42.29,40.7938,41.04,53698,5984827,41.70345,249587933.55314997,4647.993101291481
2021-09-22,46.94,46.88,42.76,43.0004,123611,14619488,44.8951,656343375.7088,5309.748935845515
2021-09-23,47.84,45.94,44.71,46.285,97968,12129439,46.19375,560304272.80625,5719.258051672485
2021-09-24,46.55,44.91,44.35,44.7,55107,6057991,45.1275,273381988.85249996,4960.930350998965
2021-09-27,45.91,44.76,43.95,44.93,42477,4041686,44.8875,181421180.32500002,4271.045043788404
2021-09-28,45.96,44.62,42.51,43.92,49111,5791895,44.2525,256305833.48749998,5218.908869448799
2021-09-29,45.4625,43.13,43.1,44.17,39274,4597599,43.965624999999996,202136313.53437498,5146.8226698165445
2021-09-30,43.13,42.08,41.41,43.13,37595,3535993,42.4375,150058702.9375,3991.45372888682
2021-10-01,42.78,41.9,41.12,42.3617,28194,2655845,42.040425,111652852.534125,3960.163599848372
2021-10-04,41.8123,40.93,40.25,41.8,34479,2647750,41.198075,109082203.08125001,3163.728735788451
2021-10-05,42.4899,42.01,41.0509,41.074,29475,2813392,41.6562,117195219.83039999,3976.0888831348598
2021-10-06,42.65,42.06,41.7,42.0,26062,2730242,42.102500000000006,114950013.80500002,4410.636704972758
2021-10-07,42.84,41.84,41.68,42.2374,29626,2895418,42.149350000000005,122039986.67830002,4119.354171278607
2021-10-08,42.06,41.78,41.05,41.8,27927,3688931,41.6725,153726977.0975,5504.600461829054
2021-10-11,42.468,42.07,41.01,41.1723,36303,3733178,41.680074999999995,155599139.02835,4286.123434105996
2021-10-12,42.05,40.53,40.5,42.0,40849,3717965,41.269999999999996,153440415.54999998,3756.2832762123917
2021-10-13,40.83,40.52,39.86,40.62,40474,3914428,40.457499999999996,158367970.80999997,3912.832208578346
2021-10-14,41.79,40.93,40.55,40.59,37506,3827495,40.964999999999996,156793332.67499998,4180.486660134378
2021-10-15,41.7,41.03,40.8601,41.641,25262,2579553,41.30777500000001,106555594.92457502,4218.0189583000165
2021-10-18,41.25,40.65,40.31,40.95,41815,4019789,40.79,163967193.31,3921.2529788353463
2021-10-19,41.8,41.7,40.54,40.91,40249,4529214,41.2375,186773462.325,4640.44975837909
2021-10-20,42.44,41.83,41.02,41.8933,37255,4057555,41.79582500000001,169588858.70787504,4552.110017658704
2021-10-21,43.36,41.28,41.21,41.93,47648,5377739,41.945,225569262.355,4734.076191130792
2021-10-22,41.13,39.59,39.59,41.125,62536,5916837,40.35875,238796145.27375,3818.5388460047016
2021-10-25,39.87,39.01,38.15,39.76,94506,8081732,39.1975,316783690.07,3351.9955354157405
2021-10-26,40.25,39.57,39.0,39.61,117502,13250919,39.6075,524835774.2925,4466.611413358922
2021-10-27,36.19,35.44,34.44,35.98,240733,29082790,35.512499999999996,1032802579.8749999,4290.240971844325
2021-10-28,35.52,35.47,33.99,35.21,160698,17441533,35.0475,611282127.8175,3803.9187035152895
2021-10-29,35.85,34.97,34.8,35.65,89436,10687377,35.317499999999995,377451437.19749993,4220.35239945324
2021-11-01,35.215,34.85,34.42,35.2,85123,7946006,34.92125,277484462.02750003,3259.8059517110537
2021-11-02,34.99,34.99,34.34,34.72,59029,5547732,34.760000000000005,192839164.32000002,3266.85467007742
2021-11-03,37.5,37.04,34.6752,34.94,134257,15342781,36.038799999999995,552935415.9028,4118.484815710168
2021-11-04,37.95,37.07,36.5,37.03,61212,6474368,37.1375,240441841.60000002,3928.0180618179447
2021-11-05,37.41,37.01,36.65,37.0,53289,4744776,37.0175,175639745.57999998,3295.9850171705225
2021-11-08,38.17,37.98,36.52,37.06,68955,7149237,37.4325,267613814.00249997,3880.9921543397863
2021-11-09,37.199,36.7,36.45,36.76,68489,7130040,36.77725,262223263.59,3828.6916671290282
2021-11-10,36.11,34.49,33.7501,35.9,150680,14707521,35.062525,515682822.750525,3422.370737659444
2021-11-11,34.84,34.17,34.04,34.82,59526,6037956,34.4675,208113248.43,3496.173914423949
2021-11-12,35.9,35.21,34.59,34.645,78297,8727757,35.08625,306224264.04125,3911.0599900538973
2021-11-15,35.61,34.96,34.23,35.5,64017,6219582,35.075,218151838.65,3407.717303997376
2021-11-16,34.44,33.87,32.87,34.37,97151,8929807,33.8875,302608834.71250004,3114.829849538348
2021-11-17,33.98,32.88,32.81,33.8,72579,6763787,33.3675,225690662.7225,3109.586281465713
2021-11-18,32.93,30.53,30.41,32.9,134256,12654119,31.6925,401040666.40749997,2987.134030564742
2021-11-19,30.8,28.99,28.8,30.3,141637,14289543,29.7225,424720941.8175,2998.6581318264293
2021-11-22,29.36,27.84,27.44,29.0,136582,12690388,28.41,360533923.08,2639.688414871652
2021-11-23,28.3001,27.65,26.57,27.6,89581,8654347,27.530025000000002,238254389.26867503,2659.6531548952908
2021-11-24,28.54,27.98,27.51,27.54,58015,5980076,27.892500000000002,166799269.83,2875.105917952254
2021-11-26,29.22,27.92,27.05,27.075,49981,5503000,27.81625,153072823.75,3062.620270702867
2021-11-29,28.29,27.07,25.75,28.095,136482,15203897,27.301249999999996,415085392.97124994,3041.319682971014
2021-11-30,27.56,25.94,25.81,26.6949,124995,22291032,26.501224999999998,590739654.5142,4726.106280364815
2021-12-01,26.39,23.93,23.89,26.35,254080,37653088,25.14,946598632.32,3725.5928539042825
2021-12-02,24.29,24.2,23.34,23.96,110979,14035688,23.9475,336119638.38,3028.6778433757736
2021-12-03,24.06,21.55,21.5,23.92,142791,16825218,22.7575,382899898.635,2681.540843855705
2021-12-06,22.05,21.9,20.58,21.34,98335,12053688,21.4675,258762547.14000002,2631.438929577465
2021-12-07,23.33,22.73,22.02,22.65,77382,11058383,22.6825,250831772.3975,3241.4744048680573
2021-12-08,23.74,23.72,21.76,23.0,100000,15159432,23.055,349500704.76,3495.0070476
2021-12-09,23.48,21.91,21.7,23.27,109736,14155120,22.59,319764160.8,2913.940373259459
2021-12-10,21.81,20.13,19.82,21.78,167503,22116637,20.885,461905963.74500006,2757.598154928569
2021-12-13,20.2,19.7,18.86,19.7,135064,18086872,19.615,354773994.28,2626.7102579517855
2021-12-14,19.56,19.13,18.42,19.155,141607,21065868,19.06625,401647105.755,2836.3506447774475
2021-12-15,19.8,19.5,17.89,19.0,160776,22439347,19.0475,427413461.9825,2658.4406999956464
2021-12-16,19.89,18.14,17.71,19.24,138449,20919960,18.744999999999997,392144650.1999999,2832.4122976691774
2021-12-17,19.37,19.1,17.075,17.88,141203,20788720,18.356250000000003,381602941.50000006,2702.5129883925983
2021-12-20,18.93,18.03,17.59,18.27,93881,13652145,18.205000000000002,248537299.72500002,2647.3652786506323
2021-12-21,19.03,18.93,17.98,18.1048,69539,10885189,18.511200000000002,201497910.61680004,2897.6245073527093
2021-12-22,18.88,18.38,18.04,18.64,83893,16627760,18.485,307364143.59999996,3663.7638849486843
2021-12-23,19.25,18.9,17.89,18.31,78996,13067516,18.5875,242892453.64999998,3074.7437041116004
2021-12-27,18.85,18.44,18.21,18.83,80233,12360220,18.5825,229683788.15,2862.7097098450763
2021-12-28,18.53,17.45,17.4,18.1535,104807,15814896,17.883375,282823715.754,2698.519333193394
2021-12-29,17.67,17.11,16.68,17.45,89421,12534757,17.2275,215942526.2175,2414.897241335928
2021-12-30,18.72,18.2,17.14,17.18,100476,16128456,17.81,287247801.35999995,2858.869793383494
2021-12-31,18.76,17.76,17.72,18.12,72105,10931131,18.09,197744159.79,2742.447261493655
2022-01-03,18.9396,18.44,17.91,18.05,104358,16128983,18.334899999999998,295723290.40669996,2833.738576886295
2022-01-04,18.45,17.4,16.84,18.39,190602,28170145,17.770000000000003,500583476.6500001,2626.3285623970373
2022-01-05,17.5,15.98,15.77,17.3,204126,30878596,16.6375,513742640.95,2516.791790119828
2022-01-06,16.05,15.58,14.8,15.8,236185,50293158,15.557500000000001,782435805.585,3312.809050468912
2022-01-07,16.48,15.89,15.52,15.62,110432,23053667,15.877500000000001,366034597.7925,3314.570032169118
2022-01-10,16.0,15.61,14.75,15.35,139977,22173436,15.4275,342080683.89,2443.8349435264363
2022-01-11,16.82,16.41,15.33,15.525,102270,20145318,16.02125,322753176.0075,3155.8929892197125
