Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,average,abs_trade_size,avg_trade_size
2020-01-02,19.81,19.23,18.88,19.57,10304,1229434,19.3725,23817210.165,2311.4528498641303
2020-01-03,19.36,18.89,18.72,19.02,7709,1750976,18.9975,33264166.56,4314.978150214035
2020-01-06,18.74,18.13,18.01,18.7,11113,1606505,18.395,29551659.474999998,2659.197289210834
2020-01-07,18.32,17.78,17.68,18.15,9737,1461935,17.9825,26289246.137500003,2699.9328476430114
2020-01-08,18.08,17.98,17.76,17.99,7127,1041551,17.9525,18698444.3275,2623.606612529816
2020-01-09,18.55,18.4,17.9,18.0,9791,1531344,18.2125,27889602.599999998,2848.4937800020425
2020-01-10,21.0,19.14,19.05,21.0,26149,4504819,20.0475,90310358.9025,3453.683081666603
2020-01-13,20.36,20.26,18.6,19.26,14525,2207943,19.62,43319841.660000004,2982.4331607573154
2020-01-14,20.4979,20.0,19.55,20.45,11556,1782859,20.124475,35879101.374025,3104.8028187975947
2020-01-15,20.58,20.24,19.94,19.94,12456,2054963,20.174999999999997,41458878.52499999,3328.4263427263963
2020-01-16,21.87,21.01,20.77,21.68,27566,4928102,21.3325,105128735.91499999,3813.7102196546466
2020-01-17,21.5,20.62,20.55,21.5,15190,3348525,21.0425,70461337.3125,4638.666050855826
2020-01-21,21.49,20.94,20.645,20.79,14514,2089578,20.96625,43810614.7425,3018.507285551881
2020-01-22,23.2,21.97,21.7,22.08,47551,10920657,22.2375,242848110.0375,5107.108368646295
2020-01-23,22.65,21.47,21.4,22.17,20916,3663943,21.9225,80322790.4175,3840.2558050057373
2020-01-24,21.8793,21.12,20.9,21.6,15387,2947764,21.374825,63007939.6413,4094.881370072139
2020-01-27,23.12,22.74,21.12,22.1,51501,10294739,22.27,229263837.53,4451.638560998816
2020-01-28,23.5,22.36,21.8501,23.5,28858,5649269,22.802525,128817597.604225,4463.843565189029
2020-01-29,22.34,20.55,20.45,22.23,24938,4675832,21.3925,100027736.05999999,4011.056863421284
2020-01-30,21.74,20.99,20.8,21.05,18168,3061810,21.145,64741972.449999996,3563.5167574856887
2020-01-31,21.32,20.51,20.05,21.14,20099,2833631,20.755000000000003,58812011.40500001,2926.1162945917713
2020-02-03,21.06,20.38,19.7,20.66,20709,3214618,20.45,65738938.099999994,3174.4139311410495
2020-02-04,20.88,20.87,19.75,20.09,12227,1824436,20.3975,37213933.31,3043.586596057905
2020-02-05,21.2,20.05,19.67,20.99,16442,2656824,20.4775,54405113.46,3308.9109268945385
2020-02-06,20.32,19.88,19.7,20.27,13517,1929739,20.0425,38676793.9075,2861.344522268255
2020-02-07,23.39,23.24,19.79,19.79,48819,10144169,21.5525,218632202.37249997,4478.424432546753
2020-02-10,23.95,23.65,22.3832,23.5,48430,9356771,23.370800000000003,218675223.68680003,4515.284404022301
2020-02-11,22.74,21.35,21.28,22.09,33657,6188339,21.865000000000002,135308032.235,4020.2047786493154
2020-02-12,19.67,19.01,18.5,19.64,87668,19231794,19.205000000000002,369346603.77000004,4213.015054181686
2020-02-13,19.8,19.045,18.89,19.36,36692,6837002,19.27375,131774667.2975,3591.373250231658
2020-02-14,19.29,19.0,18.85,19.27,25020,5384464,19.1025,102856723.56,4110.980158273382
2020-02-18,19.35,18.91,18.57,19.14,25954,4129369,18.9925,78427040.7325,3021.7708535293214
2020-02-19,19.24,18.92,18.725,19.09,21069,3148012,18.99375,59792552.925,2837.939765769614
