Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,average,abs_trade_size,avg_trade_size
2020-01-02,144.89,144.31,142.72,142.84,1001,27633,143.69,3970585.77,3966.619150849151
2020-01-03,144.89,143.57,142.8,143.02,1760,58523,143.57,8402147.11,4773.947221590909
2020-01-06,145.46,144.25,143.25,143.25,887,32742,144.0525,4716566.955,5317.437378804961
2020-01-07,145.37,143.87,143.24,144.0,1136,34868,144.12,5025176.16,4423.570563380282
2020-01-08,145.47,143.71,142.075,143.95,1149,39514,143.80124999999998,5682162.592499999,4945.311220626631
2020-01-09,145.32,143.5,142.91,144.45,1484,64249,144.045,9254747.205,6236.352564016172
2020-01-10,145.16,142.39,142.145,144.14,1249,41088,143.45874999999998,5894433.119999999,4719.32195356285
2020-01-13,145.305,144.59,142.52,142.52,1317,48987,143.73375000000001,7041085.211250001,5346.306158883827
2020-01-14,145.68,144.77,144.07,144.69,1093,46832,144.8025,6781390.680000001,6204.383055809699
2020-01-15,147.05,146.27,144.83,144.83,1053,53480,145.745,7794442.600000001,7402.1297245963915
2020-01-16,147.96,146.72,146.08,147.12,1196,35749,146.97000000000003,5254030.530000001,4393.002115384616
2020-01-17,147.47,146.74,146.22,147.47,964,33556,146.975,4931893.1,5116.071680497925
2020-01-21,147.57,145.95,145.13,146.29,1938,53280,146.235,7791400.800000001,4020.330650154799
2020-01-22,147.34,145.92,145.64,146.94,1808,45833,146.45999999999998,6712701.179999999,3712.777201327433
2020-01-23,146.66,145.74,145.48,145.77,1806,45513,145.9125,6640915.6125,3677.1404277408637
2020-01-24,146.74,143.16,142.78,146.14,1714,39257,144.70499999999998,5680684.185,3314.2848220536753
2020-01-27,143.788,142.53,141.25,141.52,1449,51741,142.272,7361295.551999999,5080.259180124223
2020-01-28,144.54,144.0,141.3,143.02,2146,60781,143.215,8704750.915000001,4056.2679007455736
2020-01-29,165.0,152.6,152.31,157.0,4638,254683,156.7275,39915829.8825,8606.259138098318
2020-01-30,157.1,152.7,151.3373,153.41,2782,104795,153.636825,16100371.075875,5787.336835325305
2020-01-31,154.765,152.03,151.51,152.64,2126,101088,152.73624999999998,15439802.04,7262.37160865475
2020-02-03,156.085,149.48,149.01,152.45,2835,101825,151.75625,15452580.15625,5450.645557760141
2020-02-04,152.54,151.81,150.46,150.63,2612,87107,151.36,13184515.520000001,5047.67056661562
2020-02-05,153.31,152.84,150.84,152.83,2828,96078,152.455,14647571.490000002,5179.480724893919
2020-02-06,153.855,152.24,151.95,152.76,1641,56107,152.70125000000002,8567609.033750001,5220.968332571603
2020-02-07,153.57,152.66,151.2,151.29,1486,74598,152.18,11352323.64,7639.517927321669
2020-02-10,153.57,151.45,151.12,153.06,582,28523,152.3,4344052.9,7464.008419243987
2020-02-11,153.335,152.1,151.215,151.7,1084,48029,152.0875,7304610.537500001,6738.570606549816
2020-02-12,153.54,149.84,149.45,152.44,1460,54278,151.3175,8213211.265,5625.487167808219
2020-02-13,149.73,148.07,146.93,149.28,1226,59868,148.5025,8890547.67,7251.670203915171
2020-02-14,149.68,148.84,147.12,148.32,1169,56479,148.49,8386566.710000001,7174.137476475621
2020-02-18,148.665,147.97,147.53,148.63,926,23406,148.19875,3468739.9425,3745.9394627429806
2020-02-19,150.17,149.6,148.16,148.26,1707,45444,149.04749999999999,6773314.589999999,3967.9640246045687
2020-02-20,150.28,149.8,148.21,149.15,1686,92255,149.36,13779206.8,8172.720521945434
2020-02-21,150.68,149.95,149.16,149.55,1789,59708,149.83499999999998,8946348.18,5000.753594186696
2020-02-24,147.86,145.88,143.8063,146.32,1779,53046,145.966575,7742942.93745,4352.413118296796
2020-02-25,145.86,140.05,140.05,145.71,2402,98958,142.91750000000002,14142829.965000002,5887.939202747711
2020-02-26,142.41,140.12,140.06,140.64,1597,50720,140.8075,7141756.4,4471.9827175954915
2020-02-27,140.72,136.22,136.1,137.57,2206,70964,137.6525,9768372.01,4428.092479601088
2020-02-28,136.0,135.16,132.62,133.4,2354,99669,134.295,13385048.354999999,5686.086811809685
2020-03-02,137.73,136.72,135.16,135.73,2137,74804,136.335,10198403.34,4772.299176415536
