Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,average,abs_trade_size,avg_trade_size
2020-01-02,329.98,329.81,324.78,326.1,59205,4348493,327.6675,1424859830.0775,24066.54556333925
2020-01-03,329.8599,325.9,325.53,326.78,52200,3795466,327.017475,1241183707.76835,23777.465666060343
2020-01-06,336.36,335.83,321.2,323.12,74751,5668577,329.1275,1865684576.5674999,24958.657095791357
2020-01-07,336.7,330.75,330.3,336.47,64781,4742458,333.555,1581870578.19,24418.742813324894
2020-01-08,342.7,339.26,331.05,331.49,87232,7109117,336.125,2389551951.625,27393.066209934426
2020-01-09,343.4196,335.66,334.6101,342.0,61538,4717430,338.922425,1598842815.36775,25981.39061015551
2020-01-10,338.5,329.05,327.27,337.13,64502,4720540,332.9875,1571880813.25,24369.489523580665
2020-01-13,340.85,338.92,331.51,331.8,77073,6296174,335.77000000000004,2114066343.9800003,27429.4025661386
2020-01-14,345.38,338.69,335.52,344.4,83697,7201544,340.9975,2455708500.14,29340.460233222217
2020-01-15,343.17,339.07,336.6,338.68,55939,5158035,339.38,1750533918.3,31293.62195069629
2020-01-16,343.555,338.62,335.85,343.5,57414,5015997,340.38125,1707351328.85625,29737.543610552304
2020-01-17,341.57,339.67,337.38,341.0,60712,6066547,339.905,2062049658.0349998,33964.449499851755
2020-01-21,341.0,338.11,332.59,340.0,174591,14350322,337.92499999999995,4849332561.849999,27775.386828931612
2020-01-22,336.3,326.0,323.6,332.55,246481,21729959,329.6125,7162466110.8875,29058.89748454242
2020-01-23,349.88,349.6,325.01,326.04,209928,18200293,337.63250000000005,6145010426.322501,29271.990522095675
2020-01-24,359.85,353.16,345.88,348.46,196926,17939681,351.83750000000003,6311852513.837501,32051.90027643633
2020-01-27,351.9,342.88,341.02,345.95,90996,7709482,345.4375,2663144188.375,29266.607195645964
2020-01-28,352.4,348.52,342.78,345.88,74612,6821581,347.395,2369783131.495,31761.420837063743
2020-01-29,349.4,343.16,338.55,349.0,93026,7649183,345.02750000000003,2639178487.5325003,28370.3318161858
2020-01-30,348.2,347.74,339.25,341.1,66766,5328136,344.0725,1833265073.86,27458.06359314621
2020-01-31,347.39,345.09,340.98,347.39,68005,5230001,345.2125,1805461720.2124999,26548.955521101387
2020-02-03,359.63,358.0,346.28,347.24,83797,6674885,352.7875,2354815991.9375,28101.43551603876
2020-02-04,369.57,369.01,356.0964,361.0,91637,7161451,363.9191,2606188802.6141,28440.354907014633
2020-02-05,375.25,369.67,362.3,375.125,82201,6437026,370.58625,2385473326.4925,29020.003728573858
2020-02-06,371.5499,366.95,362.505,369.6,57303,3920428,367.651225,1441350156.7243001,25153.136078814376
2020-02-07,371.8,366.77,363.57,365.04,55294,4385227,366.795,1608479337.4650002,29089.58182560495
2020-02-10,374.8,371.07,362.52,365.0,63071,5294138,368.34749999999997,1950082496.955,30918.84537988933
2020-02-11,378.11,373.69,369.72,373.75,60003,4772870,373.8175,1784182331.225,29734.88544281119
2020-02-12,380.62,380.01,375.88,377.18,62002,4624772,378.42249999999996,1750117782.1699998,28226.79562223799
2020-02-13,385.37,381.4,376.51,376.96,65191,4485383,380.05999999999995,1704714662.9799998,26149.540012885212
2020-02-14,385.15,380.4,379.4342,381.47,53252,3736266,381.61355000000003,1425809732.0043,26774.76399016563
2020-02-18,389.54,387.78,379.19,379.3,68910,5180400,383.9525,1989027531.0,28864.13482803657
2020-02-19,392.95,386.19,384.9,388.12,70289,4896368,388.03999999999996,1899986638.7199998,27031.06657826971
2020-02-20,389.7,386.0,376.68,386.56,60534,4079425,384.735,1569497577.375,25927.537869213997
2020-02-21,387.32,380.07,377.9008,385.33,58296,3935618,382.6552,1505984692.9136,25833.4138348017
2020-02-24,372.82,368.7,361.0,364.76,97262,6936418,366.82,2544416850.7599998,26160.441392938657
2020-02-25,375.65,360.09,357.72,372.0,101699,6481243,366.36499999999995,2374500591.6949997,23348.317994228062
2020-02-26,382.0,379.24,365.0,366.31,124637,8961126,373.1375,3343732152.825,26827.765052311912
2020-02-27,391.5624,371.71,370.5962,371.46,161337,10967699,376.33215,4127497745.2228503,25583.08227637089
2020-02-28,376.77,369.03,356.8,364.21,165096,11178572,366.7025,4099210298.83,24829.252670143433
2020-03-02,381.36,381.05,364.502,373.11,111212,6997891,375.0055,2624247613.4005,23596.802623822066
2020-03-03,393.52,368.77,367.4,381.03,136633,8364623,377.67999999999995,3159150814.6399994,23121.433435846386
2020-03-04,384.01,383.79,370.51,377.77,79708,5487340,379.02,2079811606.8,26092.884112008833
2020-03-05,391.4,372.78,368.6401,381.0,126794,8746985,378.455025,3310340426.8496246,26108.02109602682
2020-03-06,371.31,368.97,356.85,367.7,123664,8147165,366.20750000000004,2983552926.7375,24126.2851495787
2020-03-09,357.47,346.49,341.7209,343.86,117721,7405458,347.385225,2572546693.55805,21852.91233983784
2020-03-10,364.54,364.13,347.85,356.425,111309,7604444,358.23625000000004,2724187501.8950005,24474.09914647513
2020-03-11,362.98,349.92,344.79,358.92,99723,6058782,354.15250000000003,2145732792.255,21516.929818146265
2020-03-12,335.72,315.25,307.32,326.5,181442,12071591,321.1975,3877364850.2225,21369.720628203504
2020-03-13,336.42,336.295,307.39,330.51,142723,9458197,327.65375,3099013715.28875,21713.484969407524
2020-03-16,334.35,298.84,294.75,306.63,158014,10559940,308.6425,3259246281.45,20626.313373814977
2020-03-17,322.9,319.75,290.25,306.19,141852,10013913,309.7725,3102034864.7925,21868.108061870822
2020-03-18,331.5794,315.47,300.0,302.395,167452,12593647,312.3611,3933765429.9317,23491.898752667632
2020-03-19,348.51,332.03,316.82,324.33,148566,10615957,330.42249999999996,3507751051.8324995,23610.72554845994
2020-03-20,350.49,332.83,332.0,342.31,145008,10853846,339.40749999999997,3683876736.245,25404.64482128572
2020-03-23,366.11,360.27,340.8838,347.89,183845,13449378,353.78845,4758234596.0841,25881.77321158639
2020-03-24,372.93,357.32,353.0301,369.99,166034,11638683,363.317525,4228537501.819575,25467.901163734987
2020-03-25,362.0,342.39,339.17,361.02,142833,8767171,351.145,3078548260.795,21553.480363746472
2020-03-26,363.84,362.99,341.73,344.0,107516,7235016,353.14,2554973550.24,23763.65889951263
