Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,average,abs_trade_size,avg_trade_size
2020-01-02,4.09,3.72,3.615,4.07,6498,16446142,3.8737500000000002,63708242.572500005,9804.284791089567
2020-01-03,3.9,3.83,3.48,3.5,4077,14019930,3.6775,51558292.575,12646.13504415011
2020-01-06,4.21,3.68,3.66,4.2,6503,17699896,3.9375,69693340.5,10717.106027987084
2020-01-07,3.73,3.24,3.22,3.7,5001,17218907,3.4725,59792654.557500005,11956.139683563288
2020-01-08,3.48,3.39,3.13,3.13,3993,9071410,3.2824999999999998,29776903.325,7457.276064362634
2020-01-09,3.575,3.46,3.33,3.42,2631,8367639,3.44625,28836975.90375,10960.46214509692
2020-01-10,3.57,3.51,3.4,3.49,2365,7263309,3.4925,25367106.6825,10726.049337209302
2020-01-13,3.73,3.7,3.52,3.7,3371,9169373,3.6624999999999996,33582828.6125,9962.27487763275
2020-01-14,3.815,3.76,3.615,3.7,2767,9187276,3.7225,34199634.910000004,12359.824687387063
2020-01-15,4.48,4.29,4.0,4.18,13940,35778174,4.2375,151610012.325,10875.897584289813
2020-01-16,4.4,4.37,3.91,4.0,6176,17399802,4.17,72557174.34,11748.247140544043
2020-01-17,4.705,4.67,4.46,4.5,6246,16854074,4.58375,77254861.6975,12368.69383565482
2020-01-21,5.285,5.17,4.525,4.6,12049,29087977,4.895,142385647.415,11817.216981907211
2020-01-22,5.65,4.79,4.69,5.5,17781,35433450,5.1575,182748018.375,10277.713198076599
2020-01-23,4.945,4.92,4.31,4.42,6373,15384386,4.64875,71518164.41749999,11222.05623999686
2020-01-24,5.055,4.66,4.51,5.01,5009,10929914,4.80875,52559223.9475,10492.957466061089
2020-01-27,4.345,4.01,3.84,3.97,6593,19631456,4.04125,79335621.56,12033.311324131655
2020-01-28,4.265,4.21,4.04,4.26,3235,10964573,4.19375,45982678.01875,14214.119943972179
2020-01-29,4.325,4.27,4.025,4.25,3036,9824443,4.217499999999999,41434588.35249999,13647.756374341236
2020-01-30,4.38,4.08,4.01,4.2,4514,13234468,4.1675,55154645.39000001,12218.574521488703
2020-01-31,4.01,3.78,3.675,4.01,4019,14898373,3.86875,57638080.543749996,14341.398493095296
2020-02-03,4.1,4.06,3.52,3.53,5450,14221390,3.8024999999999993,54076835.474999994,9922.355133027522
2020-02-04,4.695,4.51,4.16,4.26,9756,26843839,4.40625,118280665.59375,12123.889462253997
2020-02-05,4.48,4.39,4.135,4.32,7178,14947222,4.33125,64740155.287499994,9019.247044789634
2020-02-06,4.33,4.08,4.05,4.2,6178,13929322,4.165000000000001,58015626.13000001,9390.680823891229
2020-02-07,4.015,3.81,3.74,4.0,4821,13891610,3.8912500000000003,54055727.4125,11212.554949699233
2020-02-10,3.91,3.87,3.62,3.65,4772,12599385,3.7625,47405186.0625,9934.028931789606
2020-02-11,4.05,3.96,3.8,3.8,3615,11685736,3.9025,45603584.739999995,12615.099513139694
2020-02-12,4.195,4.07,3.99,3.99,3485,10800079,4.06125,43861820.838750005,12585.888332496415
2020-02-13,4.05,4.03,3.865,3.95,2184,7899582,3.97375,31390963.9725,14373.15200206044
2020-02-14,4.035,3.77,3.75,4.02,3412,12839563,3.89375,49994048.43125,14652.417476919694
2020-02-18,3.98,3.8,3.76,3.9,3288,7624351,3.8600000000000003,29429994.860000003,8950.728363746959
2020-02-19,4.1,4.08,3.865,3.91,4082,12296851,3.98875,49049064.42625,12015.93934988976
2020-02-20,4.4,4.26,4.02,4.11,5960,16814806,4.1975,70580148.185,11842.306742449664
2020-02-21,4.2,4.08,4.02,4.18,3074,7253911,4.119999999999999,29886113.319999993,9722.222940793752
2020-02-24,3.935,3.88,3.77,3.78,3238,10094392,3.8412499999999996,38775083.269999996,11975.010274861024
2020-02-25,5.15,4.4,4.24,5.15,16804,35579693,4.735,168469846.35500002,10025.58000208284
2020-02-26,4.71,4.34,4.3,4.48,5091,12759675,4.4575000000000005,56876251.31250001,11171.921294932235
2020-02-27,4.3,4.14,3.92,4.1,4713,16577761,4.114999999999999,68217486.51499999,14474.323470188836
2020-02-28,4.14,4.13,3.87,4.02,4977,17086935,4.04,69031217.4,13870.045690174806
2020-03-02,4.18,4.11,3.905,4.12,4583,13535293,4.07875,55207076.323750004,12046.056365644776
2020-03-03,4.21,4.06,3.95,4.1,4266,10649963,4.079999999999999,43451849.03999999,10185.618621659632
2020-03-04,4.06,3.87,3.775,4.02,3702,10182392,3.9312499999999995,40029528.55,10812.946663965424
2020-03-05,3.89,3.72,3.68,3.77,2671,11831501,3.765,44545601.265,16677.499537626358
2020-03-06,3.655,3.55,3.42,3.6,3472,15067170,3.5562500000000004,53582623.31250001,15432.783212125578
2020-03-09,3.54,3.29,3.03,3.05,4136,11528615,3.2275,37208604.9125,8996.277783486461
2020-03-10,3.54,3.5,3.29,3.52,2286,6220123,3.4625000000000004,21537175.887500003,9421.336783683291
2020-03-11,3.53,3.32,3.265,3.4,3411,6036762,3.37875,20396709.6075,5979.6861939313985
2020-03-12,3.225,3.13,2.98,3.0,3527,11543809,3.08375,35598221.003750004,10093.059541749362
2020-03-13,3.32,3.11,2.99,3.28,2082,6780255,3.175,21527309.625,10339.726044668589
2020-03-16,3.105,2.94,2.75,2.85,3146,8517540,2.91125,24796688.325,7881.97340273363
2020-03-17,3.115,2.9,2.79,2.97,3336,6534690,2.94375,19236493.6875,5766.335038219425
2020-03-18,2.58,2.43,2.11,2.42,5941,17431109,2.385,41573194.964999996,6997.6763112270655
2020-03-19,2.545,2.38,2.24,2.29,2280,4670174,2.36375,11039123.7925,4841.720961622807
2020-03-20,2.63,2.4,2.355,2.52,6708,12114663,2.4762500000000003,29998934.253750004,4472.113037231664
2020-03-23,2.37,2.37,2.15,2.31,3362,10813393,2.3,24870803.9,7397.621624033313
2020-03-24,2.75,2.6,2.4,2.55,4511,10626000,2.5749999999999997,27361949.999999996,6065.606295721569
2020-03-25,2.98,2.76,2.6,2.72,4890,11829688,2.765,32709087.32,6688.97491206544
2020-03-26,3.06,2.93,2.79,2.81,3738,8619932,2.8975,24976252.97,6681.715615302301
2020-03-27,2.885,2.84,2.77,2.85,3200,5523534,2.8362499999999997,15666123.3075,4895.66353359375
2020-03-30,2.82,2.71,2.7,2.78,2286,4451184,2.7525000000000004,12251883.96,5359.529291338583
2020-03-31,2.88,2.78,2.68,2.83,1762,5900287,2.7925,16476551.4475,9351.050764755959
2020-04-01,2.755,2.65,2.6,2.65,1424,2695429,2.66375,7179948.998749999,5042.099015976123
2020-04-02,2.585,2.39,2.22,2.51,3610,9020156,2.42625,21885153.495,6062.369389196676
2020-04-03,2.47,2.4,2.33,2.45,1368,3447235,2.4125,8316454.4375,6079.2795595760235
