Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,average,abs_trade_size,avg_trade_size
2020-01-02,26.15,26.14,25.62,25.97,10800,1365911,25.97,35472708.67,3284.510062037037
2020-01-03,25.965,25.93,25.415,25.64,10535,906764,25.737500000000004,23337838.450000003,2215.2670574276226
2020-01-06,26.33,26.21,25.52,25.58,9322,995897,25.909999999999997,25803691.269999996,2768.042401845097
2020-01-07,26.48,26.455,26.045,26.13,9964,1106159,26.2775,29067093.1225,2917.211272832196
2020-01-08,27.075,26.845,26.42,26.43,10704,1296027,26.6925,34594200.6975,3231.8946839966366
2020-01-09,27.03,26.86,26.77,27.0,8526,985677,26.915,26529496.455,3111.599396551724
2020-01-10,26.86,26.325,26.2695,26.8,7985,1157413,26.563625,30745084.902124997,3850.355028443957
2020-01-13,26.69,26.53,26.1,26.41,9853,1140706,26.4325,30151711.345000003,3060.155419161677
2020-01-14,27.135,26.98,26.26,26.27,11615,1215746,26.661250000000003,32413308.042500004,2790.642104390874
2020-01-15,27.5,26.34,26.25,26.81,11956,1587591,26.725,42428369.475,3548.7093906825025
2020-01-16,26.93,26.27,26.105,26.65,15838,1565836,26.48875,41477038.345,2618.8305559414066
2020-01-17,26.4725,26.0,25.805,26.32,13420,1464965,26.149375,38307919.146875,2854.5394297224293
2020-01-21,26.045,25.18,25.12,25.86,14040,1797265,25.551250000000003,45922367.331250004,3270.8238839921655
2020-01-22,25.8866,25.26,25.02,25.33,13592,1256865,25.37415,31891881.03975,2346.3714714354032
2020-01-23,25.91,25.9,24.743,25.06,11628,1255876,25.40325,31903331.997,2743.664602425181
2020-01-24,26.39,25.96,25.695,25.92,13946,1408235,25.99125,36601787.94375,2624.536637297433
2020-01-27,25.82,25.415,24.98,25.25,8952,956500,25.36625,24262818.125,2710.323740504915
2020-01-28,26.34,26.21,25.38,25.69,8927,1118583,25.905,28976892.615000002,3245.983265934805
2020-01-29,30.436,29.02,27.62,27.65,102794,12601098,28.6815,361418392.287,3515.948326624122
2020-01-30,31.99,30.87,29.285,29.53,74445,10273811,30.41875,312516488.35625,4197.951351417153
2020-01-31,30.95,29.83,29.795,30.92,31861,3427930,30.37375,104119088.8375,3267.916538636578
