Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,average,abs_trade_size,avg_trade_size
2020-01-02,111.21,110.75,109.275,109.47,62074,7419283,110.17625000000001,817428778.6287501,13168.617756689599
2020-01-03,110.42,108.76,108.76,109.49,56555,7099931,109.3575,776430704.3325,13728.772068473167
2020-01-06,110.22,110.17,107.44,107.57,51375,6766627,108.85000000000001,736547348.95,14336.688057420926
2020-01-07,111.56,109.67,109.53,111.5,56884,6916836,110.56500000000001,764759972.34,13444.201749876944
2020-01-08,112.64,111.82,109.82,110.4,65935,8295189,111.17,922176161.13,13986.14030681732
2020-01-09,113.56,112.57,111.59,112.99,52743,5950181,112.6775,670451519.6274999,12711.668271192384
2020-01-10,113.71,112.93,112.27,113.64,60999,6965689,113.1375,788080639.2375001,12919.566537771112
2020-01-13,115.88,115.28,113.86,113.98,68286,9652847,114.75,1107664193.25,16220.955880414725
2020-01-14,115.59,114.64,114.12,115.515,61562,7182707,114.96625,825768888.63875,13413.613733126766
2020-01-15,115.95,114.85,114.61,115.14,47889,5955223,115.13749999999999,685669488.1624999,14317.891126615714
2020-01-16,116.0,115.4,114.85,115.92,46425,4793197,115.54249999999999,553817964.3725,11929.30456375875
2020-01-17,116.7,116.04,115.47,116.45,61506,9730424,116.165,1130334703.96,18377.63314083179
2020-01-21,116.39,116.15,115.11,115.31,57166,8746199,115.74000000000001,1012285072.2600001,17707.81709862506
2020-01-22,117.45,115.5,115.47,116.73,47657,5305308,116.2875,616941004.05,12945.443566527476
2020-01-23,117.9398,117.89,115.8,117.4,69325,8533941,117.25745,1000668160.11045,14434.4487574533
2020-01-24,119.6,116.98,116.51,118.45,63408,7123969,117.885,839809085.565,13244.52885385125
2020-01-27,115.98,115.24,112.31,113.63,66026,7002260,114.29,800288295.4000001,12120.805370611579
2020-01-28,117.21,116.52,114.7154,115.83,56695,6432992,116.06885,746669983.4992,13169.944148499868
2020-01-29,117.53,116.66,115.16,117.47,81984,9255661,116.70499999999998,1080181917.0049999,13175.521040751852
2020-01-30,117.2,117.12,112.42,112.79,114159,13653347,114.88250000000001,1568530636.7275002,13739.877160166961
2020-01-31,117.32,113.89,113.15,116.75,81116,9467156,115.2775,1091350075.79,13454.189996917994
2020-02-03,117.24,116.51,114.05,114.3,63784,8236584,115.52499999999999,951531366.5999999,14918.025940674775
2020-02-04,120.34,120.08,117.3,118.04,65812,7396789,118.94,879774083.66,13367.988872242144
2020-02-05,122.19,119.72,118.891,121.2,65271,7595345,120.50025,915240971.33625,14022.168671174793
2020-02-06,120.6,119.89,119.47,120.09,34313,4020286,120.01249999999999,482484573.5749999,14061.27629688456
2020-02-07,119.67,118.88,118.41,119.6,37895,4166262,119.13999999999999,496368454.67999995,13098.521036548356
