Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,average,abs_trade_size,avg_trade_size
2020-01-02,16.899,16.81,16.76,16.84,1366,2058425,16.827250000000003,34637632.081250004,25356.978097547588
2020-01-03,16.945,16.84,16.81,16.92,1654,2289076,16.87875,38636741.535000004,23359.577711608224
2020-01-06,17.175,16.94,16.83,17.17,1847,2653193,17.02875,45180560.29875,24461.59193218733
2020-01-07,17.205,17.17,16.94,16.98,1810,2469104,17.07375,42156864.42,23291.085314917127
2020-01-08,17.18,16.93,16.865,17.16,2490,5604611,17.033749999999998,95467542.62124999,38340.378562751
2020-01-09,16.755,16.72,16.625,16.72,1766,2469657,16.705,41255620.184999995,23361.05333238958
2020-01-10,16.95,16.89,16.79,16.8,1258,1470586,16.8575,24790403.495,19706.20309618442
2020-01-13,16.84,16.78,16.74,16.84,1016,1487716,16.8,24993628.8,24600.028346456693
2020-01-14,16.67,16.62,16.545,16.6,1117,1456420,16.60875,24189315.675,21655.60937779767
2020-01-15,16.845,16.81,16.71,16.73,1349,1749240,16.77375,29341314.45,21750.418421052633
2020-01-16,16.82,16.77,16.72,16.78,818,1213238,16.7725,20349034.355,24876.57011613692
2020-01-17,16.89,16.82,16.75,16.83,1428,1613823,16.822499999999998,27148537.417499997,19011.58082457983
2020-01-21,16.705,16.64,16.47,16.5,1326,1738116,16.57875,28815790.634999998,21731.365486425337
2020-01-22,16.74,16.66,16.63,16.71,1082,1213900,16.685,20253921.5,18718.966266173753
2020-01-23,16.68,16.61,16.57,16.58,1160,1836623,16.61,30506308.029999997,26298.54140517241
2020-01-24,16.945,16.91,16.68,16.69,1947,2267480,16.806250000000002,38107835.75000001,19572.591551104266
2020-01-27,17.055,16.89,16.85,17.04,1699,1821299,16.958750000000002,30886954.416250005,18179.490533402004
2020-01-28,16.6,16.32,16.285,16.58,3027,4200366,16.44625,69080269.3275,22821.364165014867
2020-01-29,16.43,16.41,16.27,16.28,1278,1461221,16.3475,23887310.2975,18691.166116979653
2020-01-30,16.84,16.68,16.6,16.73,2272,2940453,16.7125,49142320.762499996,21629.54258912852
2020-01-31,16.895,16.82,16.69,16.69,1728,2192291,16.77375,36772941.16125,21280.637246093753
2020-02-03,16.61,16.5,16.435,16.61,1876,2224923,16.53875,36797445.26625,19614.842892457356
2020-02-04,16.53,16.45,16.37,16.52,1258,1692578,16.4675,27872528.215000004,22156.222746422896
2020-02-05,16.48,16.46,16.39,16.45,825,1194526,16.445,19643980.07,23810.884933333335
2020-02-06,16.659,16.63,16.55,16.65,1018,1485608,16.622249999999998,24694147.577999998,24257.51235559921
2020-02-07,16.63,16.54,16.475,16.61,861,1605124,16.56375,26586872.654999997,30879.062317073167
2020-02-10,16.65,16.61,16.55,16.59,662,1363918,16.599999999999998,22641038.799999997,34200.96495468277
2020-02-11,16.54,16.48,16.409,16.54,1431,1884688,16.49225,31082745.667999998,21720.99627393431
2020-02-12,16.395,16.33,16.31,16.35,1141,1567031,16.34625,25615080.48375,22449.67614702016
2020-02-13,16.545,16.46,16.46,16.53,635,1095600,16.49875,18076030.5,28466.189763779526
2020-02-14,16.61,16.56,16.54,16.61,950,1132752,16.58,18781028.159999996,19769.503326315786
2020-02-18,17.015,17.01,16.74,16.78,1940,2631376,16.88625,44434072.980000004,22904.16132989691
2020-02-19,17.235,17.23,17.0,17.04,1688,2150069,17.12625,36822619.21125,21814.34787396327
2020-02-20,17.2,17.14,17.075,17.09,1499,2430025,17.12625,41617215.65625,27763.319317044698
2020-02-21,17.4,17.28,17.25,17.27,2130,2930944,17.3,50705331.2,23805.319812206573
2020-02-24,17.68,17.4,17.31,17.56,3451,4934097,17.487499999999997,86285021.28749998,25002.90387931034
2020-02-25,17.2,16.71,16.665,17.13,4190,6300619,16.92625,106645852.34875,25452.470727625296
2020-02-26,16.81,16.68,16.61,16.7,2553,4013732,16.7,67029324.4,26255.121190755974
2020-02-27,16.83,16.47,16.455,16.79,3510,6345552,16.636249999999997,105566189.45999998,30075.837452991447
2020-02-28,15.89,15.53,15.29,15.89,6746,11163976,15.65,174716224.4,25899.232789801365
2020-03-02,15.7,15.56,15.54,15.61,2881,5235806,15.6025,81691663.115,28355.315208261018
2020-03-03,16.3,16.02,15.705,15.73,4737,9104419,15.938749999999999,145113058.33624998,30633.957850168877
2020-03-04,16.1,16.09,15.95,16.01,1454,2252695,16.0375,36127596.0625,24847.039932943604
2020-03-05,16.3,16.3,16.11,16.12,1685,2538419,16.2075,41141425.942499995,24416.27652373887
2020-03-06,16.255,16.18,15.895,16.24,3004,4833191,16.1425,78019785.71749999,25971.965951231687
2020-03-09,15.945,15.88,15.63,15.78,3234,5660775,15.808750000000002,89489776.78125001,27671.54507769017
2020-03-10,15.89,15.73,15.69,15.88,2729,3750150,15.7975,59242994.625,21708.682530230853
2020-03-11,15.85,15.63,15.555,15.8,2264,3856294,15.70875,60577558.3725,26756.87207265901
2020-03-12,15.12,14.62,14.485,15.0,6594,9971614,14.806249999999999,147642209.7875,22390.386682969365
2020-03-13,14.685,13.69,13.47,14.67,8678,10462069,14.12875,147815957.38375,17033.412927373818
2020-03-16,12.41,12.0,11.68,11.85,8481,7900787,11.985,94690932.195,11165.066878316235
2020-03-17,12.38,11.88,11.55,11.64,7936,9440215,11.862500000000002,111984550.43750003,14110.95645633821
2020-03-18,11.62,11.21,10.87,11.44,8649,13109176,11.285,147937051.16,17104.526668979073
2020-03-19,11.435,11.32,11.04,11.31,5510,11025060,11.27625,124321332.82499999,22562.855322141557
2020-03-20,11.92,11.62,11.53,11.72,4559,6488061,11.6975,75894093.5475,16647.092245558237
2020-03-23,12.385,12.31,11.88,11.97,4504,6303580,12.13625,76501822.775,16985.307010435172
2020-03-24,13.375,13.29,12.88,13.23,6526,6556369,13.19375,86503093.49374999,13255.147639250688
2020-03-25,13.64,13.51,13.195,13.26,6048,5981556,13.40125,80160327.345,13254.022378472222
2020-03-26,13.71,13.53,13.36,13.59,4523,3684642,13.5475,49917687.495,11036.41111983197
2020-03-27,13.525,13.44,13.3,13.51,2526,2437344,13.44375,32767043.4,12971.909501187647
2020-03-30,13.26,13.16,12.89,13.06,3268,2723118,13.092500000000001,35652422.41500001,10909.553982558142
2020-03-31,13.31,13.05,12.96,13.12,2895,2471751,13.11,32404655.61,11193.318
2020-04-01,13.14,13.02,12.87,13.0,2110,2318396,13.0075,30156535.97,14292.197142180094
