Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,average,abs_trade_size,avg_trade_size
2020-01-02,324.87,324.87,322.535,323.58,52026,10942418,323.96375,3544946769.3475,68137.98426455041
2020-01-03,323.64,322.41,321.1,321.19,66494,16905905,322.085,5445138411.924999,81889.1691269137
2020-01-06,323.73,323.64,320.36,320.44,46936,10328215,322.0425,3326124179.1375003,70865.09670908259
2020-01-07,323.54,322.73,322.24,323.02,43094,9221482,322.8825,2977455161.865,69092.10474462801
2020-01-08,325.78,324.45,322.67,322.99,64201,14698366,323.9725,4761866378.935,74171.21818873538
2020-01-09,326.73,326.65,325.525,326.2,45009,9283407,326.27625,3028955223.18375,67296.65673940213
2020-01-10,327.46,325.71,325.2,327.36,47056,9097784,326.4325,2969812375.58,63112.299719058145
2020-01-13,327.96,327.95,325.93,326.4,41717,11322566,327.06,3703158435.96,88768.57003044322
2020-01-14,328.61,327.45,326.85,327.48,64748,14078711,327.5975,4612150526.8225,71232.32419260054
2020-01-15,329.02,328.19,327.27,327.34,58869,12226438,327.955,4009721474.29,68112.6140122985
2020-01-16,330.92,330.92,329.45,329.67,44779,10828385,330.24,3575965862.4,79858.10005582974
2020-01-17,332.18,331.95,331.07,331.72,51101,20327488,331.73,6743237594.240001,131959.01438797676
2020-01-21,332.18,331.3,330.83,330.92,54375,13022700,331.3075,4314518180.25,79347.4607862069
2020-01-22,332.945,331.34,331.19,332.26,43693,8733611,331.93375,2898980250.27125,66348.84879205479
2020-01-23,331.92,331.72,329.42,330.6,54744,10784996,330.915,3568916951.34,65192.842162428766
2020-01-24,332.53,328.77,327.37,332.46,77190,14733009,330.2825,4866055045.0425005,63039.96690040809
2020-01-27,325.12,323.5,322.68,323.05,92191,19139909,323.58750000000003,6193435303.5375,67180.47644062327
2020-01-28,327.84,326.89,324.55,325.06,66900,14740658,326.08500000000004,4806707463.93,71849.1399690583
2020-01-29,328.63,326.62,326.4,328.4,59069,11370758,327.5125,3724065379.475,63046.02040791278
2020-01-30,327.9,327.68,323.54,324.37,88343,17174059,325.8725,5596553541.4775,63350.27723167087
2020-01-31,327.17,321.73,320.75,326.97,119744,24090255,324.15500000000003,7808976609.525001,65213.9281260439
2020-02-03,326.15,324.12,323.23,323.35,70610,14580625,324.2125,4727220882.8125,66948.3201078105
2020-02-04,330.0,329.06,327.74,328.07,59489,11504804,328.7175,3781830408.87,63571.92773235388
2020-02-05,333.08,332.86,330.68,332.29,66207,12910213,332.22749999999996,4289127789.4574995,64783.59976222302
2020-02-06,334.19,333.98,332.81,333.98,45625,9426990,333.74,3146163642.6,68957.01134465753
2020-02-07,333.62,332.2,331.6,332.81,58202,11879792,332.5575,3950713928.04,67879.34998866018
2020-02-10,334.72,334.68,331.19,331.19,40857,9240680,332.94500000000005,3076638202.6000004,75302.59692586338
2020-02-11,337.02,335.26,334.75,336.16,54206,10874984,335.7975,3651792439.7400002,67368.78647640483
2020-02-12,337.64,337.42,336.435,336.86,42134,8620577,337.08875,2905899525.2087502,68968.04303433688
2020-02-13,338.11,337.06,335.56,335.92,58053,11184157,336.66249999999997,3765286256.0125,64859.46042431054
2020-02-14,337.72,337.6,336.2,337.48,51818,11414010,337.25,3849374872.5,74286.44240418388
2020-02-18,337.17,336.73,335.22,336.52,53524,11236549,336.41,3780087449.09,70624.15830449892
2020-02-19,339.08,338.34,337.49,337.81,40665,8576928,338.18,2900545511.04,71327.81288675766
2020-02-20,338.63,336.95,333.71,337.77,86487,16179946,336.765,5448839514.69,63001.83281522078
2020-02-21,335.795,333.48,332.59,335.41,100016,20000974,334.31875,6686700626.462501,66856.30925514418
2020-02-24,325.84,322.42,321.25,323.17,187484,33172468,323.17,10720346483.560001,57180.060610825465
2020-02-25,324.61,312.65,311.69,323.96,305522,47627785,318.22749999999996,15156470951.087498,49608.443749018064
2020-02-26,318.11,311.5,310.7,314.19,253266,40425549,313.625,12678462805.125,50059.8690906991
2020-02-27,309.64,297.51,297.51,305.45,448304,60964008,302.5275,18443288930.219997,41140.139124834925
2020-02-28,296.28,296.26,285.54,288.62,445424,66868762,291.675,19503946156.350002,43787.37148503449
2020-03-02,309.15,309.09,294.46,298.0,354194,47333720,302.67499999999995,14326733700.999998,40448.83228117924
2020-03-03,313.81,300.24,297.58,309.55,527655,57365491,305.295,17513397574.845,33191.00089043978
2020-03-04,313.1,312.86,303.33,306.11,234290,33980947,308.85,10495015480.95,44794.978364206756
2020-03-05,308.45,302.46,300.02,304.95,252473,37723566,303.96999999999997,11466832357.019999,45418.05403754064
2020-03-06,298.77,297.46,290.24,293.08,280410,41826442,294.8875,12334094915.275,43985.931012713525
2020-03-09,284.18,274.23,273.45,275.6,444528,61641534,276.865,17066383310.91,38392.14472633895
2020-03-10,288.51,288.42,273.5,284.76,422236,53966260,283.7975,15315489672.35,36272.344547480556
2020-03-11,281.87,274.36,270.89,280.73,381682,47936023,276.9625,13276480770.137499,34784.14169423106
2020-03-12,266.66,248.11,247.74,256.05,591160,73756499,254.64000000000001,18781354905.36,31770.341202652413
2020-03-13,271.08,269.32,249.58,263.34,520215,70274207,263.33,18505306929.309998,35572.42088234672
2020-03-16,256.9,239.85,237.36,240.78,445805,72406655,243.7225,17647130973.2375,39584.86552021063
2020-03-17,256.17,252.8,237.07,245.04,431015,55789163,247.76999999999998,13822880916.509998,32070.533314409007
2020-03-18,246.03,240.0,228.02,236.25,549981,66515330,237.575,15802379524.75,28732.5917163502
2020-03-19,247.38,240.51,232.23,239.26,501073,59835890,239.845,14351339037.05,28641.214028794206
2020-03-20,244.47,228.8,228.59,242.59,476328,53748687,236.1125,12690736859.2875,26642.852948572203
2020-03-23,229.39,222.95,218.26,228.0,460426,55890811,224.64999999999998,12555870691.15,27270.11656846051
2020-03-24,244.1,243.15,233.8,234.99,332188,53748268,239.01000000000002,12846373534.68,38671.99758775152
2020-03-25,256.35,246.79,239.76,245.0,409700,56406357,246.975,13930960020.074999,34002.831389004146
2020-03-26,262.8,261.2,249.08,249.26,344345,48314186,255.58499999999998,12348381228.81,35860.49232255441
2020-03-27,260.8,253.42,251.06,253.22,306953,42972544,254.62499999999997,10941884015.999998,35646.77333663459
2020-03-30,262.43,261.65,253.53,255.68,212665,28451242,258.3225,7349595961.545,34559.49950177509
2020-03-31,263.32,257.75,256.22,260.7,247423,36754775,259.4975,9537772225.5625,38548.44628657198
2020-04-01,251.44,246.15,243.9,247.95,227184,33099628,247.35999999999999,8187523982.08,36039.175215156
2020-04-02,252.66,251.83,244.6,245.2,229366,34989394,248.57250000000002,8697401140.065,37919.31297605138
2020-04-03,253.32,248.19,245.22,250.81,193982,26927572,249.385,6715332543.219999,34618.32821199905
2020-04-06,267.0,264.86,256.73,258.05,200685,34670820,261.65999999999997,9071966761.199999,45205.00665819567
2020-04-07,275.0,265.13,264.89,274.3,273544,39567990,269.83,10676630741.699999,39030.76193117012
2020-04-08,275.4,274.03,265.56,268.05,201862,29358012,270.76,7948975329.12,39378.2649984643
2020-04-09,281.2,278.2,275.47,277.81,241302,34367355,278.17,9559967140.35,39618.26731792526
2020-04-13,277.51,275.66,271.41,277.15,159956,20794735,275.4325,5727545847.8875,35807.00847662795
2020-04-14,284.9,283.79,279.91,281.08,140322,21746315,282.42,6141594282.3,43767.86449950827
2020-04-15,279.58,277.76,275.46,277.52,135142,20879227,277.58,5795655830.66,42885.67455461663
2020-04-16,280.03,279.1,275.76,279.05,164073,26696570,278.485,7434594296.450001,45312.722364130605
2020-04-17,287.3,286.64,282.41,285.41,136805,24196527,285.44000000000005,6906656666.880001,50485.411109827866
2020-04-20,286.29,281.59,281.35,282.6,121275,18968563,282.95750000000004,5367297165.072501,44257.243166955275
2020-04-21,278.04,273.04,272.02,276.48,169232,24777808,274.895,6811295530.16,40248.27178169613
2020-04-22,280.99,279.1,276.91,278.38,107597,17822825,278.845,4969805637.125001,46189.072531065
2020-04-23,283.94,279.08,278.751,280.46,152621,23084078,280.55775,6476416984.5045,42434.63864412172
2020-04-24,283.7,282.97,278.5,280.69,85515,14438986,281.46500000000003,4064069194.4900002,47524.635379641004
2020-04-27,288.27,287.05,284.62,285.02,81591,14148740,286.24,4049935337.6,49637.03518280202
2020-04-28,291.39,285.73,285.405,291.0,112064,19346377,288.38125,5579132382.231251,49785.233279476466
2020-04-29,294.87,293.21,290.42,291.59,121189,22645781,292.52250000000004,6624400472.572501,54661.730623839634
2020-04-30,292.23,290.48,288.59,291.69,132635,25287145,290.7475,7352174190.8875,55431.62959164248
2020-05-01,286.04,282.79,281.53,285.16,116295,20952395,283.88,5947965892.6,51145.49974289523
2020-05-04,283.9,283.57,279.14,280.46,85963,15749972,281.7675,4437830235.509999,51624.8878646627
2020-05-05,289.25,286.19,285.75,286.66,87437,15048514,286.96250000000003,4318359198.725,49388.23608683967
2020-05-06,288.46,284.25,284.13,288.01,84132,14244434,286.2125,4076935066.225,48458.7917347145
2020-05-07,289.76,287.68,287.13,287.79,82843,14562818,288.09,4195402237.6199994,50642.809140422236
2020-05-08,292.85,292.44,289.86,291.05,75413,13964032,291.55,4071213529.6000004,53985.56654157772
2020-05-11,294.0,292.5,289.88,290.37,82656,14822213,291.6875,4323454254.4375,52306.59909065888
2020-05-12,294.24,286.67,286.55,293.75,94014,16684319,290.3025,4843499516.4975,51518.91757076074
2020-05-13,287.19,281.6,278.97,285.95,171535,28940667,283.4275,8202580896.1425,47818.701117220975
2020-05-14,285.1,284.97,276.38,278.84,156059,26173097,281.3225,7363081080.782499,47181.393452364166
2020-05-15,286.32,286.28,281.36,282.32,106349,19302977,284.07,5483396676.39,51560.39714891537
2020-05-18,296.69,295.0,292.7,293.09,123976,23623831,294.37,6954147131.47,56092.68835476221
2020-05-19,296.2,291.97,291.96,294.41,99755,18676741,293.635,5484144843.535,54976.13997829683
2020-05-20,297.87,296.93,295.58,295.83,79614,16192231,296.5525,4801846583.627501,60314.097817312286
2020-05-21,297.66,294.88,293.69,296.8,98186,15487265,295.75750000000005,4580474778.237501,46650.99686551546
2020-05-22,295.63,295.44,293.23,294.56,65499,11400356,294.71500000000003,3359855918.5400004,51296.293356234455
2020-05-26,302.19,299.08,298.69,301.96,92836,16363259,300.47999999999996,4916832064.32,52962.55832134085
2020-05-27,303.57,303.53,296.87,302.14,110854,19223107,301.52750000000003,5796295395.942501,52287.65219065168
2020-05-28,306.835,302.97,302.24,304.69,101154,18183774,304.18375000000003,5531208564.472501,54681.06614145265
2020-05-29,304.96,304.32,299.565,302.46,139756,24362642,302.82624999999996,7377647516.952499,52789.48679808022
2020-06-01,306.205,305.55,303.06,303.63,64515,12286256,304.61125,3742531797.98,58010.25804820585
2020-06-02,308.13,308.08,305.1,306.52,72894,13664624,306.9575,4194458821.4799995,57541.89400334732
2020-06-03,313.21,312.18,309.95,310.26,79776,15214572,311.40000000000003,4737817720.8,59389.010740072204
2020-06-04,313.0,311.36,309.09,311.12,81343,14052101,311.14250000000004,4372205835.392501,53750.24077538941
2020-06-05,321.27,319.34,317.17,317.41,123513,22537687,318.7975,7184958271.382501,58171.67643391789
