Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,average,abs_trade_size,avg_trade_size
2020-01-02,64.05,63.83,62.95,62.99,5101,1236391,63.455,78455190.905,15380.355009802
2020-01-03,63.26,63.0,62.35,62.85,4671,763362,62.865,47988752.13,10273.764104046244
2020-01-06,62.58,62.57,61.15,61.32,4293,854565,61.905,52901846.325,12322.81535639413
2020-01-07,65.49,64.59,63.68,64.5,8500,2349389,64.565,151688300.785,17845.68244529412
2020-01-08,67.99,67.6,64.58,64.67,8343,1886222,66.21000000000001,124886758.62000002,14969.046939949661
2020-01-09,68.22,67.93,66.7,68.22,6390,2015096,67.7675,136558018.18,21370.581874804382
2020-01-10,69.51,67.99,67.9,68.5,5561,1481075,68.475,101416610.62499999,18237.117537313432
2020-01-13,69.05,68.66,67.83,68.24,4188,710184,68.445,48608543.879999995,11606.624613180515
2020-01-14,69.25,68.17,68.11,68.96,4151,1170315,68.6225,80309941.0875,19347.13107383763
2020-01-15,71.0,70.36,68.5,68.57,7484,1695393,69.6075,118012068.2475,15768.582074759488
2020-01-16,71.0,69.52,69.2,71.0,6054,1036068,70.17999999999999,72711252.24,12010.44800792864
2020-01-17,70.3,69.38,69.19,69.8,4001,850161,69.66749999999999,59228591.467499994,14803.447005123717
2020-01-21,69.61,68.31,68.31,69.04,4517,1312784,68.8175,90342512.91999999,20000.55632499446
2020-01-22,70.03,68.69,68.69,69.05,5083,934908,69.115,64616166.419999994,12712.210588235293
2020-01-23,69.44,69.29,67.55,68.86,5239,1102021,68.78500000000001,75802514.48500001,14468.889957052876
2020-01-24,71.92,71.14,70.03,70.61,9459,1696909,70.925,120353270.82499999,12723.678065863198
2020-01-27,72.45,71.05,68.5,68.56,10135,1789077,70.14,125485860.78,12381.436682782438
2020-01-28,74.98,74.8,71.05,71.37,11964,2858766,73.05000000000001,208832856.30000004,17455.10333500502
2020-01-29,77.07,76.16,74.25,74.5,13262,2552823,75.495,192725372.38500002,14532.149931005883
2020-01-30,76.38,76.1,74.06,75.47,9405,1791916,75.5025,135294137.79,14385.34160446571
2020-01-31,76.35,74.69,74.34,75.79,8231,2169733,75.29249999999999,163364621.90249997,19847.481703620455
2020-02-03,79.8,79.8,74.6,74.83,10608,2755219,77.2575,212861331.89249998,20066.11348911199
2020-02-04,81.68,80.9,79.25,80.02,9705,2027918,80.4625,163171352.07500002,16813.122315816592
2020-02-05,82.1,78.25,77.85,82.0,13512,2279947,80.05,182509757.35,13507.23485420367
2020-02-06,79.2,78.51,77.83,78.66,8163,1168463,78.55,91782768.64999999,11243.754581648902
2020-02-07,79.99,78.86,77.37,77.82,5034,993488,78.51,77998742.88000001,15494.386746126343
2020-02-10,80.62,80.17,78.9,79.9,4861,960527,79.89750000000001,76743705.9825,15787.637519543305
2020-02-11,81.44,79.88,79.61,80.56,4930,837814,80.3725,67337205.715,13658.662416835701
2020-02-12,80.9,80.0,79.61,80.0,4343,709353,80.1275,56838682.5075,13087.424017384297
2020-02-13,82.53,80.99,79.1,79.3,6780,1501203,80.47999999999999,120816817.43999998,17819.58959292035
2020-02-14,82.58,81.86,81.03,81.39,5891,1094136,81.715,89407323.24000001,15176.934856560858
2020-02-18,82.96,82.42,81.39,81.68,5925,1059842,82.1125,87026276.225,14687.97910970464
2020-02-19,86.46,85.24,82.99,83.0,8620,1911418,84.4225,161366686.105,18720.033190835267
2020-02-20,87.24,85.7,80.31,85.23,13746,1999776,84.62,169221045.12,12310.566355303361
2020-02-21,86.2,83.49,82.75,85.7,8969,1529823,84.535,129323587.30499999,14418.952760062437
2020-02-24,80.83,80.21,76.15,76.85,12442,2442738,78.51,191779360.38000003,15413.869183411029
2020-02-25,81.34,77.05,75.8,80.73,14996,2015231,78.73,158659136.63,10580.097134569218
2020-02-26,79.05,76.59,76.53,77.95,10851,1617768,77.53,125425553.04,11558.893469726294
2020-02-27,85.93,79.31,79.12,81.0,39122,5963054,81.34,485034812.36,12398.006552834722
2020-02-28,84.14,83.33,76.6,77.39,36278,5427964,80.365,436218326.85999995,12024.321265229615
2020-03-02,84.35,80.67,79.57,83.01,17891,3075725,81.9,251901877.50000003,14079.809820580182
2020-03-03,80.48,78.84,75.82,80.48,21867,2852910,78.905,225108863.55,10294.45573466868
2020-03-04,79.49,79.26,75.82,78.32,15133,2715514,78.2225,212414293.86499998,14036.495993193681
2020-03-05,79.0,76.32,75.66,78.31,12766,1873986,77.32249999999999,144901282.48499998,11350.562626116245
2020-03-06,75.66,73.09,70.29,75.66,24508,3533760,73.67500000000001,260349768.00000003,10623.052391055982
2020-03-09,67.41,65.73,63.33,66.6,26893,4071766,65.7675,267789870.405,9957.604968021418
2020-03-10,68.56,67.24,63.37,68.41,20050,2301136,66.895,153934492.72,7677.530808977556
2020-03-11,66.17,62.44,60.82,66.0,21205,2883697,63.8575,184145681.1775,8684.06890721528
2020-03-12,58.01,53.57,52.98,55.87,25990,4269924,55.107499999999995,235304836.82999998,9053.668212004617
2020-03-13,57.79,57.77,52.33,57.04,21575,2570019,56.2325,144518593.41750002,6698.428431865586
2020-03-16,49.12,41.27,40.005,46.03,33852,6035347,44.10625,266196523.61875,7863.539041083245
2020-03-17,45.28,44.73,39.0,43.62,25762,3603199,43.1575,155505060.8425,6036.218494002795
2020-03-18,42.02,39.5,32.35,41.02,24528,4147971,38.722500000000004,160619807.0475,6548.426575648239
2020-03-19,47.42,40.0,37.01,40.5,22704,4480314,41.2325,184734547.005,8136.651999867864
2020-03-20,43.79,38.09,37.8,41.95,22060,3759102,40.4075,151895914.065,6885.58087330009
2020-03-23,40.5,40.01,36.11,37.92,16728,2500122,38.635,96592213.47,5774.283445121951
2020-03-24,48.88,46.31,42.6,43.5,22990,3656848,45.3225,165737493.48,7209.112374075685
2020-03-25,58.09,52.39,49.53,50.29,32118,6494027,52.575,341423469.52500004,10630.28424948627
2020-03-26,59.25,56.03,53.79,53.79,16781,4251990,55.714999999999996,236899622.85,14117.133832906262
2020-03-27,54.4,53.34,51.48,54.0,14483,2057614,53.305,109681114.27,7573.093576607056
2020-03-30,55.44,55.0,51.55,52.9,10942,1931072,53.7225,103742015.52,9481.083487479436
2020-03-31,55.22,52.38,51.15,53.92,16575,5303059,53.1675,281950389.3825,17010.58156153846
2020-04-01,50.01,46.81,46.06,49.78,15300,2972849,48.165,143187272.085,9358.645234313726
2020-04-02,48.02,45.88,45.0,46.34,12265,2013856,46.31,93261671.36,7603.886780269058
2020-04-03,46.67,43.72,42.37,46.14,19147,2877817,44.725,128710365.325,6722.220991539145
2020-04-06,51.1,50.42,46.21,47.22,22092,4714590,48.7375,229777330.125,10400.929301330798
2020-04-07,54.89,50.31,49.71,54.78,17701,2990115,52.4225,156749303.5875,8855.392553386815
2020-04-08,57.74,57.04,51.81,51.81,22265,3716692,54.6,202931383.20000002,9114.367087356839
2020-04-09,64.85,59.21,58.5,58.5,25367,4181774,60.265,252014610.11,9934.74238617101
2020-04-13,60.0,59.42,56.12,60.0,13831,2035825,58.885000000000005,119879555.12500001,8667.453916925748
2020-04-14,62.6,62.41,59.62,59.81,14405,2785817,61.11,170241276.87,11818.207349531413
2020-04-15,61.75,61.38,59.37,59.67,11230,1917258,60.5425,116075592.46499999,10336.205918521815
2020-04-16,59.3,57.32,56.65,58.0,18439,3137511,57.817499999999995,181403042.24249998,9838.008690411627
2020-04-17,61.44,61.09,58.7,59.5,15307,2733451,60.1825,164505914.8075,10747.103600150258
2020-04-20,63.56,61.06,59.16,59.44,10706,2324866,60.805,141363477.13,13204.135730431533
2020-04-21,60.41,57.4,56.86,60.0,13539,2300881,58.6675,134986936.0675,9970.229416315828
2020-04-22,61.25,60.96,58.01,59.35,13265,2709127,59.8925,162256388.8475,12231.917741990199
2020-04-23,63.48,61.82,60.94,61.31,13338,2559437,61.887499999999996,158397157.33749998,11875.630329697104
2020-04-24,62.56,62.01,61.04,62.35,6927,1099885,61.989999999999995,68181871.14999999,9842.914847697415
2020-04-27,64.24,63.55,61.81,63.27,10919,2058232,63.2175,130116281.46000001,11916.501644839273
2020-04-28,65.01,61.75,60.9,64.17,13728,2342437,62.9575,147473977.4275,10742.56828580274
2020-04-29,66.7,65.77,63.39,63.42,12765,2461352,64.82,159544836.64,12498.616266353309
2020-04-30,66.87,65.14,64.72,65.0,11034,2225324,65.4325,145608512.63,13196.348797353634
2020-05-01,63.9,63.0,61.45,62.84,14119,2104722,62.7975,132171279.795,9361.235200439125
2020-05-04,64.15,63.69,61.09,61.1,8460,1575337,62.5075,98470377.5275,11639.524530437353
2020-05-05,68.58,66.69,65.24,66.0,13492,2268077,66.6275,151116300.3175,11200.437319707975
2020-05-06,69.8,68.1,67.15,67.32,13748,2620050,68.0925,178405754.625,12976.851514765784
