Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,average,abs_trade_size,avg_trade_size
2021-05-05,20.43,19.36,19.36,19.99,2301,524195,19.785,10371198.075,4507.256877444589
2021-05-06,19.16,17.17,16.87,19.03,5428,1183556,18.0575,21372062.470000003,3937.3733364038326
2021-05-07,20.64,19.65,18.33,18.51,12877,3237856,19.2825,62433958.31999999,4848.486318241826
2021-05-10,19.8,18.22,17.99,19.6,7187,1569368,18.9025,29664978.62,4127.588509809379
2021-05-11,18.99,18.91,16.8,16.83,6258,1456228,17.882499999999997,26040997.209999993,4161.233175135825
2021-05-12,18.94,17.63,17.57,18.55,5232,1286151,18.1725,23372579.0475,4467.236056479358
2021-05-13,18.32,16.68,16.37,17.73,5821,1592629,17.275,27512665.974999998,4726.450090190689
2021-05-14,17.49,16.88,16.56,16.82,4020,1230718,16.9375,20845286.125,5185.394558457711
2021-05-17,18.3,18.3,16.63,16.96,5987,1379545,17.5475,24207565.8875,4043.3549169032904
2021-05-18,19.12,18.77,17.9,18.05,4207,1184326,18.46,21862657.96,5196.733529831234
2021-05-19,18.5,18.21,17.8,18.03,4069,1070870,18.134999999999998,19420227.45,4772.727316293929
2021-05-20,18.77,17.96,17.86,18.27,4060,1109459,18.215,20208795.685,4977.535883004925
2021-05-21,18.65,18.36,17.8,18.13,3716,990821,18.235,18067620.935,4862.115429224973
2021-05-25,19.83,18.69,18.2,18.47,6140,1919999,18.7975,36091181.2025,5878.042541123778
2021-05-26,20.27,20.16,18.8,19.0,6320,2024158,19.557499999999997,39587470.08499999,6263.840203322784
2021-05-27,20.74,20.45,19.5,20.64,6808,1995265,20.3325,40568725.6125,5958.978497723267
2021-05-28,22.62,20.2,20.18,20.5,13428,3416512,20.875,71319688.0,5311.266607089663
2021-05-31,20.82,20.53,20.25,20.6,1527,318445,20.55,6544044.75,4285.556483300589
2021-06-01,21.32,20.51,20.08,20.64,4221,1004563,20.6375,20731668.912499998,4911.5538764510775
2021-06-02,23.01,22.82,20.69,20.74,13180,2889116,21.814999999999998,63026065.53999999,4781.947309559939
2021-06-03,26.76,23.87,23.15,24.63,19012,4827339,24.6025,118764607.7475,6246.8234666263415
2021-06-04,24.72,22.71,22.29,24.37,8297,1829833,23.5225,43042246.7425,5187.687928468121
2021-06-07,24.34,23.8,22.48,23.01,8497,1902145,23.4075,44524459.0875,5240.021076556432
2021-06-08,24.77,24.5,23.33,24.29,6913,1644898,24.2225,39843541.805,5763.567453348764
2021-06-09,27.88,26.0,24.7,24.95,23147,5627680,25.8825,145658427.6,6292.756193027174
2021-06-10,25.95,24.23,23.99,25.95,10956,2506974,25.03,62749559.220000006,5727.41504381161
2021-06-11,24.58,24.18,23.49,24.15,4990,1130783,24.1,27251870.3,5461.296653306614
2021-06-14,24.64,23.25,22.93,24.11,5873,1386367,23.7325,32901954.8275,5602.23988208752
2021-06-15,23.44,21.96,21.76,22.8,7214,1641925,22.490000000000002,36926893.25,5118.781986415303
2021-06-16,22.75,22.23,21.6,21.8,5031,1088708,22.095000000000002,24055003.26,4781.356243291592
2021-06-17,22.62,21.59,21.53,22.1,4513,1028818,21.96,22592843.28,5006.169572346555
2021-06-18,22.0,20.86,20.86,21.64,5695,1797006,21.34,38348108.04,6733.644958735733
2021-06-21,21.64,21.42,20.21,20.88,5190,1381157,21.0375,29056090.387500003,5598.475989884394
2021-06-22,21.65,21.47,20.88,21.42,3888,1136334,21.355,24266412.57,6241.361257716049
