Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,average,abs_trade_size,avg_trade_size
2020-01-02,31.0,30.99,29.79,29.94,7081,3274808,30.429999999999996,99652407.43999998,14073.211049286821
2020-01-03,31.425,31.37,30.48,30.62,7379,2880290,30.973750000000003,89213382.3875,12090.172433595339
2020-01-06,32.06,31.58,31.01,31.01,7481,3884331,31.415000000000003,122026258.36500001,16311.49022390055
2020-01-07,32.84,32.81,31.37,31.69,9622,6539135,32.1775,210413016.4625,21867.9085909894
2020-01-08,34.51,33.93,32.48,32.74,19113,7258605,33.415,242546286.075,12690.121177994035
2020-01-09,34.45,33.97,33.22,34.45,10934,5108000,34.0225,173786930.0,15894.17687945857
2020-01-10,34.99,34.01,33.84,34.08,13708,7826841,34.23,267912767.42999998,19544.263745987744
2020-01-13,34.33,34.14,33.555,34.15,7580,3005720,34.04375,102325980.25000001,13499.469689973617
2020-01-14,35.02,34.84,33.92,34.2,10696,4878402,34.495000000000005,168280476.99,15733.028888369485
2020-01-15,35.14,35.01,34.51,34.9,9504,3962473,34.88999999999999,138250682.96999997,14546.57859532828
2020-01-16,35.05,34.68,34.19,35.03,10547,3774817,34.7375,131127705.5375,12432.701767090168
2020-01-17,35.25,35.13,34.65,35.0,7101,3004019,35.0075,105163195.1425,14809.631762075764
2020-01-21,37.8,37.6,35.41,35.5,18310,9148720,36.5775,334637305.8,18276.204576734024
2020-01-22,37.91,37.04,36.92,37.89,12632,7046569,37.44,263823543.35999998,20885.334338188724
2020-01-23,37.95,37.4,36.73,36.97,12148,4269242,37.2625,159082630.025,13095.37619567007
2020-01-24,37.66,36.8,36.255,37.5,11359,3985023,37.053749999999994,147660045.98624998,12999.387797011179
2020-01-27,36.64,36.3,34.19,35.26,14099,4459498,35.5975,158746980.05499998,11259.449610256044
2020-01-28,37.33,37.01,36.04,37.13,18520,6166670,36.8775,227411372.92499998,12279.231799406047
2020-01-29,37.56,36.99,36.81,37.01,10961,3114355,37.0925,115519212.8375,10539.1125661436
2020-01-30,37.13,36.68,35.96,36.8,10557,5422948,36.642500000000005,198710372.09000003,18822.617418774276
2020-01-31,37.04,36.29,35.7,37.0,11077,5466328,36.5075,199561969.46,18015.886021485963
2020-02-03,37.64,37.59,36.53,36.75,12252,4059385,37.1275,150714816.58749998,12301.241967637934
2020-02-04,38.99,38.53,37.28,37.82,17672,6666374,38.155,254355499.97,14393.136032707107
