Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,average,abs_trade_size,avg_trade_size
2020-01-02,102.72,102.48,101.64,102.4,882,289841.75,102.31,29653709.4425,33620.98576247165
2020-01-03,106.52,105.44,104.32,106.16,2367,802867.5,105.61,84790836.675,35822.06872623574
2020-01-06,106.56,105.28,105.0,106.48,1823,489660.875,105.83000000000001,51820810.401250005,28426.116511930886
2020-01-07,105.36,105.04,104.16,104.8,1682,384267.25,104.84,40286578.49,23951.59244351962
2020-01-08,104.52,101.28,99.16,104.48,4656,1665504.375,102.35999999999999,170481027.825,36615.341027706185
2020-01-09,100.24,99.92,98.32,99.6,2094,706399.5,99.52,70300878.24,33572.53020057306
2020-01-10,99.76,99.28,98.72,99.44,1980,443543.125,99.29999999999998,44043832.31249999,22244.359753787874
2020-01-13,98.4,97.6,97.288,98.4,1726,532805.375,97.922,52173367.93075,30227.907259994205
2020-01-14,98.48,98.24,97.68,98.16,1949,479504.0,98.14,47058522.56,24144.957701385327
2020-01-15,97.76,97.44,96.48,97.6,1298,280647.375,97.32000000000001,27312602.535000004,21042.066667950698
2020-01-16,98.84,98.32,97.6,97.6,1259,340307.5,98.08999999999999,33380762.674999997,26513.711417791896
2020-01-17,98.92,98.64,98.0,98.64,1053,320955.25,98.55,31630139.8875,30038.119551282052
2020-01-21,98.64,97.92,97.76,97.76,770,447928.625,98.02000000000001,43905963.822500005,57020.73223701299
2020-01-22,96.24,95.2,95.04,96.24,2437,737758.75,95.67999999999999,70588757.19999999,28965.431760361094
2020-01-23,93.68,93.28,92.008,92.8,2983,881062.875,92.94200000000001,81887745.72825001,27451.473593110964
2020-01-24,92.0,91.44,90.52,91.92,2365,671831.25,91.47,61452404.4375,25984.103356236785
2020-01-27,89.88,88.8,88.24,88.88,2141,766229.875,88.95,68156147.38125001,31833.791397127516
2020-01-28,90.48,90.0,88.92,89.28,1571,487824.875,89.67,43743256.54125,27844.211674888604
2020-01-29,90.24,89.28,88.76,90.24,2275,632383.5,89.63,56680533.105,24914.520046153844
2020-01-30,88.68,88.64,86.84,87.52,2410,719299.625,87.91999999999999,63240823.029999994,26241.005406639
2020-01-31,87.76,86.72,85.68,87.04,3193,780181.5,86.80000000000001,67719754.2,21208.817475728156
2020-02-03,86.64,83.92,83.88,86.0,4556,1127042.25,85.11,95922565.8975,21054.118941505705
2020-02-04,85.56,83.52,83.28,85.44,3786,1156903.875,84.45,97700532.24375,25805.7401594691
2020-02-05,87.12,85.6,84.76,86.0,3259,1054196.5,85.87,90523853.455,27776.573628413622
2020-02-06,86.12,85.92,84.48,85.12,2122,605264.875,85.41000000000001,51695672.97375001,24361.76860214421
