day,price,size,premium,premium*size,price*size,average,adjusted_size,weighted_price,weighted_average_premium,count,WAP_buy,WAP_sell
2020-11-10,119.4396062992126,49.23,0.019201449231508887,0.005996913351393915,5883.2011,117.1637090551181,-34.01,119.50438959983751,0.00012181420579715449,127,128.33528252299607,117.88970687169628
2020-11-11,128.70333333333335,7.18,0.016922765474635486,0.01163339872040068,924.9779,126.56494791666667,4.24,128.82700557103064,0.0016202505181616546,12,128.7964448336252,128.94571428571427
2020-11-12,129.5682300884956,53.1,0.009611141803774871,0.00405795931976327,6878.516500000001,128.33656681415928,36.5,129.53891713747646,7.642107946823484e-05,113,129.55562276785716,129.4487469879518
2020-11-13,133.89,0.05,0.09022998730955667,0.004511499365477833,6.6945,122.80895,0.05,133.89,0.09022998730955666,1,133.89,
2020-11-14,129.71,0.03,0.056193380042741214,0.0016858014012822364,3.8913,122.80895,0.03,129.71,0.056193380042741214,1,129.71,
2020-11-16,126.4,163.84,0.0337323472258454,0.014891094811101381,20709.376,122.27685247989277,-163.84,126.4,9.08880298529137e-05,373,,126.4
2020-11-17,128.995,0.15000000000000002,0.006975522168625958,0.0002648942714908431,19.193900000000003,128.0987375,0.15000000000000002,127.95933333333333,0.0017659618099389537,2,127.95933333333333,
2020-11-18,136.025,0.1,0.005953060191643922,5.953060191643922e-05,13.602500000000001,135.22037749999998,0.08,136.025,0.0005953060191643922,10,135.99444444444444,136.3
2020-11-19,133.62478260869565,48.56,-0.02980309883612026,-0.08482965284532998,6419.4253,137.72955000000002,-41.800000000000004,132.19574341021416,-0.0017469038889071247,23,139.3674556213018,131.6592142540947
2020-11-20,134.01592039800994,45.410000000000004,-0.004326055521550838,-0.0009604176297421748,6085.798699999999,134.59833507462687,-45.410000000000004,134.01890993173308,-2.1149914770803232e-05,201,,134.0189099317331
2020-11-23,132.2042857142857,116.3,-0.0650578369939397,-0.4432796114760035,14680.9242,141.39892410714285,-116.3,126.23322613929493,-0.003811518585348267,28,,126.2332261392949
2020-11-24,141.41,0.33999999999999997,-0.0043497321857073334,-0.0005755555475357221,48.062999999999995,142.03361666666666,0.33999999999999997,141.36176470588236,-0.0016928104339285946,3,141.36176470588236,
2020-11-25,140.8642222222222,36.15,0.002699476819716039,0.0013951876358613243,5092.1276,140.48720944444446,-35.23,140.86106777316735,3.859440209851519e-05,90,139.34,140.88067245727095
2020-11-27,141.09,12.17,-0.004460309334197606,-0.0008313392541486962,1716.74,141.7227830769231,12.17,141.063270336894,-6.831053854960528e-05,65,141.063270336894,
2020-11-30,140.24863636363636,14.0,0.0032916356880926005,0.0005572739714929056,1963.22,139.78888920454546,-14.0,140.23,3.9805283678064684e-05,88,,140.23
2020-12-01,141.84112149532712,20.0,0.017501152435498175,0.0033233671759496973,2836.1,139.4027714953271,-16.0,141.805,0.00016616835879748487,107,142.30000000000007,141.74999999999997
2020-12-02,139.6057142857143,2.46,0.014490792516221238,0.005223326576615369,343.84590000000003,137.61096785714287,1.1400000000000001,139.77475609756098,0.0021233034864290116,7,140.04783333333333,139.03
2020-12-03,142.87522580645162,58.29,0.007821949694732688,0.0015819920702275414,8328.1879,141.76716467741937,30.79,142.87507119574542,2.7140025222637527e-05,310,142.86751010327794,142.89956363636364
2020-12-04,139.68084304932734,267.16,0.00722439620112892,0.0015534381531730642,37319.0484,138.68032946188342,-235.4,139.6880086839347,5.814635997803054e-06,1115,139.65186397984888,139.69029290035022
2020-12-05,140.68076923076922,2.21,0.0120918649695628,0.002027448810182623,310.85360000000003,139.0,0.79,140.6577375565611,0.0009173976516663453,13,140.67086666666665,140.63000000000002
2020-12-07,138.78774647887323,18.0,0.008782401056467666,0.002370221187846976,2500.281,137.58077992957746,-15.44,138.90449999999998,0.00013167895488038755,71,138.52375,138.93364832535886
2020-12-08,138.83825688073395,46.06,0.0024707484815164353,0.00022169042624560614,6407.3071,138.49865986238532,22.06,139.10783977420755,4.813079162952804e-06,327,139.45329125073397,138.12733333333333
2020-12-09,140.85755102040818,67.72,0.004763725778545559,0.0005171027077355074,9542.0252,140.20134215561225,-15.16,140.90409332545778,7.635893498752325e-06,392,141.56727549467277,140.4835231660232
2020-12-10,137.20689149560116,103.06,0.013223022571168835,0.00430647094355447,14139.926,135.41742353372433,-102.74,137.20091209004462,4.1786056118323987e-05,341,137.91,137.1998095238095
2020-12-11,139.3318181818182,0.47000000000000003,0.004830801292322364,0.00021583389481355034,65.5126,138.6633431818182,0.15000000000000002,139.38851063829787,0.0004592210527947879,11,139.721935483871,138.7425
2020-12-12,140.24333333333334,0.59,0.010669344136899165,0.001774330288629753,82.6087,138.76282500000002,0.010000000000000009,140.01474576271187,0.003007339472253819,3,140.72500000000002,139.28
2020-12-14,139.24947368421053,0.66,0.0013746601392441086,6.920391289720054e-05,92.009,139.0589697368421,-0.01999999999999999,139.40757575757576,0.00010485441348060687,19,139.90125,138.9429411764706
2020-12-15,136.20492307692308,68.85,0.004741529133172302,0.0013350670533027627,9365.7259,135.56317076923077,-67.71000000000001,136.0308772694263,1.9390952117687188e-05,260,138.22456140350874,136.01256444053897
2020-12-16,138.71,0.15000000000000002,-0.010998021425643064,-0.0005499010712821532,20.8065,140.2525,0.15000000000000002,138.70999999999998,-0.003666007141881021,3,138.70999999999998,
2020-12-17,141.58055555555555,1.37,0.0016998572388619694,0.00018382821084476388,194.1388,141.34444722222221,0.9700000000000001,141.70715328467153,0.0001341811757990977,18,141.8019658119658,141.15249999999997
2020-12-18,143.82666666666668,0.5,0.0019976224497956587,0.0001278046473102886,71.99000000000001,143.5425,0.1,143.98000000000002,0.0002556092946205772,6,144.28666666666666,143.51999999999998
2020-12-20,144.9,0.1,0.01722900920911652,0.001722900920911652,14.490000000000002,142.44580000000002,0.1,144.9,0.01722900920911652,1,144.9,
2020-12-21,141.5989090909091,16.080000000000002,-0.0005367619831949565,-0.00046534633267072007,2277.2525,141.67671272727273,12.32,141.62018034825869,-2.893944854917413e-05,55,141.60161971830985,141.76037234042553
2020-12-22,139.58,0.01,0.013358501524611599,0.000133585015246116,1.3958000000000002,137.74,0.01,139.58,0.0133585015246116,1,139.58,
2020-12-23,138.915,0.14,0.008530564832292642,0.000597139538260485,19.448100000000004,137.74,0.0,138.91500000000002,0.004265282416146321,2,139.26,138.57
2020-12-24,136.006484375,32.25,0.002823438020285963,0.0007279363610478214,4386.0581,135.623573828125,-32.11,136.0018015503876,2.2571670110009967e-05,128,136.83,136.00000000000003
2020-12-28,137.34,0.04,0.007709705644429299,0.00030838822577717196,5.4936,136.28924999999998,-0.04,137.34,0.007709705644429299,1,,137.34
2020-12-29,127.54,0.2,0.01747108097327499,0.003494216194654998,25.508000000000003,125.35,0.2,127.54,0.01747108097327499,1,127.54,
2020-12-31,127.47,0.08,0.016912644595133752,0.0013530115676107003,10.1976,125.35,0.08,127.47,0.016912644595133752,1,127.47,
2021-01-04,126.53,0.29000000000000004,0.009413641802951789,0.0001819970748570679,36.6937,125.35,0.29000000000000004,126.52999999999999,0.0006275761201967858,15,126.53000000000003,
2021-01-05,126.29249999999999,0.08,0.0023213844088885716,4.642768817777143e-05,10.1034,126.00811250000001,0.04,126.2925,0.0005803461022221429,4,126.52333333333334,125.6
