day,price,size,premium,premium*size,price*size,average,adjusted_size,weighted_price,weighted_average_premium,count,WAP_buy,WAP_sell
2020-12-16,8.31475,56.9,0.016626031609620576,0.1277733194987458,473.38470000000007,8.178975,52.5,8.319590509666082,0.002245576792596587,8,8.32572760511883,8.167
2020-12-17,8.14675,153.2,0.025106247778312607,0.7870177955198201,1242.5332999999998,7.9472249999999995,-94.0,8.110530678851175,0.005137191876761228,4,8.204611486486488,8.088
2020-12-18,7.91025,42.699999999999996,0.04980092899800931,0.5918845388188457,339.58389999999997,7.535,30.5,7.952784543325527,0.013861464609340651,4,7.9685956284153,7.857918032786886
2020-12-21,7.7620000000000005,33.5,0.030126078301260795,0.53158593231586,260.4335,7.535,-33.5,7.774134328358208,0.01586823678554806,2,,7.774134328358208
2020-12-22,7.518000000000001,29.299999999999997,0.0027318362409292454,0.001603823115093487,220.65390000000002,7.497691666666667,26.5,7.530849829351538,5.473799027622823e-05,3,7.533501792114697,7.478
2020-12-23,7.6655,8.3,0.017319177173191758,0.08725282017252795,63.8554,7.535,8.3,7.693421686746988,0.010512387972593728,2,7.693421686746988,
2020-12-24,7.626666666666666,2.5999999999999996,0.033907036108681655,0.028094719342713945,19.931199999999997,7.381666666666667,1.4,7.665846153846154,0.010805661285659211,3,7.695499999999999,7.566999999999999
2020-12-25,7.311,1.3,0.033356890459363964,0.04336395759717315,9.5043,7.075,-1.3,7.311,0.033356890459363964,1,,7.311
2020-12-27,7.529,31.7,0.06416961130742038,2.034176678445226,238.6693,7.075,31.7,7.529,0.06416961130742038,1,7.529,
2020-12-29,7.06,6.3,-0.0021201413427562876,-0.013356890459364612,44.477999999999994,7.075,-6.3,7.06,-0.0021201413427562876,1,,7.06
2021-01-03,6.999333333333333,59.5,-0.08280644280644274,-1.6429800709800695,416.4454,7.631249999999999,59.5,6.999082352941176,-0.027613110436639825,3,6.999082352941176,
2021-01-05,7.709,2.0,0.010188370188370266,0.010188370188370266,15.418,7.63125,0.0,7.709,0.005094185094185133,2,7.709,7.709
2021-01-07,8.834000000000001,23.4,-0.004058624577226426,-0.03165727170236612,206.7156,8.87,7.8,8.834,-0.0013528748590754753,3,8.874,8.754
2021-01-08,9.236375,1075.4,0.046990794590880264,7.22178955047297,10016.9458,8.82118125,-937.0,9.314623209968383,0.0067154449976501475,8,9.214589595375722,9.321502882130789
2021-01-09,9.311,1.9,0.05326862818293909,0.05063347699686652,17.691399999999998,8.8401,1.9,9.311263157894736,0.02664919841940343,2,9.311263157894736,
2021-01-10,9.37425,100.0,0.06042352462076228,1.4922031424983897,936.7749,8.8401,100.0,9.367749,0.014922031424983898,4,9.367748999999998,
2021-01-11,9.079833333333333,25.3,0.023305573668817137,0.1153308373600707,230.75270000000003,8.873399999999998,-3.7,9.120660079051385,0.0045585311209514106,6,9.214,9.051137931034484
2021-01-14,11.298,56.6,-0.005707261627965227,-0.1615796442574358,642.7615000000001,11.3646125,38.800000000000004,11.356210247349825,-0.002854764032816887,4,11.379945492662474,11.229
2021-01-15,11.167,3.2,-0.03274144651364208,-0.10477262884365467,35.7344,11.544999999999998,-3.2,11.167,-0.03274144651364208,1,,11.167
2021-01-16,10.816,7.7,-2.311337108507061e-05,-0.00017797295735504372,83.28320000000001,10.81625,-7.7,10.816,-2.311337108507061e-05,1,,10.816
2021-01-18,11.046,2.5,0.021241188027273816,0.05310297006818454,27.615,10.81625,2.5,11.046,0.021241188027273816,1,11.046,
2021-01-20,11.007,80.1,0.017635502137986758,0.46881023922338866,886.6647,10.81625,-80.1,11.06947191011236,0.0058528119753232044,4,,11.06947191011236
2021-01-22,10.2065,47.6,0.01633059497137157,0.3282399800846371,484.6157,10.0425,-47.6,10.181002100840336,0.0068957979009377545,2,,10.181002100840336
2021-01-25,10.6945,2.4,0.06492407269106293,0.07774458551157563,25.6635,10.0425,2.4,10.693125,0.032393577296489846,2,10.693125,
2021-01-27,10.3025,111.0,0.004393956051081227,0.026877535990642114,1143.4013,10.257825,-4.000000000000002,10.300912612612613,0.0002421399638796587,6,10.382007476635515,10.225459130434784
2021-01-28,10.339,1.4,0.0076998050682262065,0.010779727095516688,14.474599999999999,10.26,1.4,10.339,0.007699805068226206,1,10.339,
2021-01-29,10.3275,35.5,0.005334527436798409,0.10425934759118657,366.8229,10.2727,-35.5,10.333039436619718,0.0029368830307376498,2,,10.333039436619718
2021-02-01,10.457,1.0,-0.018209643271257403,-0.018209643271257403,10.457,10.65095,1.0,10.457,-0.018209643271257403,1,10.457,
2021-02-02,10.896333333333333,73.2,-0.007747670388991028,0.03944241087173524,820.3099,10.9769875,-43.4,11.206419398907103,0.0005388307496138694,6,10.996040268456378,11.260186963979416
2021-02-03,11.844333333333333,14.4,-0.00975633226674318,-0.037148946346078966,173.0032,11.959999999999999,-12.8,12.01411111111111,-0.002579787940699928,3,11.791,12.027235294117649
2021-02-04,12.3562,208.5,0.01148035425176167,0.12929429289366326,2557.5538,12.2151625,142.3,12.266445083932854,0.0006201165126794401,10,12.261446978335233,12.292930513595167
2021-02-05,12.1204,7.4,0.003958632693588382,0.011700265122436862,90.185,12.072489999999998,-7.4,12.187162162162162,0.0015811169084374137,5,,12.187162162162162
2021-02-08,12.34225,47.199999999999996,-0.0010029286136973477,-0.05496559293875055,570.7069,12.3542875,38.6,12.091247881355933,-0.001164525274126071,12,12.07425874125874,12.26074418604651
2021-02-09,13.822416666666667,19.5,-0.004859044955845909,-0.006870763577903219,266.8276,13.893483333333334,3.7,13.683466666666668,-0.00035234685014888306,12,13.271206896551725,14.288810126582279
2021-02-10,14.9087,241.5,-0.015451478755049236,-0.10775457096810034,3505.8436,15.144765000000001,-236.3,14.516950724637681,-0.000446188699660871,20,15.209153846153848,14.50941732942654
2021-02-11,15.003786516853932,21097.600000000002,-0.03883960478473197,-12.759355337672776,345011.3607,15.684261797752809,2066.0000000000005,16.353109391589562,-0.0006047775736421571,89,16.78285092127303,15.830065564639865
2021-02-12,12.545781395348836,36645.0,-0.017070017757545575,-3.2267310896628643,462389.2066,12.766008720930232,2618.0,12.618070858234411,-8.805378877508158e-05,215,12.766990021139495,12.446236341728625
2021-02-13,12.252,6.9,-0.09412199630314222,-0.6494417744916814,84.53880000000001,13.524999999999999,-6.9,12.252,-0.09412199630314222,1,,12.252
2021-02-14,12.252500000000001,44.2,-0.0940850277264324,-2.0798188539741194,541.5459000000001,13.524999999999999,-44.2,12.25216968325792,-0.04705472520303437,2,,12.25216968325792
2021-02-15,12.70025,78.7,-0.06097966728280957,-1.1974584103512012,999.6349999999999,13.524999999999999,78.7,12.701842439644217,-0.015215481707130891,4,12.701842439644217,
2021-02-16,12.849397350993378,21661.9,-0.03304819338057035,-4.633502455887509,278532.7694,13.294994205298012,249.7,12.858187388917868,-0.00021390101772640022,151,12.974909737308094,12.738742707428479
2021-02-17,12.861125000000001,167.0,0.0021933020270324677,0.0513379850828648,2158.4239000000002,12.832865625,167.0,12.92469401197605,0.00030741308432853177,8,12.92469401197605,
2021-02-18,12.4315,11.2,0.031931650040570636,0.21386796936122052,140.07729999999998,12.046825000000002,-3.0,12.506901785714284,0.01909535440725183,2,12.15,12.713000000000001
2021-02-19,12.117,0.8,0.029153837987047515,0.023323070389638014,9.693600000000002,11.77375,0.8,12.117,0.029153837987047515,1,12.117,
2021-02-20,12.219444444444443,0.9,0.037854926802798165,0.003785492680279817,10.9975,11.77375,-0.9,12.219444444444445,0.004206102978088685,9,,12.219444444444445
2021-02-21,12.27725,55.0,0.04276462469476594,0.6120150759103953,676.3791,11.77375,23.200000000000003,12.297801818181819,0.011127546834734459,4,12.325999999999999,12.228459119496856
2021-02-22,11.99125,43.8,0.016705824108134204,0.2331162212072403,526.9268999999999,11.79455625,-37.6,12.030294520547944,0.005322288155416445,4,11.859,12.043341523341523
2021-02-23,11.42625,28.400000000000002,0.09828251749938238,0.35982403172677524,323.9034,10.4143375,-8.4,11.405049295774646,0.012669860272069549,8,10.8024,11.732576086956518
2021-02-24,11.304,34.0,0.00010716704684723966,0.049467923414921004,386.6435,11.30288125,9.4,11.371867647058824,0.0014549389239682648,4,11.404294930875576,11.31465853658537
2021-02-26,10.592,2.4,-0.004978863316110749,-0.011949271958665797,25.4208,10.645,-2.4,10.592,-0.004978863316110749,1,,10.592
2021-02-27,10.497,8.1,-0.013903240958196283,-0.1126162517613899,85.0257,10.645,8.1,10.497,-0.013903240958196283,1,10.497,
2021-02-28,10.409,7.3,-0.022170032879285984,-0.16184124001878766,75.98570000000001,10.645,-7.3,10.409,-0.02217003287928598,1,,10.409
2021-03-02,10.6645,2.9,0.0028940028549253594,0.007088647167111761,30.958099999999998,10.63375,-2.9,10.675206896551725,0.002444361092107504,2,,10.675206896551725
2021-03-04,9.713000000000001,12.3,0.001856627127385213,0.007864878803506347,119.40100000000001,9.695,-12.3,9.70739837398374,0.0006394210409354753,2,,9.70739837398374
2021-03-05,9.349333333333334,13.0,-0.02992589415770819,-0.05970999933571594,120.5007,9.647666666666666,12.8,9.269284615384615,-0.004593076871978149,3,9.268193798449612,9.41
2021-03-06,9.458142857142857,0.7000000000000001,-0.048380837393816566,-0.004838083739381657,6.6207,9.939000000000002,-0.7000000000000001,9.458142857142857,-0.006911548199116653,7,,9.458142857142859
2021-03-08,9.4735,2.6,-0.04683569775631358,-0.06215414025555906,24.6059,9.939,-2.4,9.463807692307691,-0.023905438559830405,2,9.484,9.463
2021-03-10,10.052,12.0,0.011369353053627185,0.13643223664352622,120.624,9.939,12.0,10.052,0.011369353053627185,1,10.052,
2021-03-11,9.953,2.9,0.0014085924137237082,0.004084917999798754,28.863699999999998,9.939,-2.9,9.953,0.0014085924137237082,1,,9.953
2021-03-15,10.641,7.1,0.0005147649121488573,-0.001830148576819679,76.3351,10.635787500000001,-4.9,10.751422535211267,-0.0002577674051858703,2,10.481,10.801
2021-03-16,10.637666666666666,105.0,0.04161668780058717,2.0959675826874817,1136.5444,10.21265,95.0,10.824232380952381,0.019961596025595066,3,10.838,10.54888
2021-03-17,10.265,1.2,0.017747372595677158,0.021296847114812587,12.318,10.086,1.2,10.265,0.017747372595677158,1,10.265,
2021-03-18,10.15,5.0,0.006345429307951678,0.03172714653975839,50.75,10.086,5.0,10.15,0.006345429307951678,1,10.15,
2021-03-19,9.963,29.799999999999997,-0.015513833992094828,-0.25280632411067105,293.9008,10.12,-28.0,9.862442953020135,-0.008483433694988963,3,9.973,9.859
