day,price,size,premium,premium*size,price*size,average,adjusted_size,weighted_price,weighted_average_premium,count,WAP_buy,WAP_sell
2021-01-19,35.13333333333333,1.67,0.004646148741768756,0.002477071906095908,58.6584,34.97060833333333,1.67,35.12479041916168,0.0014832765904765916,3,35.12479041916168,
2021-01-20,36.25,5.53,0.010171380799777197,0.0562477358227679,200.4625,35.885,5.53,36.25,0.010171380799777197,1,36.25,
2021-01-21,36.13,29.310000000000002,0.006827365194370993,0.04884979796572467,1055.2953,35.885,-26.25,36.004616171954964,0.0016666597736514726,2,36.27,35.99
2021-01-24,35.42,2.82,-0.010061486864169966,-0.028373392956959304,99.8844,35.78,2.82,35.42,-0.010061486864169966,1,35.42,
2021-01-25,35.42,24.96,-0.010061486864169966,-0.25113471212968236,884.0832,35.78,24.96,35.42,-0.010061486864169966,1,35.42,
2021-01-31,34.741875,17.72,-0.0290141140301845,-0.06404101453325889,615.6905,35.78,-0.09999999999999964,34.74551354401806,-0.0036140527388972285,8,34.73963110102157,34.75132996632996
2021-02-01,35.2275,5.51,-0.015441587479038621,-0.04173840134153172,194.161,35.78,0.10999999999999988,35.23793103448276,-0.007575027466702672,2,35.75,34.705
2021-02-02,35.16,2.69,0.016882976031235453,0.023455948808792346,94.63215,34.576249999999995,-2.69,35.17923791821561,0.008719683572041765,2,,35.17923791821561
2021-02-05,34.11,8.68,-0.007860177960918313,-0.01867017971374268,294.6645,34.38154374999999,-2.6799999999999997,33.94752304147465,-0.00215094236333441,4,33.915,33.96470070422535
2021-02-06,34.87,3.0,-0.0036936479398501643,-0.011080943819550493,104.60999999999999,34.999275,3.0,34.87,-0.0036936479398501643,1,34.87,
2021-02-08,35.10733333333334,4.12,-0.0011386030458510425,-0.0007702532205448473,143.84955000000002,35.14707666666666,-4.12,34.914939320388356,-0.00018695466518078816,15,,34.91493932038835
2021-02-09,35.44833333333333,0.07,0.006585758854607974,8.513156276861759e-05,2.48335,35.21629166666666,-0.05,35.47642857142857,0.0012161651824088226,6,35.63,35.450833333333335
2021-02-10,35.3985,0.13,-0.003507862587062471,-5.460932700874465e-05,4.60045,35.523309999999995,0.049999999999999996,35.38807692307692,-0.0004200717462211127,10,35.33555555555555,35.50625
2021-02-11,35.27384615384615,8.0,0.0003516113528449878,0.0001412490473751699,280.9627,35.26146346153846,-7.9799999999999995,35.1203375,1.7656130921896237e-05,13,35.295,35.12011889862328
2021-02-12,34.84305555555555,3.68,0.0009726195658610634,0.0003690768942808497,127.5378,34.809420833333334,-3.66,34.65701086956522,0.00010029263431544828,18,34.72,34.65683923705723
2021-02-13,34.98,14.29,0.035217519976324274,0.2516291802308369,499.8641999999999,33.79,14.29,34.98,0.017608759988162137,2,34.98,
2021-02-15,34.795,4.42,0.02974252737496319,0.1314619709973373,153.7939,33.79,-4.42,34.795,0.029742527374963194,1,,34.795
2021-02-16,34.95,0.25,0.034329683338265804,0.008582420834566451,8.7375,33.79,0.25,34.95,0.034329683338265804,1,34.95,
2021-02-17,33.56333333333333,204.32,0.004672293568039887,0.13618812918954729,6854.1583,33.4075,202.32,33.54619371574002,0.0006665433104421852,6,33.54455193783199,33.88
2021-02-18,32.955000000000005,200.0,-0.0002284484705153226,0.016175348454115984,6595.482,32.9625,0.0,32.97741,8.087674227057992e-05,3,33.055,32.89982
2021-02-19,32.79,0.4,0.0025989909799724042,0.0010395963919889617,13.116,32.705,-0.4,32.79,0.0025989909799724042,1,,32.79
2021-02-20,32.65923076923077,0.35000000000000003,-0.015621105591718015,-0.00021060959987943378,11.43045,33.177499999999995,-0.35000000000000003,32.65842857142857,-0.0006017417139412393,26,,32.65842857142857
2021-02-21,32.785,4.87,-0.01183030668374635,-0.020401250847712864,160.2207,33.177499999999995,4.8500000000000005,32.899527720739215,-0.004189168551891759,2,32.9,32.67
2021-02-22,33.42722222222222,8.530000000000001,-0.0029485296973906904,-0.004144412133377897,282.1563,33.52549444444444,1.5300000000000002,33.07811254396248,-0.0004858630871486397,9,32.96067594433399,33.24688571428571
2021-02-23,34.028571428571425,0.07,0.016289750167477707,0.00016289750167477706,2.382,33.48321428571429,-0.03,34.028571428571425,0.0023271071667825293,7,33.46249999999999,34.255
2021-02-24,33.43714285714286,148.92000000000002,0.06846024589284634,1.637905487419366,5019.21105,31.2947,148.8,33.704076349717965,0.01099855954485204,7,33.70423082090555,33.32083333333334
2021-02-25,33.5475,3.51,0.07198663032398456,0.14041599695795132,118.63294999999998,31.2947,3.49,33.79856125356125,0.04000455753787787,2,33.8,33.295
2021-02-26,32.027142857142856,1.36,0.02330022316317997,0.0009078326671169248,42.78255,31.297957142857143,1.26,31.457757352941176,0.0006675240199389152,7,31.426717557251905,32.271
2021-02-27,31.53,0.09,0.010131752833286711,0.000911857754995804,2.8377,31.21375,0.09,31.53,0.010131752833286711,1,31.53,
2021-03-03,31.42833333333333,1.27,0.007783855330623572,0.0012854574801127105,39.6801,31.18541666666667,-1.05,31.244173228346458,0.0010121712441832366,3,31.930000000000003,31.179137931034486
2021-03-04,31.504285714285714,10.69,0.001510901877552492,0.002986117157106074,336.37194999999997,31.45701785714286,-6.25,31.466038353601494,0.00027933743284434744,7,31.754594594594597,31.390407319952782
2021-03-05,31.310384615384617,0.13,-0.0075261570582522315,-7.526157058252231e-05,4.07035,31.54715576923077,-0.13,31.310384615384617,-0.0005789351583270946,13,,31.310384615384617
2021-03-06,31.696666666666662,0.12,0.011057947900053008,0.00011057947900053008,3.8036,31.350000000000005,-0.12,31.696666666666665,0.0009214956583377507,12,,31.696666666666673
2021-03-08,31.4,1.13,0.0015948963317382603,0.001802232854864234,35.48199999999999,31.35,-1.13,31.399999999999995,0.0015948963317382603,1,,31.399999999999995
2021-03-09,32.395,0.61,0.0006177606177606432,0.0003768339768339923,19.76095,32.375,0.61,32.395,0.0006177606177606432,1,32.395,
2021-03-10,32.325,2.31,-0.0031399619604252083,-0.0009537273625017593,74.6018,32.4289875,-0.29000000000000004,32.29515151515152,-0.0004128689880959997,4,32.39534653465347,32.21730769230769
2021-03-11,33.03666666666667,8.33,-0.000776799141803434,-0.016915397547003278,275.5643,33.063991666666666,8.33,33.08094837935174,-0.0020306599696282446,3,33.08094837935174,
2021-03-13,33.115,10.77,-0.0095123010855284,-0.016908224228388776,358.37780000000004,33.433025,9.23,33.275561745589606,-0.0015699372542607964,3,33.295,33.023116883116884
2021-03-14,33.31,0.7,-0.0036797448032297453,-0.0025758213622608214,23.317,33.433025,-0.7,33.31,-0.0036797448032297453,1,,33.31
